port_id,port_name,port_country,port_lat,port_lon,visit_count,project_id,terminal_name,terminal_role,country,terminal_lat,terminal_lon,capacity_mtpa,source,distance_km,country_match,match_status
8c036ec7,SAN JUAN,PRI,18.46187381051515,-66.11373203079575,7,T100000130784,San Juan LNG Terminal,regasification,United States,18.461942,-66.11091,1.1,https://www.gem.wiki/San_Juan_LNG_Terminal,0.2977423948862052,False,country_mismatch
0d0c958b,ALGECIRAS,ESP,36.080759659579854,-5.397490985207231,53,T100000130682,Gibraltar LNG Terminal,regasification,Gibraltar,36.14905817012559,-5.36506678781487,0.1,https://www.gem.wiki/Gibraltar_LNG_Terminal,8.133803029112322,False,country_mismatch
0d0c958d,ALGECIRAS,ESP,36.0805456187287,-5.401523379069697,1,T100000130682,Gibraltar LNG Terminal,regasification,Gibraltar,36.14905817012559,-5.36506678781487,0.1,https://www.gem.wiki/Gibraltar_LNG_Terminal,8.292287544441846,False,country_mismatch
34015181,GUANGZHOU,CHN,22.124319808552254,114.04493845188595,2,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,9.00166020264175,False,country_mismatch
8c1d2e5f,,PRI,17.973399113626396,-66.76235881005218,11,T100000130578,Penuelas LNG Terminal,regasification,United States,18.059444,-66.7225,2.0,https://www.gem.wiki/Penuelas_LNG_Terminal,10.454966243582053,False,country_mismatch
31da005b,TANJUNG PELEPAS,MYS,1.20981361749515,103.5764700318224,22,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,10.947048280570197,False,country_mismatch
31da005f,TANJUNG PELEPAS,MYS,1.2142831050667595,103.57021651182195,4,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,11.50311622509317,False,country_mismatch
31da0089,TANJUNG PELEPAS,MYS,1.218727885210637,103.55880534221802,21,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,12.660784580824606,False,country_mismatch
31d9ffa3,NIPAH ANCHORAGE,IDN,1.1566715409432995,103.58101007420574,2,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,13.378629563818976,False,country_mismatch
31da0083,TANJUNG PELEPAS,MYS,1.2230012954138194,103.5470427645076,29,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,13.8963965659437,False,country_mismatch
31d9ffb5,NIPAH ANCHORAGE,IDN,1.1426609393011042,103.57025402337317,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,15.310239147989245,False,country_mismatch
47c9dd5f,BORKUM,DEU,53.54795442938346,6.683009029394742,28,T100000130997,Eemshaven FSRU,regasification,Netherlands,53.4356487,6.8330977,5.88,https://www.gem.wiki/Eemshaven_FSRU,15.954001073489474,False,country_mismatch
31da2455,SINGAPORE,SGP,1.2868962654557796,104.04930110968078,1,T100000130291,Pengerang Johor LNG Terminal,regasification,Malaysia,1.341382,104.182089,3.5,https://www.gem.wiki/Pengerang_Johor_LNG_Terminal,15.956391971972748,False,country_mismatch
31d9fc05,NIPAH ANCHORAGE,IDN,1.0964071098614467,103.62777823334211,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,16.27727444830407,False,country_mismatch
31d9fe37,NIPAH ANCHORAGE,IDN,1.1338914001806295,103.5648423974162,2,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,16.416936244810625,False,country_mismatch
31d9fc1b,NIPAH ANCHORAGE,IDN,1.0966999433533196,103.62144752453528,2,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,16.46974093321874,False,country_mismatch
31d0aa6b,TANJUNG PELEPAS,MYS,1.2329421004072083,103.52296748208182,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,16.499433550056104,False,country_mismatch
31d0aa41,TANJUNG PELEPAS,MYS,1.233097151180773,103.51776671448177,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,17.077113877574135,False,country_mismatch
31d9fe15,NIPAH ANCHORAGE,IDN,1.120809096279892,103.56426894809496,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,17.499456276649884,False,country_mismatch
31d0aa47,TANJUNG PELEPAS,MYS,1.2332459085166607,103.51211666064876,2,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,17.704793900487935,False,country_mismatch
31d0aa49,TANJUNG PELEPAS,MYS,1.232932963682717,103.50616954288542,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,18.366470912947843,False,country_mismatch
34014dad,GUANGZHOU,CHN,22.034353482272717,114.08779569639452,2,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,18.47036638428698,False,country_mismatch
34014d1d,GUANGZHOU,CHN,22.030841817723473,114.11131875050503,1,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,20.482966354909404,False,country_mismatch
34015f7f,CHEKLAPKOK,CHN,22.29429730759113,113.81392544208316,3,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,21.914677618078123,False,country_mismatch
34014d2f,GUANGZHOU,CHN,22.03278977156715,114.13487796046849,1,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,22.211611812343293,False,country_mismatch
34014723,GUANGZHOU,CHN,21.9653192924917,113.88012047084143,3,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,22.708829258917934,False,country_mismatch
34014711,GUANGZHOU,CHN,21.95844147585994,113.89099311753328,1,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,23.029521554357913,False,country_mismatch
3401470b,GUANGZHOU,CHN,21.950665374119872,113.90359019723095,2,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,23.473047642067808,False,country_mismatch
3401470d,GUANGZHOU,CHN,21.951774580342487,113.8970926458848,2,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,23.540708633624302,False,country_mismatch
34014849,GUANGZHOU,CHN,21.93740835823883,113.99231407464436,1,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,24.292918300847298,False,country_mismatch
31da2747,BATAM,IDN,1.1928332042612455,104.01963175391693,1,T100000130291,Pengerang Johor LNG Terminal,regasification,Malaysia,1.341382,104.182089,3.5,https://www.gem.wiki/Pengerang_Johor_LNG_Terminal,24.47455169173877,False,country_mismatch
31d986b5,TANJUNG UBAN,IDN,1.115945947690666,104.18955006332745,1,T100000130291,Pengerang Johor LNG Terminal,regasification,Malaysia,1.341382,104.182089,3.5,https://www.gem.wiki/Pengerang_Johor_LNG_Terminal,25.08106403077417,False,country_mismatch
0d0ca3a7,CUETA,ESP,35.92385896937359,-5.338732435110616,2,T100000130682,Gibraltar LNG Terminal,regasification,Gibraltar,36.14905817012559,-5.36506678781487,0.1,https://www.gem.wiki/Gibraltar_LNG_Terminal,25.152714951433193,False,country_mismatch
340140eb,GUANGZHOU,CHN,21.96201933279741,113.83204833527942,2,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,25.321428918334853,False,country_mismatch
0d0ca385,CUETA,ESP,35.919771520552324,-5.318664553290884,5,T100000130682,Gibraltar LNG Terminal,regasification,Gibraltar,36.14905817012559,-5.36506678781487,0.1,https://www.gem.wiki/Gibraltar_LNG_Terminal,25.834675883745906,False,country_mismatch
31d9f543,PULAU SAMBU,IDN,1.1629366654835676,103.8948070068414,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,26.14211417007532,False,country_mismatch
31d0aea7,TANJUNG PELEPAS,MYS,1.2565051108826415,103.43675093197666,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,26.177989342881023,False,country_mismatch
31d0ae91,TANJUNG PELEPAS,MYS,1.266267991740529,103.4197970249742,3,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,28.164429633004968,False,country_mismatch
31d9f361,BATAM,IDN,1.0986510464865311,103.88958437619192,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,28.67776513751483,False,country_mismatch
3406a95f,HONGKONG,CHN,22.16134597488635,114.24229593868333,1,T100000130388,Hong Kong FSRU,regasification,Hong Kong,22.1542687,113.9637415,6.1,https://www.gem.wiki/Hong_Kong_FSRU,28.697166430283048,False,country_mismatch
31d98aa5,BATAM,IDN,1.168811262954652,103.92939434202462,1,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,29.648288030202448,False,country_mismatch
31d98aa1,BATAM,IDN,1.1745025798223554,103.93452640567972,3,T100000130309,Singapore LNG Terminal,regasification,Singapore,1.23616,103.67135,11.0,https://www.gem.wiki/Singapore_LNG_Terminal,30.04996419886077,False,outside_distance_threshold
12d5e7e7,,ITA,43.4738437597514,10.279263444725922,3,T100000130474,Toscana FSRU,regasification,Italy,43.644444,9.988889,3.67,https://www.gem.wiki/Toscana_FSRU,30.121805866258025,True,outside_distance_threshold
