family,hypothesis,observed_statistic,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,statistic,sign,placebo_design,finite_sample_p_value_floor,basin_interval_policy,target,corridor,n_scored,pre_period_mean,observed_sum,counterfactual_sum,basin_group,signed_deviation,interpretation
ar_only_corridor_deviations_all_targets,ar_lag1_7::capacity_tanker::lombok_strait,0.11459536502535629,1.6893765312831466,0.1,0.6,21,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,capacity_tanker,lombok_strait,94,145343.5889037433,15237643.0,13672007.047295138,maritime_southeast_asia_oceania,0.11459536502535629,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::capacity_tanker::cape_of_good_hope,0.15319907222293278,0.32730786877170504,0.8,1.0,40,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,capacity_tanker,cape_of_good_hope,94,920558.0277594184,99769105.0,86512413.23666912,southern_africa,0.15319907222293278,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::capacity_tanker::panama_canal,0.2111990288460636,2.8672480534538347,0.1,0.1,10,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,capacity_tanker,panama_canal,94,315846.37788018433,35952128.0,29681721.862352874,central_america_interoceanic,0.2111990288460636,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::capacity_tanker::yucatan_channel,0.2938864266326874,3.296551552844785,0.1,0.1,8,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,capacity_tanker,yucatan_channel,94,711724.7700922266,86594934.0,66933306.553732716,caribbean_gulf_of_mexico,0.2938864266326874,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::capacity_tanker::tsugaru_strait,0.400464490489076,0.7705472367773525,0.5,1.0,32,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,capacity_tanker,tsugaru_strait,94,129685.18187830687,17192888.0,12311062.833221342,northeast_asia,0.400464490489076,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::strait_of_hormuz,-0.9550059450066439,11.50973180481923,0.1,0.1,2,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,strait_of_hormuz,94,57.04871626069783,245.0,5366.295139292581,red_sea_arabian_gulf,-0.9550059450066439,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::bering_strait,-0.9157972854154253,0.806752972429233,0.6,1.0,31,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,bering_strait,94,0.3554970375246873,1.0,31.602942862203417,north_pacific_arctic,-0.9157972854154253,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::kerch_strait,-0.24363953171524672,0.23496476719634204,0.9,1.0,44,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,kerch_strait,94,3.3074391046741276,230.0,305.7473539761129,europe_mediterranean_black_sea,-0.24363953171524672,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::bab_el_mandeb_strait,-0.23497025465731228,0.11234846453604094,1.0,1.0,47,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,bab_el_mandeb_strait,94,17.46675444371297,1182.0,1567.7917675295419,red_sea_arabian_gulf,-0.23497025465731228,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::luzon_strait,-0.21923393666634725,1.2718857318291898,0.3,1.0,25,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,luzon_strait,94,25.374588545095456,1845.0,2367.9192681748277,northeast_asia,-0.21923393666634725,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::ombai_strait,-0.19791485681285198,2.1161787910583505,0.2,0.4,17,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,ombai_strait,94,3.8749177090190914,292.0,364.0889556529572,maritime_southeast_asia_oceania,-0.19791485681285198,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::suez_canal,-0.1958968926674489,0.24595357425475495,0.9,1.0,43,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,suez_canal,94,18.614219881500986,1399.0,1741.7679764161812,red_sea_arabian_gulf,-0.1958968926674489,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::magellan_strait,-0.18139614340119364,1.7198041251770924,0.1,0.6,20,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,magellan_strait,94,1.0796576695194207,83.0,101.40949931976829,southern_south_america,-0.18139614340119364,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::korea_strait,-0.16931437377251393,3.332082066246462,0.1,0.1,7,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,korea_strait,94,60.67412771560237,4711.0,5676.662182205909,northeast_asia,-0.16931437377251393,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::makassar_strait,-0.15969099114791235,1.1998215523393776,0.3,1.0,28,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,makassar_strait,94,5.207373271889401,411.0,489.1676363121256,maritime_southeast_asia_oceania,-0.15969099114791235,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::malacca_strait,-0.14628489322952612,7.296963663453711,0.1,0.1,4,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,malacca_strait,94,82.30085582620144,6602.0,7733.700959280042,maritime_southeast_asia_oceania,-0.14628489322952612,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::oresund_strait,-0.13585711230259434,3.7826379581374625,0.1,0.1,5,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,oresund_strait,94,11.57208689927584,940.0,1087.7821290883282,europe_mediterranean_black_sea,-0.13585711230259434,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::bohai_strait,-0.12200342586328058,3.090986243988547,0.1,0.1,9,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,bohai_strait,94,36.364713627386436,3000.0,3417.042246449358,northeast_asia,-0.12200342586328058,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::bosporus_strait,-0.11250936686457164,2.775843217996817,0.1,0.1,12,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,bosporus_strait,94,23.516787360105333,1959.0,2207.710732517976,europe_mediterranean_black_sea,-0.11250936686457164,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::taiwan_strait,-0.11182257956201537,2.4767425760387516,0.1,0.1,14,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,taiwan_strait,94,51.61290322580645,4305.0,4847.519869875067,northeast_asia,-0.11182257956201537,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::balabac_strait,-0.09384258573278989,0.01782986555709799,1.0,1.0,48,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,balabac_strait,94,3.5023041474654377,298.0,328.89453605875826,maritime_southeast_asia_oceania,-0.09384258573278989,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::gibraltar_strait,-0.07495110283015274,1.2380630661915666,0.3,1.0,27,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,gibraltar_strait,94,46.88281764318631,4080.0,4410.308375297325,europe_mediterranean_black_sea,-0.07495110283015274,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::windward_passage,-0.06414495694982823,0.1953531366703229,0.9,1.0,45,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,windward_passage,94,1.8867676102699145,166.0,177.37650295069886,caribbean_gulf_of_mexico,-0.06414495694982823,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::torres_strait,-0.049596578460954464,0.6264973336599412,0.3,1.0,36,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,torres_strait,94,2.097432521395655,188.0,197.77839480171195,maritime_southeast_asia_oceania,-0.049596578460954464,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::dover_strait,-0.044055723876549185,1.5525664691504877,0.2,0.9,22,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,dover_strait,94,61.55365371955234,5533.0,5787.9083325549645,europe_mediterranean_black_sea,-0.044055723876549185,below_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::tsugaru_strait,0.014612970690595434,0.5004646349594615,0.7,1.0,38,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,tsugaru_strait,94,12.17577353522054,1163.0,1146.2751231502828,northeast_asia,0.014612970690595434,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::sunda_strait,0.036833193687375296,0.927313289484817,0.3,1.0,30,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,sunda_strait,94,11.52402896642528,1125.0,1085.100121647949,maritime_southeast_asia_oceania,0.036833193687375296,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::lombok_strait,0.061136856540037164,0.6542897532182914,0.8,1.0,35,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,lombok_strait,94,7.398946675444371,739.0,696.4792559042613,maritime_southeast_asia_oceania,0.061136856540037164,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::mindoro_strait,0.07695531121925184,1.0290352498116353,0.4,1.0,29,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,mindoro_strait,94,3.4081632653061225,345.0,320.34603111184043,maritime_southeast_asia_oceania,0.07695531121925184,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::mona_passage,0.1048489825880119,1.3263336868525428,0.2,1.0,24,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,mona_passage,94,2.500329163923634,260.0,235.3572449165824,caribbean_gulf_of_mexico,0.1048489825880119,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::panama_canal,0.2101032647438628,2.479821718612264,0.1,0.1,13,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,panama_canal,94,12.344305464121133,1406.0,1162.203585373309,central_america_interoceanic,0.2101032647438628,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::yucatan_channel,0.22847210131625365,2.3317871230609857,0.1,0.2,15,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,yucatan_channel,94,24.106649111257408,2789.0,2271.2765028545978,caribbean_gulf_of_mexico,0.22847210131625365,above_counterfactual
ar_only_corridor_deviations_all_targets,ar_lag1_7::n_tanker::cape_of_good_hope,0.4617725391765247,0.3790742282227121,0.7,1.0,39,48,9,mean_scaled_signed_deviation,observed_minus_counterfactual,non_overlapping_shared_origins,0.1,point_only,n_tanker,cape_of_good_hope,94,13.684002633311389,1877.0,1283.0237156442497,southern_africa,0.4617725391765247,above_counterfactual
