terminal_match_radius_km,strict_pre_total_nominal_m3_nm,strict_post_total_nominal_m3_nm,strict_absolute_change_nominal_m3_nm,strict_percent_change,strict_pre_routed_voyages,strict_post_routed_voyages,strict_routed_voyage_percent_change,strict_pre_mean_nominal_m3_nm_per_voyage,strict_post_mean_nominal_m3_nm_per_voyage,strict_mean_per_voyage_percent_change,expanded_pre_total_nominal_m3_nm,expanded_post_total_nominal_m3_nm,expanded_absolute_change_nominal_m3_nm,expanded_percent_change,expanded_pre_routed_voyages,expanded_post_routed_voyages,expanded_routed_voyage_percent_change,expanded_pre_mean_nominal_m3_nm_per_voyage,expanded_post_mean_nominal_m3_nm_per_voyage,expanded_mean_per_voyage_percent_change
10,321823266983.4148,233870523214.1756,-87952743769.2392,-27.329516785301866,478,314,-34.30962343096235,673270433.0196962,744810583.4846357,10.625767441483136,372888032460.3074,281993209346.33545,-90894823113.97192,-24.37590246977083,549,384,-30.05464480874317,679213173.8803413,734357316.0060819,8.118826937749525
20,497119402465.10626,397501372371.35864,-99618030093.74762,-20.039054923176124,752,535,-28.856382978723406,661063035.1929605,742993219.385717,12.393702238825322,589775804043.5825,477943478440.40405,-111832325603.17847,-18.96183682620429,897,667,-25.64102564102564,657498109.3016528,716556939.1910106,8.982357371656292
30,533020533028.6126,446044017202.1182,-86976515826.49438,-16.317667038508898,798,588,-26.315789473684216,667945530.1110433,758578260.5478201,13.568880447737918,628244869529.4608,530191077333.8246,-98053792195.63623,-15.60757547754843,948,726,-23.417721518987346,662705558.5753806,730290740.1292349,10.19837251692024
