model,target,unit,counterfactual_scenario,interval_family,nominal_coverage,observed_sum,counterfactual_sum,reduction_at_zero_error,claim_threshold,breakdown_dark_rate,breakdown_status,implied_true_total_at_breakdown,implied_unobserved_total_at_breakdown,implied_unobserved_per_post_day,implied_unobserved_share_of_pretreatment_daily_mean,n_post_days
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,point,,529.0,7397.996006081118,0.928494149014792,0.5,0.8569882980295841,breaks_within_feasible_dark_rate,3698.998003040559,3169.998003040559,24.384600023388916,0.4802190033741747,130
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,point,,529.0,7397.996006081118,0.928494149014792,0.75,0.7139765960591682,breaks_within_feasible_dark_rate,1849.4990015202795,1320.4990015202795,10.157684627079073,0.20004072994949074,130
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,point,,529.0,7397.996006081118,0.928494149014792,0.9,0.28494149014792036,breaks_within_feasible_dark_rate,739.7996006081116,210.79960060811163,1.6215353892931663,0.031933765894680353,130
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,point,,529.0,7397.996006081118,0.928494149014792,0.95,-0.4301170197041577,claim_fails_at_zero_incremental_error,369.8998003040562,-159.1001996959438,-1.2238476899687984,-0.024101888790256362,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,block_bootstrap_residual,0.95,529.0,6834.208920908447,0.9225952840889035,0.5,0.8451905681778069,breaks_within_feasible_dark_rate,3417.1044604542235,2888.1044604542235,22.21618815734018,0.4375153057855382,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,block_bootstrap_residual,0.95,529.0,6834.208920908447,0.9225952840889035,0.75,0.6903811363556138,breaks_within_feasible_dark_rate,1708.5522302271117,1179.5522302271117,9.073478694054705,0.1786888811551725,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,block_bootstrap_residual,0.95,529.0,6834.208920908447,0.9225952840889035,0.9,0.22595284088903433,breaks_within_feasible_dark_rate,683.4208920908445,154.42089209084452,1.1878530160834193,0.02339302637695306,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,block_bootstrap_residual,0.95,529.0,6834.208920908447,0.9225952840889035,0.95,-0.5480943182219296,claim_fails_at_zero_incremental_error,341.71044604542266,-187.28955395457734,-1.4406888765736718,-0.028372258549120007,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,block_bootstrap_residual,0.95,529.0,7939.246167671148,0.9333689888400105,0.5,0.866737977680021,breaks_within_feasible_dark_rate,3969.623083835574,3440.623083835574,26.4663314141198,0.5212156558839822,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,block_bootstrap_residual,0.95,529.0,7939.246167671148,0.9333689888400105,0.75,0.7334759553600421,breaks_within_feasible_dark_rate,1984.811541917787,1455.811541917787,11.198550322444516,0.22053905620439454,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,block_bootstrap_residual,0.95,529.0,7939.246167671148,0.9333689888400105,0.9,0.33368988840010505,breaks_within_feasible_dark_rate,793.9246167671147,264.9246167671147,2.037881667439344,0.04013309639664187,130
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,block_bootstrap_residual,0.95,529.0,7939.246167671148,0.9333689888400105,0.95,-0.33262022319978857,claim_fails_at_zero_incremental_error,396.96230838355774,-132.03769161644226,-1.0156745508957097,-0.020002223539275603,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,split_conformal_block_rank,0.8,529.0,5727.82465987997,0.907643820924664,0.5,0.815287641849328,breaks_within_feasible_dark_rate,2863.912329939985,2334.912329939985,17.960864076461423,0.3537129269401327,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,split_conformal_block_rank,0.8,529.0,5727.82465987997,0.907643820924664,0.75,0.630575283698656,breaks_within_feasible_dark_rate,1431.9561649699924,902.9561649699924,6.945816653615326,0.1367876917324697,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,split_conformal_block_rank,0.8,529.0,5727.82465987997,0.907643820924664,0.9,0.0764382092466398,breaks_within_feasible_dark_rate,572.7824659879968,43.78246598799683,0.3367881999076679,0.0066325506078719525,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,split_conformal_block_rank,0.8,529.0,5727.82465987997,0.907643820924664,0.95,-0.8471235815067182,claim_fails_at_zero_incremental_error,286.39123299399876,-242.60876700600124,-1.866221284661548,-0.03675249643366057,130
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,split_conformal_block_rank,0.8,529.0,9068.167352282268,0.9416640673413618,0.5,0.8833281346827235,breaks_within_feasible_dark_rate,4534.083676141134,4005.0836761411338,30.808335970316413,0.6067250798082168,130
