measure,portname,n_overlap_days,n_changed_rows,pct_changed_rows,mean_july,mean_august,mean_ratio_august_over_july,mean_difference_august_minus_july
capacity,Strait of Hormuz,2750,2721,98.94545454545455,3385283.1734545454,2853147.4825454545,0.8428091052820057,-532135.6909090909
capacity,Taiwan Strait,2750,135,4.909090909090909,5552155.2883636365,5550958.384727273,0.9997844254034335,-1196.903636363335
capacity,Korea Strait,2750,112,4.072727272727273,2961764.3898181817,2961288.1803636365,0.9998392142682981,-476.20945454528555
capacity,Malacca Strait,2750,75,2.727272727272727,7574624.766181818,7573951.494181818,0.99991111480492,-673.2719999998808
capacity,Dover Strait,2750,63,2.290909090909091,3238873.2414545454,3238835.3796363636,0.9999883101883404,-37.86181818181649
capacity,Bohai Strait,2750,59,2.1454545454545455,5635950.458909091,5635744.017454545,0.9999633706051799,-206.44145454559475
capacity,Gibraltar Strait,2750,53,1.927272727272727,3525604.776,3525481.3345454545,0.9999649871547186,-123.44145454559475
capacity,Suez Canal,2750,46,1.6727272727272726,2298583.044727273,2298529.3018181818,0.999976619113582,-53.74290909105912
capacity,Tsugaru Strait,2750,35,1.2727272727272727,974356.1461818182,974372.4007272727,1.000016682345073,16.254545454517938
capacity,Cape of Good Hope,2750,30,1.090909090909091,3745385.5221818183,3744847.5338181816,0.9998563596830151,-537.9883636366576
capacity,Luzon Strait,2750,25,0.9090909090909091,4320706.900363636,4320185.573454546,0.9998793422185045,-521.3269090903923
capacity,Windward Passage,2750,22,0.8,272950.8243636364,272950.8170909091,0.9999999733551739,-0.007272727263625711
capacity,Bab el-Mandeb Strait,2750,21,0.7636363636363637,2269690.801090909,2269648.1254545455,0.9999811975990989,-42.675636363681406
capacity,Panama Canal,2750,21,0.7636363636363637,863205.6530909091,863117.4250909091,0.9998977902893892,-88.2280000000028
capacity,Kerch Strait,2750,16,0.5818181818181818,64134.875636363635,64071.20472727273,0.9990072342316229,-63.67090909090621
capacity,Makassar Strait,2750,15,0.5454545454545455,2790377.7316363635,2790176.6676363638,0.9999279438057005,-201.0639999997802
capacity,Yucatan Channel,2750,14,0.5090909090909091,1087433.4745454546,1087409.4145454546,0.99997787450859,-24.06000000005588
capacity,Bosporus Strait,2750,12,0.4363636363636364,1182824.8352727273,1182826.0523636364,1.0000010289696943,1.2170909091364592
capacity,Sunda Strait,2750,12,0.4363636363636364,1051184.146909091,1051065.5625454546,0.9998871897336113,-118.58436363632791
capacity,Lombok Strait,2750,10,0.36363636363636365,2578067.860363636,2578061.010181818,0.9999973429008897,-6.850181818008423
capacity,Mona Passage,2750,7,0.2545454545454546,273179.00945454545,273166.9538181818,0.9999558690970155,-12.055636363627855
capacity,Mindoro Strait,2750,6,0.2181818181818182,2311023.2232727273,2310982.6716363635,0.999982452951595,-40.55163636384532
capacity,Oresund Strait,2750,6,0.2181818181818182,103499.67781818182,103496.25309090909,0.999966910744604,-3.424727272737073
capacity,Balabac Strait,2750,2,0.07272727272727272,269604.6094545455,269545.696,0.9997814820204125,-58.913454545487184
capacity,Magellan Strait,2750,2,0.07272727272727272,120772.90727272727,120772.77854545455,0.9999989341378325,-0.1287272727204254
capacity,Ombai Strait,2750,2,0.07272727272727272,551093.1327272727,551018.3283636364,0.9998642618476008,-74.80436363629997
capacity,Torres Strait,2750,2,0.07272727272727272,188267.92472727274,188267.71527272728,0.9999988874655852,-0.20945454546017572
capacity,Bering Strait,2750,0,0.0,11727.437818181817,11727.437818181817,1.0,0.0
capacity_cargo,Strait of Hormuz,2750,2648,96.2909090909091,965578.2505454546,796406.7007272728,0.824797679812468,-169171.54981818178
capacity_cargo,Taiwan Strait,2750,118,4.290909090909091,4702776.765454546,4701707.966181818,0.9997727301706987,-1068.7992727272213
capacity_cargo,Korea Strait,2750,96,3.490909090909091,2155214.2596363635,2154797.8625454544,0.9998067955011678,-416.39709090907127
capacity_cargo,Malacca Strait,2750,68,2.4727272727272727,4392430.845090909,4391948.210181818,0.9998901212276046,-482.634909090586
capacity_cargo,Dover Strait,2750,59,2.1454545454545455,1934066.4192727273,1934028.5574545455,0.9999804237239195,-37.86181818181649
capacity_cargo,Bohai Strait,2750,51,1.8545454545454545,4961392.052,4961241.793454546,0.9999697144382302,-150.2585454545915
capacity_cargo,Gibraltar Strait,2750,51,1.8545454545454545,2285289.1552727274,2285174.1803636365,0.9999496891197223,-114.97490909090266
capacity_cargo,Tsugaru Strait,2750,25,0.9090909090909091,841080.6556363637,841097.7458181818,1.0000203193138537,17.090181818115525
capacity_cargo,Bab el-Mandeb Strait,2750,24,0.8727272727272728,1435631.5134545455,1435588.834909091,0.9999702719360403,-42.67854545451701
capacity_cargo,Suez Canal,2750,24,0.8727272727272728,1484314.7032727273,1484209.1930909092,0.9999289165689826,-105.51018181815743
capacity_cargo,Cape of Good Hope,2750,19,0.6909090909090909,2818071.0105454545,2817557.6614545453,0.9998178367085186,-513.3490909091197
capacity_cargo,Luzon Strait,2750,17,0.6181818181818182,2767556.4163636365,2767135.948,0.9998480723423918,-420.46836363663897
capacity_cargo,Panama Canal,2750,17,0.6181818181818182,547742.5261818182,547722.5145454545,0.9999634652498078,-20.01163636369165
capacity_cargo,Windward Passage,2750,16,0.5818181818181818,230825.49818181817,230825.4930909091,0.9999999779447716,-0.005090909078717232
capacity_cargo,Yucatan Channel,2750,13,0.4727272727272728,403693.6276363636,403669.5669090909,0.9999403985457646,-24.060727272706572
capacity_cargo,Makassar Strait,2750,12,0.4363636363636364,2723855.097818182,2723654.034909091,0.9999261844327725,-201.06290909089148
capacity_cargo,Kerch Strait,2750,11,0.4,40663.57781818182,40631.164363636366,0.9992028872941191,-32.413454545450804
capacity_cargo,Bosporus Strait,2750,10,0.36363636363636365,720517.1352727272,720518.7032727273,1.000002176214726,1.568000000086613
