date,y_true,posterior_median,lower_95,upper_95
2022-01-01,48.0,52.541310446686026,35.311177782441135,69.28020205935083
2022-01-02,55.0,52.35501379220355,36.35844810552559,69.11568509496956
2022-01-03,49.0,51.90416165406994,36.459451557310395,68.31582667285491
2022-01-04,57.0,52.96408509577657,36.210635983965396,69.5380116954424
2022-01-05,53.0,52.86917746982694,37.2974300834752,69.41299479606947
2022-01-06,49.0,53.391510218970126,36.927703773017726,69.50805197875827
2022-01-07,45.0,53.990105181308664,37.44532415540804,68.94523987410942
2022-01-08,52.0,54.266029248598606,38.224887894444926,70.61395963929283
2022-01-09,68.0,54.488009068139945,37.175106944333265,70.68841538583024
2022-01-10,57.0,54.06406079319365,38.18505528852048,69.54978580069412
2022-01-11,52.0,53.64478069163819,37.74708603852828,69.48653839697559
2022-01-12,52.0,54.81338293810465,38.87949843713253,71.50794398849864
2022-01-13,59.0,55.47884541982677,39.469718765135546,71.6995923011122
2022-01-14,55.0,55.778844138320395,39.401359641590766,71.43083040922929
2022-01-15,51.0,54.65207442822167,38.719287760478686,72.01707366822741
2022-01-16,57.0,54.395410340865475,38.37345845987614,70.91414125263704
2022-01-17,58.0,54.53250290036438,38.419633106833274,70.38768812960454
2022-01-18,62.0,54.8444785338597,38.230999015232065,71.18888239250647
2022-01-19,50.0,55.186114667955714,39.67029174994068,71.72305785846389
2022-01-20,55.0,55.28519656054274,39.32366410907469,70.86635127686544
2022-01-21,51.0,55.20262623176313,38.384487351166975,71.13308629080288
2022-01-22,39.0,54.813837701519326,40.03699408791423,70.43281226664989
2022-01-23,45.0,55.093446605315776,38.75125043542606,70.77646498746977
2022-01-24,55.0,55.43884945738194,39.44995015631613,72.26670764382438
2022-01-25,69.0,56.63425082778927,40.55418144591479,73.68725279616717
2022-01-26,63.0,58.26072499599218,41.584721012468506,73.58723688980386
2022-01-27,66.0,59.038912257764956,44.598375299539136,75.9122649201833
2022-01-28,56.0,58.80861261010391,42.726111362100355,75.07449960331712
2022-01-29,69.0,58.57001895131661,42.37307398241035,74.57540903450186
2022-01-30,56.0,57.80470752751169,41.823083210171426,73.74443185655257
2022-01-31,53.0,57.72919951927777,41.975398782762,72.90259053946154
2022-02-01,53.0,57.571865161061396,42.37912359600348,73.87397906498423
2022-02-02,56.0,58.58138482921909,42.9945677737744,73.91791059906423
2022-02-03,71.0,59.4025757074852,43.54174366756394,75.78710275586434
2022-02-04,62.0,59.28404973792365,42.67809695212635,74.90131297085708
2022-02-05,62.0,58.67150359989866,42.551335268860285,75.20459604397458
2022-02-06,54.0,57.96595380744381,42.29204562745556,74.13725347438084
2022-02-07,48.0,56.84884552693947,41.67033201156967,73.66224245808463
2022-02-08,59.0,57.9963801851943,41.8560638541936,74.35469313358635
2022-02-09,63.0,58.39070376271991,42.77062949738644,74.93562154955423
2022-02-10,54.0,58.463409940485604,42.973328325922964,74.45992622850267
2022-02-11,66.0,59.081048171842895,43.17829421358581,75.10054877101209
2022-02-12,60.0,58.315028511442726,42.291529384347825,75.34293987784636
2022-02-13,51.0,57.529944614024814,42.46504419153491,73.66211914392703
2022-02-14,57.0,57.7397535132407,42.357558879156,73.55053693359808
2022-02-15,57.0,58.52736846058556,41.9908429170971,75.38974815425092
2022-02-16,54.0,58.71496908508492,43.19113245917251,74.791033657504
2022-02-17,58.0,59.336239574861956,44.03285177449947,75.68392612916422
2022-02-18,60.0,60.12409685528693,44.510186862209046,75.85142653205918
2022-02-19,56.0,59.55694386974981,44.15921194300738,76.08972977037642
2022-02-20,69.0,59.58526219430909,43.48400555480799,75.7032750897397
2022-02-21,64.0,59.68535000269762,44.372072193847195,75.97345571983269
2022-02-22,59.0,59.36882197796337,43.152202870803585,76.93699600650228
2022-02-23,65.0,60.18575499399853,44.4104791728354,75.71248231328858
2022-02-24,51.0,60.87381447713484,43.97445522461196,76.17355347724815
2022-02-25,75.0,61.26695060626544,44.84275634753635,77.00556185090866
2022-02-26,59.0,60.36127456112129,44.70802675644207,76.03885126214396
2022-02-27,61.0,59.57351337723845,43.41988510258036,75.19868145930126
2022-02-28,55.0,58.942997027851064,43.825153943400274,75.11478733063606
2022-03-01,47.0,58.73618816782421,42.52927328107461,75.16947696271617
2022-03-02,60.0,60.28337058650316,44.09059536930639,76.19939814416225
