terminal_match_radius_km,sample_period,route_specification,speed_knots,resolved_voyages,routed_voyages,route_coverage_rate,total_modeled_sailing_vessel_days,mean_modeled_sailing_days_per_voyage,total_nominal_capacity_m3_days,mean_nominal_capacity_m3_days_per_voyage
10,post,strict_30nm_snap,13.0,396,314,0.7929292929292929,4447.201922667682,14.163063447986248,749585010.3018448,2387213.4086046014
10,post,strict_30nm_snap,15.0,396,314,0.7929292929292929,3854.2416663119907,12.274654988254747,649640342.2615988,2068918.287457321
10,post,strict_30nm_snap,17.0,396,314,0.7929292929292929,3400.801470275286,10.830577930813014,573212066.7014109,1825516.1359917545
10,post,expanded_60nm_snap,13.0,396,384,0.9696969696969697,5369.310444490069,13.982579282526222,903824388.9305623,2353709.346173339
10,post,expanded_60nm_snap,15.0,396,384,0.9696969696969697,4653.402385224726,12.11823537818939,783314470.4064872,2039881.433350227
10,post,expanded_60nm_snap,17.0,396,384,0.9696969696969697,4105.943281080641,10.692560627814169,691159826.8292534,1799895.3823678475
10,pre,strict_30nm_snap,13.0,567,478,0.8430335097001763,6217.752299529074,13.007849999014798,1031484830.0750475,2157918.0545503087
10,pre,strict_30nm_snap,15.0,567,478,0.8430335097001763,5388.718659591865,11.27346999914616,893953519.3983743,1870195.6472769338
10,pre,strict_30nm_snap,17.0,567,478,0.8430335097001763,4754.75175846341,9.947179411011318,788782517.1162128,1650172.629950236
10,pre,expanded_60nm_snap,13.0,567,549,0.9682539682539683,7208.314299380438,13.129898541676571,1195153950.193293,2176965.30089853
10,pre,expanded_60nm_snap,15.0,567,549,0.9682539682539683,6247.205726129712,11.379245402786362,1035800090.1675206,1886703.260778726
10,pre,expanded_60nm_snap,17.0,567,549,0.9682539682539683,5512.24034658504,10.040510649517378,913941256.0301653,1664738.1712753468
20,post,strict_30nm_snap,13.0,685,535,0.781021897810219,7522.210624630014,14.060206775009371,1274042860.164611,2381388.5236721705
20,post,strict_30nm_snap,15.0,685,535,0.781021897810219,6519.249208012678,12.185512538341454,1104170478.8093297,2063870.0538492145
20,post,strict_30nm_snap,17.0,685,535,0.781021897810219,5752.278712952364,10.751922827948343,974268069.5376438,1821061.812219895
20,post,expanded_60nm_snap,13.0,685,667,0.9737226277372263,9071.334074508482,13.600201011257095,1531870123.2064233,2296656.8563814443
20,post,expanded_60nm_snap,15.0,685,667,0.9737226277372263,7861.822864574018,11.786840876422817,1327620773.445567,1990435.9421972516
20,post,expanded_60nm_snap,17.0,685,667,0.9737226277372263,6936.90252756531,10.40015371449072,1171430094.2166767,1756267.0078211045
20,pre,strict_30nm_snap,13.0,920,752,0.8173913043478261,9609.868714241296,12.779080737023001,1593331418.1573915,2118791.7794646164
20,pre,strict_30nm_snap,15.0,920,752,0.8173913043478261,8328.552885675788,11.075203305419931,1380887229.0697396,1836286.2088693345
20,pre,strict_30nm_snap,17.0,920,752,0.8173913043478261,7348.723134419815,9.772238210664648,1218429908.0027113,1620252.537237648
20,pre,expanded_60nm_snap,13.0,920,897,0.975,11406.85734491405,12.716674854976644,1890307064.2422519,2107365.7349411948
20,pre,expanded_60nm_snap,15.0,920,897,0.975,9885.943032258845,11.021118207646428,1638266122.3432846,1826383.6369490353
20,pre,expanded_60nm_snap,17.0,920,897,0.975,8722.890910816626,9.724516065570375,1445528931.479369,1611514.9737785608
30,post,strict_30nm_snap,13.0,746,588,0.7882037533512064,8431.509225201291,14.339301403403557,1429628260.2631993,2431340.5786789106
30,post,strict_30nm_snap,15.0,746,588,0.7882037533512064,7307.307995174452,12.427394549616416,1239011158.8947725,2107161.8348550554
30,post,strict_30nm_snap,17.0,746,588,0.7882037533512064,6447.624701624517,10.965348132014485,1093245140.20127,1859260.4425191667
30,post,expanded_60nm_snap,13.0,746,726,0.9731903485254692,10050.402565433675,13.843529704454097,1699330376.069951,2340675.449132164
30,post,expanded_60nm_snap,15.0,746,726,0.9731903485254692,8710.348890042518,11.997725743860219,1472752992.5939574,2028585.3892478752
30,post,expanded_60nm_snap,17.0,746,726,0.9731903485254692,7685.601961802222,10.586228597523721,1299487934.641727,1789928.284630478
30,pre,strict_30nm_snap,13.0,971,798,0.8218331616889805,10287.704710308513,12.891860539233726,1708399144.3224764,2140851.058048216
30,pre,strict_30nm_snap,15.0,971,798,0.8218331616889805,8916.010748934046,11.17294580066923,1480612591.7461462,1855404.2503084538
30,pre,strict_30nm_snap,17.0,971,798,0.8218331616889805,7867.068307882981,9.858481588825791,1306422875.070129,1637121.3973309887
30,pre,expanded_60nm_snap,13.0,971,948,0.976313079299691,12135.61845040794,12.801285285240443,2013605351.055964,2124056.277485194
30,pre,expanded_60nm_snap,15.0,971,948,0.976313079299691,10517.535990353546,11.094447247208382,1745124637.5818357,1840848.7738205018
30,pre,expanded_60nm_snap,17.0,971,948,0.976313079299691,9280.178815017834,9.789218159301512,1539815856.6898549,1624278.3298416191
