origin_rule,horizon_days,block_index,block_name,test_start,test_end,train_start,train_end,n_train_days,n_test_days
backward_anchored_from_cutoff,91,1,bwd_01,2023-03-04,2023-06-02,2022-01-01,2023-03-03,427,91
backward_anchored_from_cutoff,91,2,bwd_02,2023-06-03,2023-09-01,2022-01-01,2023-06-02,518,91
backward_anchored_from_cutoff,91,3,bwd_03,2023-09-02,2023-12-01,2022-01-01,2023-09-01,609,91
backward_anchored_from_cutoff,91,4,bwd_04,2023-12-02,2024-03-01,2022-01-01,2023-12-01,700,91
backward_anchored_from_cutoff,91,5,bwd_05,2024-03-02,2024-05-31,2022-01-01,2024-03-01,791,91
backward_anchored_from_cutoff,91,6,bwd_06,2024-06-01,2024-08-30,2022-01-01,2024-05-31,882,91
backward_anchored_from_cutoff,91,7,bwd_07,2024-08-31,2024-11-29,2022-01-01,2024-08-30,973,91
backward_anchored_from_cutoff,91,8,bwd_08,2024-11-30,2025-02-28,2022-01-01,2024-11-29,1064,91
backward_anchored_from_cutoff,91,9,bwd_09,2025-03-01,2025-05-30,2022-01-01,2025-02-28,1155,91
backward_anchored_from_cutoff,91,10,bwd_10,2025-05-31,2025-08-29,2022-01-01,2025-05-30,1246,91
backward_anchored_from_cutoff,91,11,bwd_11,2025-08-30,2025-11-28,2022-01-01,2025-08-29,1337,91
backward_anchored_from_cutoff,91,12,bwd_12,2025-11-29,2026-02-27,2022-01-01,2025-11-28,1428,91
backward_anchored_from_cutoff,130,1,bwd_01,2023-04-25,2023-09-01,2022-01-01,2023-04-24,479,130
backward_anchored_from_cutoff,130,2,bwd_02,2023-09-02,2024-01-09,2022-01-01,2023-09-01,609,130
backward_anchored_from_cutoff,130,3,bwd_03,2024-01-10,2024-05-18,2022-01-01,2024-01-09,739,130
backward_anchored_from_cutoff,130,4,bwd_04,2024-05-19,2024-09-25,2022-01-01,2024-05-18,869,130
backward_anchored_from_cutoff,130,5,bwd_05,2024-09-26,2025-02-02,2022-01-01,2024-09-25,999,130
backward_anchored_from_cutoff,130,6,bwd_06,2025-02-03,2025-06-12,2022-01-01,2025-02-02,1129,130
backward_anchored_from_cutoff,130,7,bwd_07,2025-06-13,2025-10-20,2022-01-01,2025-06-12,1259,130
backward_anchored_from_cutoff,130,8,bwd_08,2025-10-21,2026-02-27,2022-01-01,2025-10-20,1389,130
forward_anchored_direct,30,1,fwd_01,2023-01-01,2023-01-30,2022-01-01,2022-12-31,365,30
forward_anchored_direct,30,2,fwd_02,2023-01-31,2023-03-01,2022-01-01,2023-01-30,395,30
forward_anchored_direct,30,3,fwd_03,2023-03-02,2023-03-31,2022-01-01,2023-03-01,425,30
forward_anchored_direct,30,4,fwd_04,2023-04-01,2023-04-30,2022-01-01,2023-03-31,455,30
forward_anchored_direct,30,5,fwd_05,2023-05-01,2023-05-30,2022-01-01,2023-04-30,485,30
forward_anchored_direct,30,6,fwd_06,2023-05-31,2023-06-29,2022-01-01,2023-05-30,515,30
forward_anchored_direct,30,7,fwd_07,2023-06-30,2023-07-29,2022-01-01,2023-06-29,545,30
forward_anchored_direct,30,8,fwd_08,2023-07-30,2023-08-28,2022-01-01,2023-07-29,575,30
forward_anchored_direct,30,9,fwd_09,2023-08-29,2023-09-27,2022-01-01,2023-08-28,605,30
forward_anchored_direct,30,10,fwd_10,2023-09-28,2023-10-27,2022-01-01,2023-09-27,635,30
forward_anchored_direct,30,11,fwd_11,2023-10-28,2023-11-26,2022-01-01,2023-10-27,665,30
forward_anchored_direct,30,12,fwd_12,2023-11-27,2023-12-26,2022-01-01,2023-11-26,695,30
forward_anchored_direct,30,13,fwd_13,2023-12-27,2024-01-25,2022-01-01,2023-12-26,725,30
forward_anchored_direct,30,14,fwd_14,2024-01-26,2024-02-24,2022-01-01,2024-01-25,755,30
forward_anchored_direct,30,15,fwd_15,2024-02-25,2024-03-25,2022-01-01,2024-02-24,785,30
forward_anchored_direct,30,16,fwd_16,2024-03-26,2024-04-24,2022-01-01,2024-03-25,815,30
forward_anchored_direct,30,17,fwd_17,2024-04-25,2024-05-24,2022-01-01,2024-04-24,845,30
forward_anchored_direct,30,18,fwd_18,2024-05-25,2024-06-23,2022-01-01,2024-05-24,875,30
forward_anchored_direct,30,19,fwd_19,2024-06-24,2024-07-23,2022-01-01,2024-06-23,905,30
forward_anchored_direct,30,20,fwd_20,2024-07-24,2024-08-22,2022-01-01,2024-07-23,935,30
forward_anchored_direct,30,21,fwd_21,2024-08-23,2024-09-21,2022-01-01,2024-08-22,965,30
forward_anchored_direct,30,22,fwd_22,2024-09-22,2024-10-21,2022-01-01,2024-09-21,995,30
forward_anchored_direct,30,23,fwd_23,2024-10-22,2024-11-20,2022-01-01,2024-10-21,1025,30
forward_anchored_direct,30,24,fwd_24,2024-11-21,2024-12-20,2022-01-01,2024-11-20,1055,30
forward_anchored_direct,30,25,fwd_25,2024-12-21,2025-01-19,2022-01-01,2024-12-20,1085,30
forward_anchored_direct,30,26,fwd_26,2025-01-20,2025-02-18,2022-01-01,2025-01-19,1115,30
forward_anchored_direct,30,27,fwd_27,2025-02-19,2025-03-20,2022-01-01,2025-02-18,1145,30
forward_anchored_direct,30,28,fwd_28,2025-03-21,2025-04-19,2022-01-01,2025-03-20,1175,30
forward_anchored_direct,30,29,fwd_29,2025-04-20,2025-05-19,2022-01-01,2025-04-19,1205,30
forward_anchored_direct,30,30,fwd_30,2025-05-20,2025-06-18,2022-01-01,2025-05-19,1235,30
forward_anchored_direct,30,31,fwd_31,2025-06-19,2025-07-18,2022-01-01,2025-06-18,1265,30
forward_anchored_direct,30,32,fwd_32,2025-07-19,2025-08-17,2022-01-01,2025-07-18,1295,30
forward_anchored_direct,30,33,fwd_33,2025-08-18,2025-09-16,2022-01-01,2025-08-17,1325,30
forward_anchored_direct,30,34,fwd_34,2025-09-17,2025-10-16,2022-01-01,2025-09-16,1355,30
forward_anchored_direct,30,35,fwd_35,2025-10-17,2025-11-15,2022-01-01,2025-10-16,1385,30
forward_anchored_direct,30,36,fwd_36,2025-11-16,2025-12-15,2022-01-01,2025-11-15,1415,30
forward_anchored_direct,30,37,fwd_37,2025-12-16,2026-01-14,2022-01-01,2025-12-15,1445,30
forward_anchored_direct,30,38,fwd_38,2026-01-15,2026-02-13,2022-01-01,2026-01-14,1475,30
forward_anchored_direct,65,1,fwd_01,2023-01-01,2023-03-06,2022-01-01,2022-12-31,365,65
forward_anchored_direct,65,2,fwd_02,2023-03-07,2023-05-10,2022-01-01,2023-03-06,430,65
forward_anchored_direct,65,3,fwd_03,2023-05-11,2023-07-14,2022-01-01,2023-05-10,495,65
forward_anchored_direct,65,4,fwd_04,2023-07-15,2023-09-17,2022-01-01,2023-07-14,560,65
forward_anchored_direct,65,5,fwd_05,2023-09-18,2023-11-21,2022-01-01,2023-09-17,625,65
forward_anchored_direct,65,6,fwd_06,2023-11-22,2024-01-25,2022-01-01,2023-11-21,690,65
forward_anchored_direct,65,7,fwd_07,2024-01-26,2024-03-30,2022-01-01,2024-01-25,755,65
forward_anchored_direct,65,8,fwd_08,2024-03-31,2024-06-03,2022-01-01,2024-03-30,820,65
forward_anchored_direct,65,9,fwd_09,2024-06-04,2024-08-07,2022-01-01,2024-06-03,885,65
forward_anchored_direct,65,10,fwd_10,2024-08-08,2024-10-11,2022-01-01,2024-08-07,950,65
forward_anchored_direct,65,11,fwd_11,2024-10-12,2024-12-15,2022-01-01,2024-10-11,1015,65
forward_anchored_direct,65,12,fwd_12,2024-12-16,2025-02-18,2022-01-01,2024-12-15,1080,65
forward_anchored_direct,65,13,fwd_13,2025-02-19,2025-04-24,2022-01-01,2025-02-18,1145,65
forward_anchored_direct,65,14,fwd_14,2025-04-25,2025-06-28,2022-01-01,2025-04-24,1210,65
forward_anchored_direct,65,15,fwd_15,2025-06-29,2025-09-01,2022-01-01,2025-06-28,1275,65
forward_anchored_direct,65,16,fwd_16,2025-09-02,2025-11-05,2022-01-01,2025-09-01,1340,65
forward_anchored_direct,65,17,fwd_17,2025-11-06,2026-01-09,2022-01-01,2025-11-05,1405,65
forward_anchored_direct,91,1,fwd_01,2023-01-01,2023-04-01,2022-01-01,2022-12-31,365,91
forward_anchored_direct,91,2,fwd_02,2023-04-02,2023-07-01,2022-01-01,2023-04-01,456,91
