model,target,actual_cumulative_throughput_loss,actual_mean_daily_throughput_loss,actual_n_days,actual_n_train,n_placebos,approx_non_overlapping_placebos,overlapping_windows,nominal_p_value_supported,placebo_train_min,placebo_train_median,placebo_train_max,placebo_valid_days_min,placebo_valid_days_median,placebo_valid_days_max,placebo_loss_mean,placebo_loss_median,placebo_loss_p05,placebo_loss_p95,loss_vs_placebo_p95_ratio,placebo_mean_daily_loss_mean,placebo_mean_daily_loss_median,placebo_mean_daily_loss_p05,placebo_mean_daily_loss_p95,mean_daily_loss_vs_placebo_p95_ratio,overlapping_reference_rank_loss_ge_actual,overlapping_reference_rank_mean_daily_loss_ge_actual,overlapping_reference_rank_abs_loss_ge_actual
ar_lag1_7,hormuz_tanker_capacity,291006059.90571,2466153.0500483895,118,1519,35,7,True,False,365,875.0,1385,130,130.0,130,46637731.946866386,37623471.09988649,-3182799.783386145,114189064.40962206,2.5484582206734374,358751.7842066645,289411.31615297304,-24483.075256816497,878377.4185355543,2.807623463453787,0.027777777777777776,0.027777777777777776,0.027777777777777776
ar_lag1_7,hormuz_tanker_transits,6868.996006081118,52.838430816008604,130,1519,35,7,True,False,365,875.0,1385,130,130.0,130,693.6761116391789,492.6571853028689,-426.18056787901276,2124.29668428793,3.233538919910156,5.335970089532145,3.7896706561759146,-3.2783120606077905,16.340743725291773,3.233538919910155,0.027777777777777776,0.027777777777777776,0.027777777777777776
arx_lag1_7_route,hormuz_tanker_capacity,294171692.7267485,2492980.446836852,118,1519,35,7,True,False,365,875.0,1385,130,130.0,130,45185812.79215718,35632890.13142336,-8936575.451309219,115850700.06598936,2.53923103234755,347583.175324286,274099.1548571028,-68742.88808699399,891159.2312768413,2.7974579169930633,0.027777777777777776,0.027777777777777776,0.027777777777777776
arx_lag1_7_route,hormuz_tanker_transits,7056.41855841607,54.28014275704669,130,1519,35,7,True,False,365,875.0,1385,130,130.0,130,637.4528230778126,417.09760811877237,-615.314668552046,2170.79577343672,3.2506137356461773,4.903483254444712,3.2084431393751722,-4.733189758092661,16.698429026436308,3.2506137356461773,0.027777777777777776,0.027777777777777776,0.027777777777777776
arx_lag1_7_route_energy,hormuz_tanker_capacity,347194943.6727116,2942330.0311246747,118,1519,35,7,True,False,365,875.0,1385,130,130.0,130,19793709.576397687,8379681.289561123,-33824185.016355865,92586138.43343836,3.7499667827956293,152259.3044338284,64459.08684277787,-260186.0385873528,712201.0648726028,4.131319336978235,0.027777777777777776,0.027777777777777776,0.027777777777777776
arx_lag1_7_route_energy,hormuz_tanker_transits,8171.521698088585,62.85785921606604,130,1519,35,7,True,False,365,875.0,1385,130,130.0,130,131.0589372612832,-17.572351674258357,-958.4275279929253,1541.590456479992,5.300708540157365,1.0081456712406403,-0.13517193595583352,-7.3725194460994254,11.858388126769169,5.300708540157365,0.027777777777777776,0.027777777777777776,0.027777777777777776
seasonal_naive_7d,hormuz_tanker_capacity,275613446.0,2335707.1694915253,118,1519,35,7,True,False,365,875.0,1385,130,130.0,130,-9399928.17142857,-12352121.0,-89894306.0,77946398.19999999,3.535935621974641,-72307.13978021978,-95016.31538461539,-691494.6615384615,599587.6784615384,3.8955222953957906,0.027777777777777776,0.027777777777777776,0.027777777777777776
seasonal_naive_7d,hormuz_tanker_transits,7124.0,54.8,130,1519,35,7,True,False,365,875.0,1385,130,130.0,130,-197.94285714285715,-338.0,-1592.8,1342.0999999999992,5.308099247448032,-1.5226373626373626,-2.6,-12.252307692307692,10.323846153846148,5.308099247448032,0.027777777777777776,0.027777777777777776,0.027777777777777776
