value_col,donor_set,actual_cumulative_throughput_loss,actual_mean_daily_throughput_loss,actual_counterfactual_sum,actual_normalized_throughput_loss,actual_n_days,n_donors,donor_loss_mean,donor_loss_median,donor_loss_p95,loss_vs_donor_p95_ratio,donor_mean_daily_loss_mean,donor_mean_daily_loss_median,donor_mean_daily_loss_p95,mean_daily_loss_vs_donor_p95_ratio,donor_normalized_loss_mean,donor_normalized_loss_median,donor_normalized_loss_p95,normalized_loss_vs_donor_p95_ratio,p_donor_loss_ge_actual,p_donor_mean_daily_loss_ge_actual,p_donor_normalized_loss_ge_actual,max_donor_slug,max_donor_loss,max_normalized_donor_slug,max_normalized_donor_loss
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,27,7218003.037037037,-82568.0,35443606.9,7.776111691386578,55924.54877574687,-635.1384615384616,272643.13,8.56690271084962,-0.10247233344009919,0.012946218248109695,0.3303451302144325,2.752502186921616,0.03571428571428571,0.03571428571428571,0.037037037037037035,malacca_strait,170388294.0,kerch_strait,0.6314601799527648
capacity_tanker,low_contamination_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,22,8647861.318181818,-246557.0,37123771.15,7.424176948143912,67014.69692408097,-1908.8327966607035,285567.47038461536,8.17917799371787,-0.1251712117462749,-0.0031413209405214116,0.3413398937171237,2.6638424341564644,0.043478260869565216,0.043478260869565216,0.045454545454545456,malacca_strait,170388294.0,kerch_strait,0.6314601799527648
n_tanker,all_donors,7124.0,54.8,7653.0,0.9308767803475761,130,27,131.03703703703704,-4.0,1010.9,7.047185676130181,1.0079772079772082,-0.03076923076923077,7.776153846153846,7.04718567613018,-0.04976919223175798,0.004835919895902758,0.20434708261464343,4.555371030684193,0.03571428571428571,0.03571428571428571,0.037037037037037035,malacca_strait,2495.0,ombai_strait,0.24695652173913044
n_tanker,low_contamination_donors,7124.0,54.8,7653.0,0.9308767803475761,130,22,139.1818181818182,-31.0,1022.9999999999999,6.963831867057674,1.0706293706293708,-0.23846153846153847,7.869230769230769,6.9638318670576735,-0.053012155797682446,-0.020944148936170214,0.21022918773171553,4.427914079825665,0.043478260869565216,0.043478260869565216,0.045454545454545456,malacca_strait,2495.0,ombai_strait,0.24695652173913044
