model,horizon_days,form,scope,held_out_unit,threshold,requested_episodes_per_year,achieved_episodes_per_year,attainable,n_calibration_units,n_candidate_thresholds,rate_curve_monotone,monotonicity_violations,max_upward_rate_step,literal_tie_rule_threshold,literal_tie_rule_rate,literal_tie_rule_exceedance_share,literal_tie_rule_degenerate,held_out_episodes,held_out_censored_episodes,held_out_exposure_years,held_out_episodes_per_year
global_ridge,1,raw_level,end_to_end_loco,bab_el_mandeb_strait,8.014315625110122,2.0,1.9938733681896532,True,26,36486,False,1028,0.03352762988801228,-73.86132132975456,0.5340516267484099,0.9999717585924482,True,0,0,2.948665297741273,0.0
global_ridge,1,raw_level,end_to_end_loco,balabac_strait,8.00036325908372,2.0,1.9938733681896532,True,26,36486,False,1019,0.03352762988801228,-73.88232113483758,0.5274339286423713,0.9999714750263856,True,0,0,3.912388774811773,0.0
global_ridge,1,raw_level,end_to_end_loco,bering_strait,8.039205325048895,2.0,1.9938733681896532,True,26,36486,False,1044,0.03352762988801228,-73.95317810683487,0.5274339286423713,0.9999716537218664,True,0,0,3.912388774811773,0.0
global_ridge,1,raw_level,end_to_end_loco,bohai_strait,7.369693078597443,2.0,1.9970863747183785,True,26,36486,False,1010,0.03352762988801228,-73.70047332177735,0.5274339286423713,0.9999714750263856,True,30,0,3.912388774811773,7.667949615115465
global_ridge,1,raw_level,end_to_end_loco,bosporus_strait,7.935225238592601,2.0,1.9938733681896532,True,26,36486,False,1026,0.03352762988801228,-73.84830460304657,0.5274339286423713,0.9999714750263856,True,11,0,3.912388774811773,2.811581525542337
global_ridge,1,raw_level,end_to_end_loco,cape_of_good_hope,8.043731906275696,2.0,1.9938733681896528,True,26,36486,False,1020,0.03352762988801228,-74.0483751217246,0.5274339286423713,0.9999714750263856,True,0,0,3.912388774811773,0.0
global_ridge,1,raw_level,end_to_end_loco,dover_strait,7.635567577826322,2.0,1.9970863747183782,True,26,36486,False,1013,0.03352762988801228,-73.73379653586383,0.5274339286423713,0.9999714750263856,True,18,1,3.912388774811773,4.600769769069279
global_ridge,1,raw_level,end_to_end_loco,gibraltar_strait,7.861900848968013,2.0,1.9938733681896532,True,26,36486,False,1027,0.03352762988801228,-73.82074191391149,0.5274339286423713,0.9999714750263856,True,10,0,3.912388774811773,2.5559832050384883
global_ridge,1,raw_level,end_to_end_loco,kerch_strait,7.9795247961382785,2.0,1.9956330408569736,True,26,36486,False,1054,0.013129043853343347,-73.9242207772852,0.5135677080238864,0.999972273823717,True,2,0,1.1471594798083504,1.743436754176611
global_ridge,1,raw_level,end_to_end_loco,korea_strait,7.153752034092367,2.0,1.9872556700836148,True,26,36486,False,1019,0.03352762988801228,-74.63192441836878,0.5274339286423714,0.9999714750263856,True,35,2,3.912388774811773,8.94594121763471
