model,target,unit,counterfactual_scenario,counterfactual_sum,observed_sum,dark_rate,false_positive_rate,implied_true_total,true_reduction,reduction_attributable_to_observability
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.05,0.05,529.0,0.9225952840889035,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.05,0.1,501.15789473684214,0.926669216505277,-0.004073932416373549
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.05,0.2,445.47368421052636,0.934817081338024,-0.012221797249120536
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.1,0.0,587.7777777777777,0.9139947600987817,0.008600523990121789
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.1,0.05,558.3888888888888,0.9182950220938426,0.004300261995060839
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.1,0.1,529.0,0.9225952840889035,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.1,0.2,470.2222222222223,0.9311958080790252,-0.008600523990121789
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.2,0.0,661.25,0.9032441051111293,0.019351178977774164
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.2,0.05,628.1874999999999,0.9080818998555729,0.014513384233330595
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.2,0.1,595.125,0.9129196946000164,0.009675589488887026
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.2,0.2,529.0,0.9225952840889035,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.3,0.0,755.7142857142858,0.8894218344127193,0.033173449676184186
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.3,0.05,717.9285714285714,0.8949507426920833,0.027644541396820155
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.3,0.1,680.1428571428572,0.9004796509714473,0.022115633117456124
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.3,0.2,604.5714285714287,0.9115374675301754,0.011057816558728062
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.4,0.0,881.6666666666667,0.8709921401481724,0.05160314394073107
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.4,0.05,837.5833333333333,0.8774425331407638,0.04515275094813964
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.4,0.1,793.5000000000001,0.8838929261333552,0.03870235795554822
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.4,0.2,705.3333333333335,0.896793712118538,0.025801571970365478
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.5,0.0,1058.0,0.8451905681778069,0.07740471591109654
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.5,0.05,1005.0999999999999,0.8529310397689166,0.06966424431998686
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.5,0.1,952.2,0.8606715113600263,0.06192377272887717
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.5,0.2,846.4000000000001,0.8761524545422456,0.046442829546657904
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.7,0.0,1763.333333333333,0.741984280296345,0.18061100379255846
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.7,0.05,1675.1666666666663,0.7548850662815277,0.16771021780737572
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.7,0.1,1586.9999999999998,0.7677858522667105,0.15480943182219298
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.7,0.2,1410.6666666666665,0.793587424237076,0.1290078598518275
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.9,0.0,5290.000000000001,0.22595284088903456,0.6966424431998689
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.9,0.05,5025.500000000001,0.2646551988445828,0.6579400852443207
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.9,0.1,4761.000000000001,0.3033575568001311,0.6192377272887724
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_lower,6834.208920908448,529.0,0.9,0.2,4232.000000000002,0.3807622727112274,0.541833011377676
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.0,0.0,529.0,0.9333689888400105,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.0,0.05,502.54999999999995,0.93670053939801,-0.0033315505579994964
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.0,0.1,476.1,0.9400320899560095,-0.006663101115998993
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.0,0.2,423.20000000000005,0.9466951910720084,-0.013326202231997875
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.05,0.0,556.8421052631579,0.9298620935158005,0.003506895324210002
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.05,0.05,529.0,0.9333689888400105,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.05,0.1,501.15789473684214,0.9368758841642205,-0.003506895324210002
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.05,0.2,445.47368421052636,0.9438896748126404,-0.010520685972629895
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.1,0.0,587.7777777777777,0.9259655431555672,0.007403445684443288
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.1,0.05,558.3888888888888,0.9296672659977889,0.0037017228422215886
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.1,0.1,529.0,0.9333689888400105,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.1,0.2,470.2222222222223,0.9407724345244538,-0.007403445684443288
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.2,0.0,661.25,0.9167112360500131,0.01665775278999737
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.2,0.05,628.1874999999999,0.9208756742475125,0.012493314592498028
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.2,0.1,595.125,0.9250401124450118,0.008328876394998685
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.2,0.2,529.0,0.9333689888400105,0.0
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.3,0.0,755.7142857142858,0.904812841200015,0.028556147639995477
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.3,0.05,717.9285714285714,0.9095721991400143,0.023796789699996213
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.3,0.1,680.1428571428572,0.9143315570800136,0.019037431759996948
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.3,0.2,604.5714285714287,0.923850272960012,0.00951871587999853
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.4,0.0,881.6666666666667,0.8889483147333509,0.04442067410665962
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.4,0.05,837.5833333333333,0.8945008989966834,0.038868089843327125
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.4,0.1,793.5000000000001,0.9000534832600158,0.03331550557999474
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.4,0.2,705.3333333333335,0.9111586517866807,0.022210337053329865
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.5,0.0,1058.0,0.866737977680021,0.06663101115998948
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.5,0.05,1005.0999999999999,0.87340107879602,0.05996791004399049
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.5,0.1,952.2,0.8800641799120189,0.05330480892799161
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.5,0.2,846.4000000000001,0.8933903821440168,0.039978606695993735
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.7,0.0,1763.333333333333,0.7778966294667018,0.15547235937330872
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.7,0.05,1675.1666666666663,0.7890017979933668,0.14436719084664373
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.7,0.1,1586.9999999999998,0.8001069665200315,0.13326202231997897
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.7,0.2,1410.6666666666665,0.8223173035733614,0.1110516852666491
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.9,0.0,5290.000000000001,0.33368988840010516,0.5996791004399054
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.9,0.05,5025.500000000001,0.3670053939800999,0.5663635948599106
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.9,0.1,4761.000000000001,0.40032089956009465,0.5330480892799159
ar_lag1_7,hormuz_tanker_transits,transits,bootstrap_block_upper,7939.246167671149,529.0,0.9,0.2,4232.000000000002,0.466951910720084,0.4664170781199265
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.0,0.0,529.0,0.907643820924664,0.0
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.0,0.05,502.54999999999995,0.9122616298784308,-0.004617808953766844
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.0,0.1,476.1,0.9168794388321976,-0.009235617907533578
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.0,0.2,423.20000000000005,0.9261150567397312,-0.018471235815067155
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.05,0.0,556.8421052631579,0.9027829693943832,0.004860851530280819
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.05,0.05,529.0,0.907643820924664,0.0
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.05,0.1,501.15789473684214,0.9125046724549448,-0.004860851530280819
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.05,0.2,445.47368421052636,0.9222263755155065,-0.014582554590842456
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.1,0.0,587.7777777777777,0.8973820232496267,0.01026179767503732
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.1,0.05,558.3888888888888,0.9025129220871453,0.005130898837518716
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.1,0.1,529.0,0.907643820924664,0.0
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_lower,5727.82465987997,529.0,0.1,0.2,470.2222222222223,0.9179056185997013,-0.01026179767503732
