model,outcome,n_pre_days,n_post_days,n_days,observed_sum,counterfactual_sum,cumulative_gap_observed_minus_predicted,cumulative_throughput_loss,mean_daily_throughput_loss,posterior_median_shortfall,posterior_mean_shortfall,lower_95,upper_95,posterior_probability_shortfall_positive,n_posterior_draws
ar_lag1_7,wto_hormuz_lng_volume_index,423,94,94.0,129.84748844917908,9534.522487229237,-9404.67499878006,9404.67499878006,100.0497340295751,,,,,,
bsts_local_level_weekly,wto_hormuz_lng_volume_index,423,94,,,,,,,9214.501219931775,9392.896465563597,2665.9646149165446,17115.188797073628,1.0,1500.0
