value_col,slug,is_treated,train_start,train_end,test_start,test_end,normalized_throughput_loss,n_days,observed_sum,counterfactual_sum,cumulative_gap_observed_minus_predicted,cumulative_throughput_loss,mean_daily_throughput_loss,portname,contamination_flag,contamination_note
n_tanker,yucatan_channel,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.18781942078364566,94,2789.0,2348.0,441.0,-441.0,-4.691489361702128,Yucatan Channel,False,
capacity_tanker,bab_el_mandeb_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.1357892520815984,94,60262513.0,69731270.0,-9468757.0,9468757.0,100731.4574468085,Bab el-Mandeb Strait,True,Potential rerouting / Red Sea disruption exposure.
capacity_tanker,balabac_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.6617066868621682,89,3383396.0,2036097.0,1347299.0,-1347299.0,-15138.191011235955,Balabac Strait,False,
capacity_tanker,bering_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,,94,69284.0,0.0,69284.0,-69284.0,-737.063829787234,Bering Strait,False,
capacity_tanker,bohai_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.2034964489620127,94,53846294.0,67603332.0,-13757038.0,13757038.0,146351.46808510637,Bohai Strait,False,
capacity_tanker,bosporus_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.3596669366963845,94,43647219.0,32101405.0,11545814.0,-11545814.0,-122827.8085106383,Bosporus Strait,False,
capacity_tanker,cape_of_good_hope,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,-0.19808051057973303,94,99769105.0,83274124.0,16494981.0,-16494981.0,-175478.52127659574,Cape of Good Hope,True,Direct rerouting substitute for Middle East-Europe traffic.
capacity_tanker,dover_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.13480978777810712,94,126530555.0,146245939.0,-19715384.0,19715384.0,209738.12765957447,Dover Strait,False,
capacity_tanker,gibraltar_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.08631276043358224,94,117875540.0,129010820.0,-11135280.0,11135280.0,118460.4255319149,Gibraltar Strait,True,Europe/Mediterranean route exposure; possible spillover.
capacity_tanker,kerch_strait,False,2022-01-01,2026-02-27,2026-02-28,2026-06-01,0.5395415819586878,72,1122273.0,2437295.0,-1315022.0,1315022.0,18264.194444444445,Kerch Strait,False,
