model,horizon_days,form,unit,episodes,censored_episodes,episode_days,eligible_days,exposure_years,episodes_per_year,mean_episode_days
global_ridge,1,raw_level,bab_el_mandeb_strait,0,0,0,1077,2.948665297741273,0.0,0.0
global_ridge,1,raw_level,balabac_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,bering_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,bohai_strait,26,0,203,1429,3.912388774811773,6.645556333100069,7.8076923076923075
global_ridge,1,raw_level,bosporus_strait,11,0,35,1429,3.912388774811773,2.811581525542337,3.1818181818181817
global_ridge,1,raw_level,cape_of_good_hope,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,dover_strait,16,1,142,1429,3.912388774811773,4.0895731280615815,8.875
global_ridge,1,raw_level,gibraltar_strait,10,0,53,1429,3.912388774811773,2.5559832050384883,5.3
global_ridge,1,raw_level,kerch_strait,2,0,21,419,1.1471594798083504,1.743436754176611,10.5
global_ridge,1,raw_level,korea_strait,36,1,479,1429,3.912388774811773,9.201539538138558,13.305555555555555
global_ridge,1,raw_level,lombok_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,luzon_strait,20,0,95,1429,3.912388774811773,5.111966410076977,4.75
global_ridge,1,raw_level,magellan_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,makassar_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,malacca_strait,27,1,323,1429,3.912388774811773,6.9011546536039186,11.962962962962964
global_ridge,1,raw_level,mindoro_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,mona_passage,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,ombai_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,oresund_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,panama_canal,0,0,0,1274,3.488021902806297,0.0,0.0
global_ridge,1,raw_level,suez_canal,0,0,0,1070,2.9295003422313486,0.0,0.0
global_ridge,1,raw_level,sunda_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,taiwan_strait,39,1,469,1429,3.912388774811773,9.968334499650105,12.025641025641026
global_ridge,1,raw_level,torres_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,tsugaru_strait,15,0,83,1429,3.912388774811773,3.8339748075577327,5.533333333333333
global_ridge,1,raw_level,windward_passage,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,raw_level,yucatan_channel,4,0,24,1429,3.912388774811773,1.0223932820153954,6.0
global_ridge,1,scale_invariant,bab_el_mandeb_strait,1,0,2,1077,2.948665297741273,0.33913649025069637,2.0
global_ridge,1,scale_invariant,balabac_strait,15,0,103,1429,3.912388774811773,3.8339748075577327,6.866666666666666
global_ridge,1,scale_invariant,bering_strait,3,0,53,1429,3.912388774811773,0.7667949615115465,17.666666666666668
global_ridge,1,scale_invariant,bohai_strait,11,0,44,1429,3.912388774811773,2.811581525542337,4.0
global_ridge,1,scale_invariant,bosporus_strait,13,0,46,1429,3.912388774811773,3.3227781665500347,3.5384615384615383
global_ridge,1,scale_invariant,cape_of_good_hope,9,0,42,1429,3.912388774811773,2.3003848845346395,4.666666666666667
global_ridge,1,scale_invariant,dover_strait,2,0,16,1429,3.912388774811773,0.5111966410076977,8.0
global_ridge,1,scale_invariant,gibraltar_strait,2,0,4,1429,3.912388774811773,0.5111966410076977,2.0
global_ridge,1,scale_invariant,kerch_strait,3,0,24,419,1.1471594798083504,2.6151551312649164,8.0
global_ridge,1,scale_invariant,korea_strait,10,0,69,1429,3.912388774811773,2.5559832050384883,6.9
global_ridge,1,scale_invariant,lombok_strait,2,0,8,1429,3.912388774811773,0.5111966410076977,4.0
global_ridge,1,scale_invariant,luzon_strait,15,0,71,1429,3.912388774811773,3.8339748075577327,4.733333333333333
global_ridge,1,scale_invariant,magellan_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,1,scale_invariant,makassar_strait,12,1,101,1429,3.912388774811773,3.067179846046186,8.416666666666666
global_ridge,1,scale_invariant,malacca_strait,2,0,12,1429,3.912388774811773,0.5111966410076977,6.0
global_ridge,1,scale_invariant,mindoro_strait,13,0,153,1429,3.912388774811773,3.3227781665500347,11.76923076923077
global_ridge,1,scale_invariant,mona_passage,5,0,14,1429,3.912388774811773,1.2779916025192442,2.8
global_ridge,1,scale_invariant,ombai_strait,12,0,69,1429,3.912388774811773,3.067179846046186,5.75
global_ridge,1,scale_invariant,oresund_strait,11,0,58,1429,3.912388774811773,2.811581525542337,5.2727272727272725
global_ridge,1,scale_invariant,panama_canal,4,0,18,1274,3.488021902806297,1.1467817896389325,4.5
global_ridge,1,scale_invariant,suez_canal,1,0,4,1070,2.9295003422313486,0.3413551401869159,4.0
global_ridge,1,scale_invariant,sunda_strait,5,0,46,1429,3.912388774811773,1.2779916025192442,9.2
global_ridge,1,scale_invariant,taiwan_strait,16,0,58,1429,3.912388774811773,4.0895731280615815,3.625
global_ridge,1,scale_invariant,torres_strait,4,0,8,1429,3.912388774811773,1.0223932820153954,2.0
global_ridge,1,scale_invariant,tsugaru_strait,21,1,162,1429,3.912388774811773,5.367564730580826,7.714285714285714
global_ridge,1,scale_invariant,windward_passage,1,0,2,1429,3.912388774811773,0.25559832050384884,2.0
global_ridge,1,scale_invariant,yucatan_channel,9,0,38,1429,3.912388774811773,2.3003848845346395,4.222222222222222
global_ridge,7,raw_level,bab_el_mandeb_strait,1,0,2,1077,2.948665297741273,0.33913649025069637,2.0
global_ridge,7,raw_level,balabac_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,bering_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,bohai_strait,28,0,207,1429,3.912388774811773,7.156752974107767,7.392857142857143
global_ridge,7,raw_level,bosporus_strait,11,0,35,1429,3.912388774811773,2.811581525542337,3.1818181818181817
global_ridge,7,raw_level,cape_of_good_hope,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,dover_strait,15,1,101,1429,3.912388774811773,3.8339748075577327,6.733333333333333
global_ridge,7,raw_level,gibraltar_strait,9,0,40,1429,3.912388774811773,2.3003848845346395,4.444444444444445
global_ridge,7,raw_level,kerch_strait,2,0,30,419,1.1471594798083504,1.743436754176611,15.0
global_ridge,7,raw_level,korea_strait,37,2,537,1429,3.912388774811773,9.457137858642406,14.513513513513514
global_ridge,7,raw_level,lombok_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,7,raw_level,luzon_strait,18,0,88,1429,3.912388774811773,4.600769769069279,4.888888888888889
global_ridge,7,raw_level,magellan_strait,0,0,0,1429,3.912388774811773,0.0,0.0
