value_col,donor_set,actual_cumulative_throughput_loss,actual_mean_daily_throughput_loss,actual_counterfactual_sum,actual_normalized_throughput_loss,actual_n_days,n_donors,donor_loss_mean,donor_loss_median,donor_loss_p95,loss_vs_donor_p95_ratio,donor_mean_daily_loss_mean,donor_mean_daily_loss_median,donor_mean_daily_loss_p95,mean_daily_loss_vs_donor_p95_ratio,donor_normalized_loss_mean,donor_normalized_loss_median,donor_normalized_loss_p95,normalized_loss_vs_donor_p95_ratio,p_donor_loss_ge_actual,p_donor_mean_daily_loss_ge_actual,p_donor_normalized_loss_ge_actual,max_donor_slug,max_donor_loss,max_normalized_donor_slug,max_normalized_donor_loss,dropped_slug,dropped_portname,dropped_contamination_flag,dropped_was_raw_max,dropped_was_normalized_max
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7106537.846153846,-246557.0,35779639.75,7.703080520814914,55082.564557062586,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.11035768885462786,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,bab_el_mandeb_strait,Bab el-Mandeb Strait,True,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7573860.730769231,8625.0,35779639.75,7.703080520814914,58711.608344044835,72.34483173076922,275227.9980769231,8.486444641575753,-0.07805010246079058,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,balabac_strait,Balabac Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7511408.769230769,8625.0,35779639.75,7.703080520814914,58197.89784911341,72.34483173076922,275227.9980769231,8.486444641575753,-0.10247233344009922,0.012946218248109695,0.3303451302144325,2.752502186921616,0.037037037037037035,0.037037037037037035,0.037037037037037035,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,bering_strait,Bering Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,6609090.653846154,-246557.0,35779639.75,7.703080520814914,51256.047693157256,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.1159311276029903,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,bohai_strait,Bohai Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,8043870.461538462,8625.0,35779639.75,7.703080520814914,62292.815444636544,72.34483173076922,275227.9980769231,8.486444641575753,-0.09536570686889251,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,bosporus_strait,Bosporus Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,8375151.653846154,8625.0,35779639.75,7.703080520814914,64841.13230854188,72.34483173076922,275227.9980769231,8.486444641575753,-0.09898380267117254,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,cape_of_good_hope,Cape of Good Hope,True,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,6313343.653846154,-246557.0,33857284.25,8.140447531612049,48981.07077008033,-1908.8327966607035,260440.6480769231,8.9682896534709,-0.11248591166128383,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,dover_strait,Dover Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,6833285.692307692,-246557.0,35779639.75,7.703080520814914,52980.624912092164,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.11015667549315408,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,gibraltar_strait,Gibraltar Strait,True,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7366078.538461538,-246557.0,35779639.75,7.703080520814914,56805.492959429444,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.13182963397581376,-0.0031413209405214116,0.29460739395242125,3.086398074248532,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,malacca_strait,0.3413398937171237,kerch_strait,Kerch Strait,False,False,True
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,8448102.23076923,8625.0,35779639.75,7.703080520814914,65402.290592565536,72.34483173076922,275227.9980769231,8.486444641575753,-0.09432130000213361,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,korea_strait,Korea Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7746348.769230769,8625.0,35779639.75,7.703080520814914,60004.187042269674,72.34483173076922,275227.9980769231,8.486444641575753,-0.08970446644973336,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,lombok_strait,Lombok Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,6054856.846153846,-246557.0,28816791.5,9.564334946865962,46992.71071090874,-1908.8327966607035,221667.62692307692,10.536979178750634,-0.11420896262614423,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,luzon_strait,Luzon Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7558950.884615385,8625.0,35779639.75,7.703080520814914,58708.81642096791,72.34483173076922,275227.9980769231,8.486444641575753,-0.08415869316688562,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,magellan_strait,Magellan Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7710262.846153846,8625.0,35779639.75,7.703080520814914,59820.568631724636,72.34483173076922,275227.9980769231,8.486444641575753,-0.03979259533381285,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,makassar_strait,Makassar Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,942222.6153846154,-246557.0,28816791.5,9.564334946865962,7664.755089606963,-1908.8327966607035,221667.62692307692,10.536979178750634,-0.12022482252638811,-0.0031413209405214116,0.29460739395242125,3.086398074248532,0.037037037037037035,0.037037037037037035,0.038461538461538464,luzon_strait,37459804.0,kerch_strait,0.6314601799527648,malacca_strait,Malacca Strait,False,True,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7596766.769230769,8625.0,35779639.75,7.703080520814914,58925.478091943995,72.34483173076922,275227.9980769231,8.486444641575753,-0.08927940182671308,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,mindoro_strait,Mindoro Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7558130.730769231,8625.0,35779639.75,7.703080520814914,58676.571731618795,72.34483173076922,275227.9980769231,8.486444641575753,-0.09794270445575616,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,mona_passage,Mona Passage,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7348275.384615385,-246557.0,35779639.75,7.703080520814914,56658.73186475489,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.11846566036595753,-0.0031413209405214116,0.32979063716103296,2.757130102848077,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,ombai_strait,Ombai Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7491779.384615385,-246557.0,35779639.75,7.703080520814914,58045.499570006374,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.1077325770751728,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,oresund_strait,Oresund Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7611078.384615385,8625.0,35779639.75,7.703080520814914,58963.645622151336,72.34483173076922,275227.9980769231,8.486444641575753,-0.10399401820335395,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,panama_canal,Panama Canal,True,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7373841.692307692,-246557.0,35779639.75,7.703080520814914,57138.74798901524,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.10793653975537516,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,suez_canal,Suez Canal,True,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7739869.576923077,8625.0,35779639.75,7.703080520814914,59954.34710144128,72.34483173076922,275227.9980769231,8.486444641575753,-0.09894605831748957,0.0290337574367408,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,sunda_strait,Sunda Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7296393.807692308,-246557.0,35779639.75,7.703080520814914,56542.995030435355,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.10869430141495329,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,taiwan_strait,Taiwan Strait,False,False,False
capacity_tanker,all_donors,275613446.0,2335707.1694915253,303113179.0,0.9092756933541316,118,26,7460724.5,-246557.0,35779639.75,7.703080520814914,57749.380450443095,-1908.8327966607035,275227.9980769231,8.486444641575753,-0.11267068086599026,-0.0031413209405214116,0.3325440829149706,2.734301225220199,0.037037037037037035,0.037037037037037035,0.038461538461538464,malacca_strait,170388294.0,kerch_strait,0.6314601799527648,torres_strait,Torres Strait,False,False,False
