portname,measure,year,n_days,n_changed_rows,pct_changed_rows,share_of_all_revisions_pct,mean_july,mean_august,ratio_august_over_july,date_min,date_max,partial_year
Strait of Hormuz,n_tanker,2019,365,364,99.72602739726028,13.582089552238806,45.07671232876712,37.99178082191781,0.842825016714277,2019-01-01,2019-12-31,False
Strait of Hormuz,n_tanker,2020,366,365,99.72677595628416,13.619402985074627,48.849726775956285,41.442622950819676,0.8483695956149674,2020-01-01,2020-12-31,False
Strait of Hormuz,n_tanker,2021,365,364,99.72602739726028,13.582089552238806,55.95616438356164,47.11780821917808,0.8420485703094399,2021-01-01,2021-12-31,False
Strait of Hormuz,n_tanker,2022,365,364,99.72602739726028,13.582089552238806,63.75068493150685,52.728767123287675,0.8271090291804548,2022-01-01,2022-12-31,False
Strait of Hormuz,n_tanker,2023,365,365,100.0,13.619402985074627,59.0986301369863,48.775342465753425,0.8253210328682027,2023-01-01,2023-12-31,False
Strait of Hormuz,n_tanker,2024,366,363,99.18032786885246,13.544776119402986,56.240437158469945,45.99180327868852,0.8177710843373494,2024-01-01,2024-12-31,False
Strait of Hormuz,n_tanker,2025,365,365,100.0,13.619402985074627,51.443835616438356,42.49589041095891,0.8260638014592321,2025-01-01,2025-12-31,False
Strait of Hormuz,n_tanker,2026,193,130,67.35751295336787,4.850746268656716,15.911917098445596,12.518134715025907,0.7867144252686421,2026-01-01,2026-07-12,True
