target,basin_group,n_corridors,mean_signed_deviation_point,median_signed_deviation_point,min_signed_deviation,max_signed_deviation,interval_policy
capacity_tanker,caribbean_gulf_of_mexico,2,0.16030043921652598,0.16030043921652598,0.026714451800364587,0.2938864266326874,point_only_not_additive
capacity_tanker,central_america_interoceanic,1,0.2111990288460636,0.2111990288460636,0.2111990288460636,0.2111990288460636,point_only_not_additive
capacity_tanker,europe_mediterranean_black_sea,4,-0.07310304354482888,-0.09209082349141778,-0.11765952171447601,0.009428994517996033,point_only_not_additive
capacity_tanker,maritime_southeast_asia_oceania,4,-0.06440646145279241,-0.02811943309214158,-0.3159823446522428,0.11459536502535629,point_only_not_additive
capacity_tanker,northeast_asia,5,-0.07947300029004233,-0.1630277952746282,-0.34193846662609495,0.400464490489076,point_only_not_additive
capacity_tanker,red_sea_arabian_gulf,3,-0.5009343541091608,-0.2959142400645776,-0.9527368922950429,-0.25415192996786184,point_only_not_additive
capacity_tanker,southern_africa,1,0.15319907222293278,0.15319907222293278,0.15319907222293278,0.15319907222293278,point_only_not_additive
n_tanker,caribbean_gulf_of_mexico,3,0.0897253756514791,0.1048489825880119,-0.06414495694982823,0.22847210131625365,point_only_not_additive
n_tanker,central_america_interoceanic,1,0.2101032647438628,0.2101032647438628,0.2101032647438628,0.2101032647438628,point_only_not_additive
n_tanker,europe_mediterranean_black_sea,5,-0.12220256751782292,-0.11250936686457164,-0.24363953171524672,-0.044055723876549185,point_only_not_additive
n_tanker,maritime_southeast_asia_oceania,8,-0.059050567992171316,-0.07171958209687218,-0.19791485681285198,0.07695531121925184,point_only_not_additive
n_tanker,north_pacific_arctic,1,-0.9157972854154253,-0.9157972854154253,-0.9157972854154253,-0.9157972854154253,point_only_not_additive
n_tanker,northeast_asia,5,-0.12155226903471235,-0.12200342586328058,-0.21923393666634725,0.014612970690595434,point_only_not_additive
n_tanker,red_sea_arabian_gulf,3,-0.4619576974438017,-0.23497025465731228,-0.9550059450066439,-0.1958968926674489,point_only_not_additive
n_tanker,southern_africa,1,0.4617725391765247,0.4617725391765247,0.4617725391765247,0.4617725391765247,point_only_not_additive
n_tanker,southern_south_america,1,-0.18139614340119364,-0.18139614340119364,-0.18139614340119364,-0.18139614340119364,point_only_not_additive
