project_id,terminal_name,terminal_lat,terminal_lon,destination_project_id,destination_terminal_name,destination_terminal_lat,destination_terminal_lon,route_engine,route_engine_version,route_units,route_restrictions,modeled_route_nm,modeled_terminal_to_terminal_nm,great_circle_nm,route_to_geodesic_ratio,origin_snap_nm,destination_snap_nm,route_passages,route_status,distance_accepted,distance_accepted_expanded,route_error
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130532,Huelva LNG Terminal,37.17355,-6.911,searoute,1.6.0,naut,"[""northwest""]",4642.7499805599255,4649.366702921172,4198.561322820506,1.1073713935414964,0.6141235564807217,6.002598804765706,[],accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130557,South Hook LNG Terminal,51.7152,-5.07627,searoute,1.6.0,naut,"[""northwest""]",4663.4135191637415,4666.511023608275,3964.987985234992,1.1769294234902217,0.6141235564807217,2.483380888052329,[],accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130560,Quintero LNG Terminal,-32.783333,-71.533333,searoute,1.6.0,naut,"[""northwest""]",4147.414470850182,4174.912912489382,3955.328480939058,1.0555161050740824,0.6141235564807217,26.884318082718615,"[""panama""]",accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130562,Cartagena FSRU (Colombia),10.4,-75.5,searoute,1.6.0,naut,"[""northwest""]",1701.471285008873,1704.183439426425,1532.8785223202628,1.1117537460482283,0.6141235564807217,2.0980308610709297,[],accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130575,Costa Norte LNG Terminal,9.3389775,-79.90797,searoute,1.6.0,naut,"[""northwest""]",1464.658379895592,1473.1379794773545,1439.9458436555021,1.0230509612344791,0.6141235564807217,7.865476025281794,"[""panama""]",accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130685,Ain Sokhna FSRU,29.64863,32.355923,searoute,1.6.0,naut,"[""northwest""]",6713.658094265346,6727.373059625707,6076.86555045721,1.1070465528268196,0.6141235564807217,13.100841803879991,"[""suez"",""gibraltar""]",accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000131096,Piombino FSRU,42.932151,10.54641,searoute,1.6.0,naut,"[""northwest""]",5583.681992130162,5584.9374140165755,4760.866090135544,1.1730927331874546,0.6141235564807217,0.6412983299322667,"[""gibraltar""]",accepted_modeled_shortest_sea_route,True,True,
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000131141,Mukran FSRU,54.478384,13.598351,searoute,1.6.0,naut,"[""northwest""]",5312.052857010574,5326.577314516156,4508.548230325552,1.1814395770878856,0.6141235564807217,13.910333949100195,[],accepted_modeled_shortest_sea_route,True,True,
T100000130214,Cameron LNG Terminal,30.035379,-93.3383732,T100000130310,Boryeong LNG Terminal,36.415,126.4947,searoute,1.6.0,naut,"[""northwest""]",10024.096484132357,10051.748456863139,6229.794882097264,1.6134958930588756,3.790493978977456,23.86147875180565,"[""panama""]",accepted_modeled_shortest_sea_route,True,True,
T100000130214,Cameron LNG Terminal,30.035379,-93.3383732,T100000130312,Incheon LNG Terminal,37.35124,126.602,searoute,1.6.0,naut,"[""northwest""]",10084.74460204387,10102.785399423434,6180.69101518743,1.6345721497157006,3.790493978977456,14.250303400587317,"[""panama""]",accepted_modeled_shortest_sea_route,True,True,
