period,destination_unit,destination_unit_type,unit_of_measure,measurement_basis,portfolio_js_distance,portfolio_js_zscore,portfolio_js_robust_zscore,pre_empirical_tail_p,pre_empirical_percentile,post_treatment,pre_calibration_months,coverage_note,admissibility_note
2024-01,China,importer,t,weight_ton,0.1975905934198372,1.6831812301354097,1.2867422640234858,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-02,China,importer,t,weight_ton,0.13456884257180496,-0.9077805481187218,-0.557696984381197,0.8461538461538461,0.16666666666666666,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-03,China,importer,t,weight_ton,0.21217207075969685,2.2826576005897334,1.7134941194299338,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-04,China,importer,t,weight_ton,0.17449305682932256,0.7335910700308964,0.6107533799358793,0.38461538461538464,0.6666666666666666,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-05,China,importer,t,weight_ton,0.2100722892526647,2.1963309981993295,1.6520404249112994,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-06,China,importer,t,weight_ton,0.20892811351716054,2.149291435533964,1.6185541665125922,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-07,China,importer,t,weight_ton,0.2519662651255567,3.918683817109519,2.878139229401964,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-08,China,importer,t,weight_ton,0.23076935228141018,3.0472324490159823,2.257775347588644,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-09,China,importer,t,weight_ton,0.2069545285132292,2.0681530469218794,1.560793828338371,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-10,China,importer,t,weight_ton,0.2637981526895688,4.405118548459305,3.2244196407221546,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-11,China,importer,t,weight_ton,0.18929390870083515,1.342086406461043,1.043925605941944,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
2024-12,China,importer,t,weight_ton,0.18839012623506138,1.3049299359859095,1.0174748674356024,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok,strict origin-split national customs; weight basis
