model,target,observed_sum,counterfactual_sum,assumed_dark_rate,implied_true_transits,true_reduction,reduction_attributable_to_observability
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.0,245.0,0.9543446654273477,0.0
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.1,272.22222222222223,0.9492718504748309,0.00507281495251688
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.2,306.25,0.9429308317841848,0.011413833643162952
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.3,350.0,0.9347780934676397,0.019566571959708012
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.4,408.33333333333337,0.9239077757122464,0.03043688971510139
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.5,490.0,0.9086893308546956,0.04565533457265214
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.7,816.6666666666665,0.8478155514244927,0.10652911400285503
ar_lag1_7,hormuz_tanker_transits,245.0,5366.295139292581,0.9,2450.0000000000005,0.5434466542734779,0.4108980111538698
