date,target,unit,corridor,portname,basin_group,value,is_pre_cutoff,eligible_for_admission
2022-02-09,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,673838.0,True,True
2022-02-10,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,786547.0,True,True
2022-02-11,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1029184.0,True,True
2022-02-12,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1019635.0,True,True
2022-02-13,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,632693.0,True,True
2022-02-14,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,578808.0,True,True
2022-02-15,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,697463.0,True,True
2022-02-16,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1025917.0,True,True
2022-02-17,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,532786.0,True,True
2022-02-18,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,467712.0,True,True
2022-02-19,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,570145.0,True,True
2022-02-20,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,888934.0,True,True
2022-02-21,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1564479.0,True,True
2022-02-22,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,999483.0,True,True
2022-02-23,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,455013.0,True,True
2022-02-24,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,775143.0,True,True
2022-02-25,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,822916.0,True,True
2022-02-26,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,592370.0,True,True
2022-02-27,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1024335.0,True,True
2022-02-28,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,710655.0,True,True
2022-03-01,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,455655.0,True,True
2022-03-02,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1304904.0,True,True
2022-03-03,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,601169.0,True,True
2022-03-04,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,634848.0,True,True
2022-03-05,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,694355.0,True,True
2022-03-06,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,670565.0,True,True
2022-03-07,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,441730.0,True,True
2022-03-08,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,946024.0,True,True
2022-03-09,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,695145.0,True,True
2022-03-10,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,919337.0,True,True
2022-03-11,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1014850.0,True,True
2022-03-12,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1009309.0,True,True
2022-03-13,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,574445.0,True,True
2022-03-14,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,802929.0,True,True
2022-03-15,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1009570.0,True,True
2022-03-16,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1034162.0,True,True
2022-03-17,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,832652.0,True,True
2022-03-18,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,885783.0,True,True
2022-03-19,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1188113.0,True,True
2022-03-20,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,815570.0,True,True
2022-03-21,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,986630.0,True,True
2022-03-22,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,836613.0,True,True
