model,target,nominal_coverage,start,end,n_days,observed_sum,counterfactual_sum,cumulative_throughput_loss,mean_daily_throughput_loss,ar_start,ar_end,ar_n_days,ar_observed_sum,ar_cumulative_throughput_loss,matched_ar_dates,matched_ar_observed,pct_diff_vs_ar
chronos2,hormuz_tanker_transits,0.95,2026-02-28,2026-07-07,130,529.0,7143.888416290283,6614.888416290283,50.88375704838679,2026-02-28,2026-07-07,130,529.0,6868.996006081119,True,True,-3.6993410618651477
chronos2,hormuz_tanker_capacity,0.95,2026-02-28,2026-07-07,118,27499733.0,287546258.875,260046525.875,2203784.117584746,2026-02-28,2026-07-07,118,27499733.0,291006059.90571004,True,True,-10.638793584140947
