onset_label,guard_days,pseudo_onset,recovered_fraction
register_onset,90,2020-09-09,-0.5990552766170066
register_onset,90,2020-09-10,-0.5266209378164526
register_onset,90,2020-09-11,-0.6603277478341869
register_onset,90,2020-09-12,-0.8004534574320098
register_onset,90,2020-09-13,-0.7559416301336678
register_onset,90,2020-09-14,-0.5797498885973388
register_onset,90,2020-09-15,-0.6921700183958361
register_onset,90,2020-09-16,-1.1770481785994888
register_onset,90,2020-09-17,-1.1795219866646869
register_onset,90,2020-09-18,-1.2041310123941875
register_onset,90,2020-09-19,-1.6462416294080964
register_onset,90,2020-09-20,-1.4226868745062757
register_onset,90,2020-09-21,-1.0403306136104304
register_onset,90,2020-09-22,-0.8085426508412944
register_onset,90,2020-09-23,-0.5527958562167151
register_onset,90,2020-09-24,-0.8848843366693275
register_onset,90,2020-09-25,-1.0715171551826832
register_onset,90,2020-09-26,-1.3961485850176862
register_onset,90,2020-09-27,-1.7039431077232774
register_onset,90,2020-09-28,-2.2119504381640627
register_onset,90,2020-09-29,-2.789637972182596
register_onset,90,2020-09-30,-3.6988789595865113
register_onset,90,2020-10-01,-3.3771397510145977
register_onset,90,2020-10-02,-3.2027371661265476
register_onset,90,2020-10-03,-7.141764083081305
register_onset,90,2021-01-21,-7.212992809463238
register_onset,90,2021-01-24,3.8913734731672474
register_onset,90,2021-01-25,3.6279967759351055
register_onset,90,2021-01-26,1.2368035417755912
register_onset,90,2021-01-27,1.7361838321428749
register_onset,90,2021-01-28,1.5236356833710551
register_onset,90,2021-01-29,0.9961662813946784
register_onset,90,2021-01-30,0.8486804847784034
register_onset,90,2021-01-31,0.811770897133343
register_onset,90,2021-02-01,0.6725045041763401
register_onset,90,2021-02-02,1.1130175168325362
register_onset,90,2021-02-03,0.7957135025814817
register_onset,90,2021-02-04,3.9824788753044924
register_onset,90,2021-02-05,1.9740856851321644
register_onset,90,2021-02-06,3.3549418621785074
register_onset,90,2021-02-07,2.4793350307127033
register_onset,90,2021-02-08,2.9323914428490245
register_onset,90,2021-02-09,3.19388699353102
register_onset,90,2021-02-10,1.88407515932893
register_onset,90,2021-02-11,2.2603754120722233
register_onset,90,2021-02-12,1.5795267042932233
register_onset,90,2021-02-13,1.7070901333913928
register_onset,90,2021-02-14,1.6420663210287285
register_onset,90,2021-02-15,1.0593283314180542
register_onset,90,2021-02-16,0.7996151136331014
register_onset,90,2021-02-17,0.8271336779170649
register_onset,90,2021-02-18,0.7196744826355764
register_onset,90,2021-02-19,0.5132708884152178
register_onset,90,2021-02-20,0.5849364287547972
register_onset,90,2021-02-21,0.40204203653411646
register_onset,90,2021-02-22,0.409952210777133
register_onset,90,2021-02-23,0.19664017571452555
register_onset,90,2021-02-24,0.12560896818766784
register_onset,90,2021-02-25,-0.11166013153608535
register_onset,90,2021-02-26,-0.05684071597401777
register_onset,90,2021-02-27,-0.04978025082051563
register_onset,90,2021-02-28,0.08768106960873635
register_onset,90,2021-03-01,0.2439912125500758
register_onset,90,2021-03-02,0.16431179425801593
register_onset,90,2021-03-03,0.19933474458444514
register_onset,90,2021-03-04,0.2200220994812961
register_onset,90,2021-03-05,0.20416732764576143
register_onset,90,2021-03-06,0.16609764509384517
register_onset,90,2021-03-07,0.19156559379401597
register_onset,90,2021-03-08,0.232446266296287
register_onset,90,2021-03-09,0.3298128003895648
register_onset,90,2021-03-10,0.6197237254507343
register_onset,90,2021-03-11,0.4641875112713781
register_onset,90,2021-03-12,0.3485092566093573
register_onset,90,2021-03-13,0.7598007241685567
register_onset,90,2021-03-14,0.7809248111908009
register_onset,90,2021-03-15,1.1213634084794413
register_onset,90,2021-03-16,1.2630391711141045
register_onset,90,2021-03-17,0.9271359717255212
register_onset,90,2021-03-18,1.0265461478317952
register_onset,90,2021-03-19,1.0539180825499417
register_onset,90,2021-03-20,0.6454883605066253
register_onset,90,2021-03-21,0.6184272934924969
register_onset,90,2021-03-22,0.4447119006452526
register_onset,90,2021-03-23,0.6610421193278919
register_onset,90,2021-03-24,0.7983176752291793
register_onset,90,2021-03-25,1.0000727006307113
register_onset,90,2021-03-26,0.9273543539639014
register_onset,90,2021-03-27,1.0578137333122004
register_onset,90,2021-03-28,1.3436059507883573
register_onset,90,2021-03-29,1.3424496146073406
register_onset,90,2021-03-30,5.289037069702129
register_onset,90,2021-04-02,71.88849574519814
register_onset,90,2021-04-05,17.265249145828346
register_onset,90,2021-04-06,5.896837445978607
register_onset,90,2021-04-07,18.430763022886687
register_onset,90,2021-04-08,0.7106525583178982
register_onset,90,2021-04-09,1.5417291233030177
register_onset,90,2021-04-10,0.06354798429507498
register_onset,90,2021-04-11,-1.8832811506190188
register_onset,90,2021-04-12,-0.22191068420977786
register_onset,90,2021-04-13,-0.7657857715126439
register_onset,90,2021-04-14,-3.392402443736362
register_onset,90,2021-05-09,38.00561030104064
register_onset,90,2021-05-12,-1.698906539577226
register_onset,90,2021-05-13,0.3208058748574335
register_onset,90,2021-05-15,-5.066722743385209
register_onset,90,2021-05-16,-3.063774430172977
register_onset,90,2021-05-20,-2.843423612117493
register_onset,90,2021-05-21,-1.9917810980269564
register_onset,90,2021-05-22,-1.438422451515686
register_onset,90,2021-05-23,-0.5513107575168654
register_onset,90,2021-05-24,-0.5407161293313432
