unit,date,july_outcome,august_outcome,proportional_component,residual_revision,pre_surveillance
strait_of_hormuz,2019-01-01,42.0,33.0,34.943380210672046,-1.9433802106720464,True
strait_of_hormuz,2019-01-02,45.0,35.0,37.43933594000576,-2.439335940005762,True
strait_of_hormuz,2019-01-03,54.0,49.0,44.92720312800691,4.072796871993091,True
strait_of_hormuz,2019-01-04,42.0,35.0,34.943380210672046,0.05661978932795364,True
strait_of_hormuz,2019-01-05,41.0,34.0,34.111394967560805,-0.11139496756080547,True
strait_of_hormuz,2019-01-06,40.0,35.0,33.279409724449565,1.7205902755504354,True
strait_of_hormuz,2019-01-07,60.0,50.0,49.91911458667435,0.08088541332565313,True
strait_of_hormuz,2019-01-08,42.0,31.0,34.943380210672046,-3.9433802106720464,True
strait_of_hormuz,2019-01-09,26.0,21.0,21.631616320892217,-0.631616320892217,True
strait_of_hormuz,2019-01-10,43.0,34.0,35.77536545378328,-1.7753654537832801,True
strait_of_hormuz,2019-01-11,49.0,40.0,40.76727691245072,-0.7672769124507184,True
strait_of_hormuz,2019-01-12,42.0,35.0,34.943380210672046,0.05661978932795364,True
strait_of_hormuz,2019-01-13,28.0,23.0,23.295586807114695,-0.2955868071146952,True
strait_of_hormuz,2019-01-14,43.0,34.0,35.77536545378328,-1.7753654537832801,True
strait_of_hormuz,2019-01-15,32.0,25.0,26.62352777955965,-1.6235277795596517,True
strait_of_hormuz,2019-01-16,37.0,27.0,30.78345399511585,-3.783453995115849,True
strait_of_hormuz,2019-01-17,37.0,29.0,30.78345399511585,-1.783453995115849,True
strait_of_hormuz,2019-01-18,38.0,32.0,31.615439238227086,0.38456076177291365,True
strait_of_hormuz,2019-01-19,41.0,37.0,34.111394967560805,2.8886050324391945,True
strait_of_hormuz,2019-01-20,50.0,40.0,41.59926215556196,-1.5992621555619593,True
strait_of_hormuz,2019-01-21,41.0,36.0,34.111394967560805,1.8886050324391945,True
strait_of_hormuz,2019-01-22,43.0,39.0,35.77536545378328,3.22463454621672,True
strait_of_hormuz,2019-01-23,38.0,31.0,31.615439238227086,-0.6154392382270863,True
strait_of_hormuz,2019-01-24,35.0,32.0,29.119483508893367,2.8805164911066328,True
strait_of_hormuz,2019-01-25,30.0,27.0,24.959557293337173,2.0404427066628266,True
