destination_unit,destination_unit_type,unit_of_measure,measurement_basis,pre_months,post_months,pre_start,pre_end,post_start,post_end,pre_edge_total_mean,post_edge_total_mean,edge_total_pct_change,pre_gulf_edge_mean,post_gulf_edge_mean,gulf_edge_pct_change,pre_non_gulf_edge_mean,post_non_gulf_edge_mean,non_gulf_edge_pct_change,pre_gulf_share_mean,post_gulf_share_mean,gulf_share_change_pp,pre_source_count_mean,post_source_count_mean,source_count_change,pre_source_hhi_mean,post_source_hhi_mean,source_hhi_change,pre_source_entropy_mean,post_source_entropy_mean,source_entropy_change,same_calendar_pre_months,same_calendar_post_months,same_calendar_edge_total_pct_change,same_calendar_gulf_share_change_pp,same_calendar_non_gulf_edge_pct_change,same_calendar_source_hhi_change,same_calendar_note,coverage_note,admissibility_note
China,importer,t,weight_ton,12,3,2025-03,2026-02,2026-03,2026-05,5510525.843583333,4093845.811666666,-25.708617872944075,1656381.0213333338,349533.402,-78.89776582210312,3854144.8222499997,3744312.4096666663,-2.849721991484866,0.3043393783467947,0.08842416971884835,-21.59152086279463,11.166666666666666,11.0,-0.16666666666666607,0.2192092988374966,0.1964981770527465,-0.0227111217847501,1.7862203625363005,1.8780653305202388,0.09184496798393837,3,3,-13.923582288884273,-24.953823317588125,18.91723534198688,-0.05802553113679451,same_calendar_prior_year,descriptive_coverage_ok,strict origin-split national customs; weight basis
EU27,aggregate_comparator,MIO_M3,volume_mio_m3,12,3,2025-03,2026-02,2026-03,2026-05,12447.3415,12885.211666666668,3.5177806173845916,740.6395833333335,307.288,-58.51045408388585,11706.701916666665,12577.92366666667,7.442076822334198,0.058374756240740205,0.021329464032732462,-3.7045292208007745,17.25,16.333333333333332,-0.9166666666666679,0.21740800993541443,0.2459739693208884,0.028565959385473988,1.8959807055738855,1.7107929818621759,-0.18518772371170966,3,3,-3.283672422888717,-6.06021636164544,2.8354680030108215,0.04912990368524536,same_calendar_prior_year,descriptive_coverage_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
India,importer,kUSD,value_kusd,12,3,2025-03,2026-02,2026-03,2026-05,1115909.1666666667,1173243.3333333333,5.137888313788963,646890.8333333334,59053.333333333336,-90.8712057289419,469018.3333333333,1114190.0,137.55787797918347,0.5806949579688169,0.058119477916328044,-52.257548005248886,7.916666666666667,9.0,1.083333333333333,0.270641568198336,0.21068336769167909,-0.05995820050665693,1.6282313267332198,1.7727769743994592,0.14454564766623945,3,3,5.939381170238378,-63.39487694319137,225.46932814021426,-0.11532337553245678,same_calendar_prior_year,descriptive_coverage_ok; value_basis,strict origin-split national customs; value basis because Tradestat HS-6 monthly quantity is unpopulated
Japan,importer,t,weight_ton,12,3,2025-03,2026-02,2026-03,2026-05,5333312.0,4632020.666666667,-13.14926509706038,349170.25,68319.33333333333,-80.43380461727958,4984141.75,4563701.333333333,-8.435562986680045,0.0649037317905285,0.013472681132363643,-5.143105065816486,11.833333333333334,11.333333333333334,-0.5,0.21733373891871144,0.22719106982232587,0.00985733090361443,1.9422771954188784,1.8726784197692385,-0.0695987756496399,3,3,-7.703367012111084,-4.686334388378835,-3.218533662000911,-0.004358589071133512,same_calendar_prior_year,descriptive_coverage_ok,strict origin-split Japan Customs/e-Stat snapshot; weight basis
Korea,importer,t,weight_ton,12,4,2025-03,2026-02,2026-03,2026-06,3984200.0,3353982.15,-15.817927061894487,600987.4416666667,63204.0,-89.48330770028709,3383212.558333333,3290778.15,-2.7321490074767585,0.15219212213323252,0.01655505502675135,-13.563706710648116,13.833333333333334,11.5,-2.333333333333334,0.1674334390119193,0.20239122196753917,0.03495778295561988,2.106655265708237,1.8877395832636619,-0.21891568244457527,4,4,-12.369717682023506,-15.468731683046943,3.4438141749112194,0.029125977029545058,same_calendar_prior_year,descriptive_coverage_ok,strict origin-split national customs; weight basis
Taiwan,importer,t,weight_ton,12,4,2025-03,2026-02,2026-03,2026-06,1959806.78,1987577.6262499997,1.417019602820213,677577.8315,109910.0585,-83.77897661488059,1282228.9485,1877667.56775,46.43777696226299,0.3489963124177345,0.05249039174779195,-29.650592066994253,7.5,7.75,0.25,0.25865146072084416,0.2668092705938483,0.00815780987300413,1.5926138543443136,1.6041770828486765,0.011563228504362977,4,4,2.496118426664329,-29.76507025860837,48.66951008198295,0.0018558277183551297,same_calendar_prior_year,descriptive_coverage_ok,strict origin-split national customs; weight basis
