terminal_match_radius_km,sample_period,export_origin_calls,resolved_voyages,right_censored_export_calls,unresolved_role_sequences,right_censoring_rate,unique_resolved_imos,strict_routed_voyages,expanded_routed_voyages,strict_route_coverage_rate,expanded_route_coverage_rate,strict_total_nominal_m3_nm,expanded_total_nominal_m3_nm,strict_mean_nominal_m3_nm_per_voyage,expanded_mean_nominal_m3_nm_per_voyage
10,post,636,396,209,31,0.32861635220125784,253,314,384,0.7929292929292929,0.9696969696969697,233870523214.1756,281993209346.33545,744810583.4846357,734357316.0060819
10,pre,848,567,244,37,0.28773584905660377,334,478,549,0.8430335097001763,0.9682539682539683,321823266983.4148,372888032460.3074,673270433.0196962,679213173.8803413
20,post,923,685,207,31,0.22426868905742145,377,535,667,0.781021897810219,0.9737226277372263,397501372371.35864,477943478440.40405,742993219.385717,716556939.1910106
20,pre,1180,920,232,28,0.19661016949152543,463,752,897,0.8173913043478261,0.975,497119402465.10626,589775804043.5825,661063035.1929605,657498109.3016528
30,post,988,746,213,29,0.21558704453441296,404,588,726,0.7882037533512064,0.9731903485254692,446044017202.1182,530191077333.8246,758578260.5478201,730290740.1292349
30,pre,1237,971,242,24,0.19563459983831852,476,798,948,0.8218331616889805,0.976313079299691,533020533028.6126,628244869529.4608,667945530.1110433,662705558.5753806
