imo,sample_period,event_id,project_id,terminal_name,terminal_lat,terminal_lon,end,destination_event_id,destination_project_id,destination_terminal_name,destination_terminal_lat,destination_terminal_lon,destination_start,destination_terminal_role,endpoint_status
9360893,pre,6c5286d8800b2770da3fb79781f26564,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-01 11:43:04+00:00,,,,,,,,right_censored
9397286,post,b286a213d5f9746cb56cc73c8e0d1b0c,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2026-02-28 09:58:14+00:00,,,,,,,,right_censored
9397327,post,d5624a7d94d3ee71934602a42a74bb30,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2026-02-28 09:30:57+00:00,f8c4f16f695865ebf121fcf3a41df017,T100000130671,Al Zour LNG Terminal,28.7183683,48.3973631,2026-04-20 04:52:09+00:00,regasification,resolved_liquefaction_to_regasification
9397327,post,97afdb43fef9070615455247ba10a69f,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2026-04-24 03:25:33+00:00,5eee771fa5a62935b1269b9e608712ee,T100000130299,GasPort FSRU,24.7749916,67.288333,2026-05-13 01:58:07+00:00,regasification,resolved_liquefaction_to_regasification
9397327,pre,77af9884590ae23acd81950407039a6d,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-27 18:05:04+00:00,9359ca7111207f8c6687107c56864a07,T100000130466,Adriatic LNG Terminal,45.091667,12.586111,2025-04-30 14:50:08+00:00,regasification,resolved_liquefaction_to_regasification
9397339,pre,02ab59ac943f1d4d0a02369f89619fab,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-15 14:06:35+00:00,a74005dc1f4417ded82a23a1e4d25a07,T100000130466,Adriatic LNG Terminal,45.091667,12.586111,2025-04-21 05:13:25+00:00,regasification,resolved_liquefaction_to_regasification
9397339,pre,01249195eab04ebdffe47e02de62a00e,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-06-02 04:05:53+00:00,,,,,,,,right_censored
9397341,pre,d0bc6267f53b9606fa0306111bcba72a,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-02 11:45:04+00:00,0fc21f8a2d0b822e8411a0163f295f70,T100000130313,Pyeongtaek LNG Terminal,37.0057,126.7841,2025-04-20 08:20:49+00:00,regasification,resolved_liquefaction_to_regasification
9397341,pre,541d258ab13cc3ea3ab6ef7767882884,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-12 08:18:39+00:00,9fddae08378720dc8e3a578b3043b3c0,T100000130321,Map Ta Phut LNG Terminal 1,12.651686,101.159533,2025-05-27 23:01:02+00:00,regasification,resolved_liquefaction_to_regasification
9397353,pre,6e2dfb3af2a275c7917a516e2bc24b9e,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-22 02:20:07+00:00,9b8e7472a1ca6b3804061770faeeb55d,T100000130299,GasPort FSRU,24.7749916,67.288333,2025-03-26 02:38:12+00:00,regasification,resolved_liquefaction_to_regasification
9397353,pre,8450600115c8ab9d764b08d98eb88593,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-01 11:43:31+00:00,ecc41702f489bbdd17b300fe7f14a4b1,T100000130671,Al Zour LNG Terminal,28.7183683,48.3973631,2025-04-03 04:05:13+00:00,regasification,resolved_liquefaction_to_regasification
9397353,pre,7aacbe69934c9b8e769187c6d4934db2,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-06 17:19:54+00:00,ae8fb518e104b2c755a8253bc6ffcedf,T100000130411,Tianjin LNG Terminal (Sinopec),38.749154,117.714895,2025-04-26 23:30:30+00:00,regasification,resolved_liquefaction_to_regasification
