model,target,mae_mean,mae_median,mae_std,rmse_mean,rmse_median,rmse_std,mase_mean,mase_median,mase_std,smape_mean,smape_median,smape_std
ar_lag1_7,hormuz_tanker_capacity,759505.7387491179,703892.6458505229,172596.70367242265,909572.1705374643,866962.5669610677,167657.04477191248,0.8413924118132481,0.7752392453869781,0.1955140166741755,30.371122237508715,27.05694874182875,10.706417094968055
ar_lag1_7,hormuz_tanker_transits,12.506480162649181,11.60093120632786,3.429049973686387,14.861605401680208,14.035326490128643,3.237947217526417,0.9197835122654631,0.8553729352240643,0.24829139464789227,23.310318715694333,20.4534181009276,9.012101670767883
arx_lag1_7_route,hormuz_tanker_capacity,759126.4127060205,721720.345580225,177188.3822854672,910253.8880595356,884698.2923816764,173882.33401208156,0.8409499901837671,0.7799755947047895,0.20039780426375106,30.35232960696401,26.277897553786026,10.771165615536821
arx_lag1_7_route,hormuz_tanker_transits,12.445342869721225,11.639170626939503,3.56160192916774,14.828978700044685,14.197437293255394,3.369992622168664,0.9156552304033577,0.8623902223064897,0.25917392808353157,23.205272872719608,19.93459519039158,9.161687281579411
arx_lag1_7_route_energy,hormuz_tanker_capacity,708151.4839586864,686568.4424932438,131983.20853552758,860250.4503684407,861589.0910293722,135296.34960718112,0.7842375967587409,0.7604063191564687,0.14969782794738423,28.657974558995978,26.34547877147534,8.530611665556872
arx_lag1_7_route_energy,hormuz_tanker_transits,11.671724585715427,11.047096806113121,2.799188351721907,14.011970652525104,13.663896886644505,2.784449497959459,0.8592816710109613,0.8318572432129758,0.20620517327780546,21.899494957398563,19.548464346783952,6.9931734944005095
seasonal_naive_7d,hormuz_tanker_capacity,880845.1052631579,901282.9333333333,171134.64449350836,1084967.8692013628,1120581.2015295809,200827.46970187197,0.9748759299468667,0.9667128213679652,0.1913019622560632,35.955870072537984,34.56963950058723,8.428641735921875
seasonal_naive_7d,hormuz_tanker_transits,13.645614035087718,12.933333333333334,3.366282388671244,16.69091839853428,15.62242275364898,3.949124322522007,1.0049800548036791,0.9716549439367399,0.2496774544881674,26.027413818007666,24.23275476840006,6.784355587777038
