k_days_flattened,replacement_level,last7_observed_mean,counterfactual_total,observed_total,cumulative_shortfall,delta_vs_locked,pct_of_locked
0,,58.714285714285715,7397.996006081115,529.0,6868.996006081115,0.0,0.0
7,55.42857142857143,58.714285714285715,7414.682731862169,529.0,6885.682731862169,16.68672578105361,0.24292816251866894
14,46.57142857142857,58.714285714285715,7354.73063174199,529.0,6825.73063174199,-43.26537433912563,-0.6298646017674612
21,38.857142857142854,58.714285714285715,7294.10041387105,529.0,6765.10041387105,-103.89559221006584,-1.5125295184054144
30,36.714285714285715,58.714285714285715,7270.244756065713,529.0,6741.244756065713,-127.75125001540255,-1.8598241999602925
