date,n_tanker_july,n_tanker_august,revision_august_minus_july,changed,ratio_august_over_july,residual__proportional_2019_2025,residual__affine_2019_2025,residual__proportional_2019_2026_02_27,residual__additive_2019_2025,default_mapping,residual_default,period,year,month
2019-01-01,42.0,33.0,-9.0,True,0.7857142857142857,-1.9405081880151442,-1.9823428645777241,-1.9144580972846015,0.12436448963629232,proportional_2019_2025,-1.9405081880151442,pre_onset,2019,2019-01
2019-01-02,45.0,35.0,-10.0,True,0.7777777777777778,-2.436258772873366,-2.4703334828910712,-2.4083479613763643,-0.8756355103637077,proportional_2019_2025,-2.436258772873366,pre_onset,2019,2019-01
2019-01-03,54.0,49.0,-5.0,True,0.9074074074074074,4.0764894725519625,4.06569466216888,4.1099824463483685,4.124364489636292,proportional_2019_2025,4.0764894725519625,pre_onset,2019,2019-01
2019-01-04,42.0,35.0,-7.0,True,0.8333333333333334,0.05949181198485576,0.01765713542227587,0.08554190271539852,2.1243644896362923,proportional_2019_2025,0.05949181198485576,pre_onset,2019,2019-01
2019-01-05,41.0,34.0,-7.0,True,0.8292682926829268,-0.10859132639573232,-0.15301265847327272,-0.0831614759206829,2.1243644896362923,proportional_2019_2025,-0.10859132639573232,pre_onset,2019,2019-01
2019-01-06,40.0,35.0,-5.0,True,0.875,1.7233255352236725,1.6763175476311716,1.7481351454432357,4.124364489636292,proportional_2019_2025,1.7233255352236725,pre_onset,2019,2019-01
2019-01-07,60.0,50.0,-10.0,True,0.8333333333333334,0.08498830283551229,0.08971342554218609,0.12220271816484995,-0.8756355103637077,proportional_2019_2025,0.08498830283551229,pre_onset,2019,2019-01
2019-01-08,42.0,31.0,-11.0,True,0.7380952380952381,-3.9405081880151442,-3.982342864577724,-3.9144580972846015,-1.8756355103637077,proportional_2019_2025,-3.9405081880151442,pre_onset,2019,2019-01
2019-01-09,26.0,21.0,-5.0,True,0.8076923076923077,-0.6298384021046104,-0.7130595669065336,-0.6137121554618972,4.124364489636292,proportional_2019_2025,-0.6298384021046104,pre_onset,2019,2019-01
2019-01-10,43.0,34.0,-9.0,True,0.7906976744186046,-1.772425049634549,-1.8116730706821755,-1.74575471864852,0.12436448963629232,proportional_2019_2025,-1.772425049634549,pre_onset,2019,2019-01
2019-01-11,49.0,40.0,-9.0,True,0.8163265306122449,-0.7639262193509992,-0.7876543073088698,-0.7335344468320386,0.12436448963629232,proportional_2019_2025,-0.7639262193509992,pre_onset,2019,2019-01
2019-01-12,42.0,35.0,-7.0,True,0.8333333333333334,0.05949181198485576,0.01765713542227587,0.08554190271539852,2.1243644896362923,proportional_2019_2025,0.05949181198485576,pre_onset,2019,2019-01
2019-01-13,28.0,23.0,-5.0,True,0.8214285714285714,-0.2936721253434271,-0.37171997911543286,-0.2763053981897343,4.124364489636292,proportional_2019_2025,-0.2936721253434271,pre_onset,2019,2019-01
2019-01-14,43.0,34.0,-9.0,True,0.7906976744186046,-1.772425049634549,-1.8116730706821755,-1.74575471864852,0.12436448963629232,proportional_2019_2025,-1.772425049634549,pre_onset,2019,2019-01
2019-01-15,32.0,25.0,-7.0,True,0.78125,-1.6213395718210606,-1.6890408035332314,-1.6014918836454122,2.1243644896362923,proportional_2019_2025,-1.6213395718210606,pre_onset,2019,2019-01
2019-01-16,37.0,27.0,-10.0,True,0.7297297297297297,-3.7809238799181024,-3.8356918340554778,-3.7579749904650086,-0.8756355103637077,proportional_2019_2025,-3.7809238799181024,pre_onset,2019,2019-01
2019-01-17,37.0,29.0,-8.0,True,0.7837837837837838,-1.7809238799181024,-1.8356918340554778,-1.7579749904650086,1.1243644896362923,proportional_2019_2025,-1.7809238799181024,pre_onset,2019,2019-01
2019-01-18,38.0,32.0,-6.0,True,0.8421052631578947,0.3871592584624892,0.33497795984007084,0.4107283881710728,3.1243644896362923,proportional_2019_2025,0.3871592584624892,pre_onset,2019,2019-01
2019-01-19,41.0,37.0,-4.0,True,0.9024390243902439,2.8914086736042677,2.8469873415267273,2.916838524079317,5.124364489636292,proportional_2019_2025,2.8914086736042677,pre_onset,2019,2019-01
2019-01-20,50.0,40.0,-10.0,True,0.8,-1.595843080970404,-1.6169845134133212,-1.5648310681959572,-0.8756355103637077,proportional_2019_2025,-1.595843080970404,pre_onset,2019,2019-01
2019-01-21,41.0,36.0,-5.0,True,0.8780487804878049,1.8914086736042677,1.8469873415267273,1.916838524079317,4.124364489636292,proportional_2019_2025,1.8914086736042677,pre_onset,2019,2019-01
2019-01-22,43.0,39.0,-4.0,True,0.9069767441860465,3.227574950365451,3.1883269293178245,3.25424528135148,5.124364489636292,proportional_2019_2025,3.227574950365451,pre_onset,2019,2019-01
2019-01-23,38.0,31.0,-7.0,True,0.8157894736842105,-0.6128407415375108,-0.6650220401599292,-0.5892716118289272,2.1243644896362923,proportional_2019_2025,-0.6128407415375108,pre_onset,2019,2019-01
2019-01-24,35.0,32.0,-3.0,True,0.9142857142857143,2.8829098433207143,2.8229685781534215,2.904618252262832,6.124364489636292,proportional_2019_2025,2.8829098433207143,pre_onset,2019,2019-01
2019-01-25,30.0,27.0,-3.0,True,0.9,2.042494151417756,1.9696196086756679,2.061101359082425,6.124364489636292,proportional_2019_2025,2.042494151417756,pre_onset,2019,2019-01
2019-01-26,47.0,38.0,-9.0,True,0.8085106382978723,-1.1000924961121825,-1.128993895099974,-1.0709412041042015,0.12436448963629232,proportional_2019_2025,-1.1000924961121825,pre_onset,2019,2019-01
2019-01-27,44.0,40.0,-4.0,True,0.9090909090909091,3.395658088746039,3.358996723213373,3.4229486599875614,5.124364489636292,proportional_2019_2025,3.395658088746039,pre_onset,2019,2019-01
2019-01-28,35.0,32.0,-3.0,True,0.9142857142857143,2.8829098433207143,2.8229685781534215,2.904618252262832,6.124364489636292,proportional_2019_2025,2.8829098433207143,pre_onset,2019,2019-01
2019-01-29,38.0,32.0,-6.0,True,0.8421052631578947,0.3871592584624892,0.33497795984007084,0.4107283881710728,3.1243644896362923,proportional_2019_2025,0.3871592584624892,pre_onset,2019,2019-01
2019-01-30,44.0,36.0,-8.0,True,0.8181818181818182,-0.604341911253961,-0.6410032767866269,-0.5770513400124386,1.1243644896362923,proportional_2019_2025,-0.604341911253961,pre_onset,2019,2019-01
2019-01-31,32.0,28.0,-4.0,True,0.875,1.3786604281789394,1.3109591964667686,1.3985081163545878,5.124364489636292,proportional_2019_2025,1.3786604281789394,pre_onset,2019,2019-01
2019-02-01,39.0,33.0,-6.0,True,0.8461538461538461,0.5552423968430844,0.505647753735623,0.5794317668071542,3.1243644896362923,proportional_2019_2025,0.5552423968430844,pre_onset,2019,2019-02
2019-02-02,40.0,32.0,-8.0,True,0.8,-1.2766744647763275,-1.3236824523688284,-1.2518648545567643,1.1243644896362923,proportional_2019_2025,-1.2766744647763275,pre_onset,2019,2019-02
2019-02-03,42.0,39.0,-3.0,True,0.9285714285714286,4.059491811984856,4.017657135422276,4.0855419027153985,6.124364489636292,proportional_2019_2025,4.059491811984856,pre_onset,2019,2019-02
2019-02-04,38.0,35.0,-3.0,True,0.9210526315789473,3.387159258462489,3.334977959840071,3.410728388171073,6.124364489636292,proportional_2019_2025,3.387159258462489,pre_onset,2019,2019-02
2019-02-05,35.0,29.0,-6.0,True,0.8285714285714286,-0.11709015667928568,-0.1770314218465785,-0.0953817477371679,3.1243644896362923,proportional_2019_2025,-0.11709015667928568,pre_onset,2019,2019-02
2019-02-06,36.0,29.0,-7.0,True,0.8055555555555556,-0.949007018298694,-1.00636162795103,-0.92667836910109,2.1243644896362923,proportional_2019_2025,-0.949007018298694,pre_onset,2019,2019-02
2019-02-07,39.0,35.0,-4.0,True,0.8974358974358975,2.5552423968430844,2.505647753735623,2.5794317668071542,5.124364489636292,proportional_2019_2025,2.5552423968430844,pre_onset,2019,2019-02
2019-02-08,45.0,33.0,-12.0,True,0.7333333333333333,-4.436258772873366,-4.470333482891071,-4.408347961376364,-2.8756355103637077,proportional_2019_2025,-4.436258772873366,pre_onset,2019,2019-02
2019-02-09,50.0,40.0,-10.0,True,0.8,-1.595843080970404,-1.6169845134133212,-1.5648310681959572,-0.8756355103637077,proportional_2019_2025,-1.595843080970404,pre_onset,2019,2019-02
2019-02-10,45.0,39.0,-6.0,True,0.8666666666666667,1.5637412271266342,1.5296665171089288,1.5916520386236357,3.1243644896362923,proportional_2019_2025,1.5637412271266342,pre_onset,2019,2019-02
2019-02-11,30.0,26.0,-4.0,True,0.8666666666666667,1.0424941514177561,0.9696196086756679,1.061101359082425,5.124364489636292,proportional_2019_2025,1.0424941514177561,pre_onset,2019,2019-02
2019-02-12,36.0,30.0,-6.0,True,0.8333333333333334,0.05099298170130595,-0.006361627951029902,0.07332163089890997,3.1243644896362923,proportional_2019_2025,0.05099298170130595,pre_onset,2019,2019-02
