port_id,port_name,port_country,port_lat,port_lon,visit_count,project_id,terminal_name,terminal_role,country,terminal_lat,terminal_lon,capacity_mtpa,source,distance_km,country_match,match_status
0c40bfed,LAS PALMAS,ESP,28.15172157249691,-15.387919410241532,2,T100000130500,Sines LNG Terminal,regasification,Portugal,37.9419,-8.8435,5.6,https://www.gem.wiki/Sines_LNG_Terminal,1246.9918045045047,False,outside_distance_threshold
0c40bfc7,LAS PALMAS,ESP,28.13557679279354,-15.387561940018188,4,T100000130500,Sines LNG Terminal,regasification,Portugal,37.9419,-8.8435,5.6,https://www.gem.wiki/Sines_LNG_Terminal,1248.5678825439259,False,outside_distance_threshold
0c40be3f,LAS PALMAS,ESP,28.100367339216454,-15.387454166299497,2,T100000130500,Sines LNG Terminal,regasification,Portugal,37.9419,-8.8435,5.6,https://www.gem.wiki/Sines_LNG_Terminal,1252.0374208160536,False,outside_distance_threshold
0c40be15,LAS PALMAS,ESP,28.095656477765132,-15.387583023358474,1,T100000130500,Sines LNG Terminal,regasification,Portugal,37.9419,-8.8435,5.6,https://www.gem.wiki/Sines_LNG_Terminal,1252.508292213421,False,outside_distance_threshold
0c41ca57,TENERIFE,ESP,28.485142827507815,-16.1954882929376,1,T100000130500,Sines LNG Terminal,regasification,Portugal,37.9419,-8.8435,5.6,https://www.gem.wiki/Sines_LNG_Terminal,1253.3594396333178,False,outside_distance_threshold
217c4fb1,PORT LOUIS,MUS,-20.155256524880453,57.432151775033425,10,T100000130258,Coral South FLNG Terminal,liquefaction,Mozambique,-10.9,41.2,3.4,https://www.gem.wiki/Coral_South_FLNG_Terminal,2018.3802629584716,False,outside_distance_threshold
217c4fb5,PORT LOUIS,MUS,-20.151630358380128,57.43772253769256,1,T100000130258,Coral South FLNG Terminal,liquefaction,Mozambique,-10.9,41.2,3.4,https://www.gem.wiki/Coral_South_FLNG_Terminal,2018.7020236438314,False,outside_distance_threshold
217c4e35,PORT LOUIS,MUS,-20.147773590224293,57.443735458571744,1,T100000130258,Coral South FLNG Terminal,liquefaction,Mozambique,-10.9,41.2,3.4,https://www.gem.wiki/Coral_South_FLNG_Terminal,2019.052578190372,False,outside_distance_threshold
217c4e31,PORT LOUIS,MUS,-20.143818823028536,57.44972911295319,3,T100000130258,Coral South FLNG Terminal,liquefaction,Mozambique,-10.9,41.2,3.4,https://www.gem.wiki/Coral_South_FLNG_Terminal,2019.3964716104824,False,outside_distance_threshold
477c252b,,ITA,45.09214426697637,12.58340070197775,20,T100000130466,Adriatic LNG Terminal,regasification,Italy,45.091667,12.586111,7.64,https://www.gem.wiki/Adriatic_LNG_Terminal,0.2192784966775449,True,provisional_spatial_match
863c76ad,USA-1152,USA,30.029847308210567,-93.33189986133088,1,T100000130214,Cameron LNG Terminal,liquefaction,United States,30.035379,-93.3383732,25.93,https://www.gem.wiki/Cameron_LNG_Terminal,0.875599405667053,True,provisional_spatial_match
3e909713,QALHAT LNG TERMINAL,OMN,22.66560655790493,59.4133118017471,1,T100000130593,Oman Qalhat LNG Terminal,liquefaction,Oman,22.6586,59.40748,15.2,https://www.gem.wiki/Oman_Qalhat_LNG_Terminal,0.9823799446654549,True,provisional_spatial_match
35edbd3d,TIANJIN,CHN,38.762373486607395,117.7169856059776,3,T100000130411,Tianjin LNG Terminal (Sinopec),regasification,China,38.749154,117.714895,11.65,https://www.gem.wiki/Tianjin_LNG_Terminal_(Sinopec),1.4810759457541733,True,provisional_spatial_match
3fcebe33,MINA AL ZOUR,KWT,28.71150900581724,48.41171086878477,1,T100000130671,Al Zour LNG Terminal,regasification,Kuwait,28.7183683,48.3973631,22.0,https://www.gem.wiki/Al_Zour_LNG_Terminal,1.5935796101325084,True,provisional_spatial_match
340448cb,CHN-1487,CHN,22.593088884562725,114.74155860641817,2,T100000130794,Huizhou LNG Terminal,regasification,China,22.611927,114.742272,7.75,https://www.gem.wiki/Huizhou_LNG_Terminal,2.0959826245003583,True,provisional_spatial_match
357b9e4f,,KOR,37.33715358138416,126.58220526941884,2,T100000130312,Incheon LNG Terminal,regasification,South Korea,37.35124,126.602,54.5,https://www.gem.wiki/Incheon_LNG_Terminal,2.3484990057638484,True,provisional_spatial_match
35be5d4d,DONGJIAKOU,CHN,35.56906629764383,119.77486965487158,3,T100000130404,Shandong LNG Terminal,regasification,China,35.58624,119.759685,11.0,https://www.gem.wiki/Shandong_LNG_Terminal,2.352136868537011,True,provisional_spatial_match
35b03ab9,YANGKOU,CHN,32.55002160652916,121.4312455565546,2,T100000130392,Rudong LNG Terminal (PetroChina),regasification,China,32.528814,121.428128,10.0,https://www.gem.wiki/Jiangsu_LNG_Terminal,2.376217212019566,True,provisional_spatial_match
3eb32e1b,,PAK,24.790438674224593,67.27040973535762,5,T100000130299,GasPort FSRU,regasification,Pakistan,24.7749916,67.288333,5.0,https://www.gem.wiki/GasPort_FSRU,2.494857639116911,True,provisional_spatial_match
47c4a97d,ZEEBRUGGE,BEL,51.35561607133933,3.181090621725631,1,T100000130426,Zeebrugge LNG Terminal,regasification,Belgium,51.353,3.22241,12.3,https://www.gem.wiki/Zeebrugge_LNG_Terminal,2.8839886436686406,True,provisional_spatial_match
34046cb7,DAPENG,CHN,22.570744373157236,114.40762277240349,2,T100000130384,Guangdong Dapeng LNG Terminal,regasification,China,22.5796,114.4345,7.7,https://www.gem.wiki/Guangdong_Dapeng_LNG_Terminal,2.930034941726115,True,provisional_spatial_match
89b9d6df,,USA,38.40198361906934,-76.38301632813001,1,T100000130217,Cove Point LNG Terminal,liquefaction,United States,38.38544418456382,-76.4097200524101,5.25,https://www.gem.wiki/Cove_Point_LNG_Terminal,2.9661978301073826,True,provisional_spatial_match
30ac4b39,BGD-14,BGD,21.534766756380986,91.81888119688828,2,T100000130272,Summit FSRU,regasification,Bangladesh,21.562987,91.821147,3.8,https://www.gem.wiki/Summit_FSRU,3.146685634151415,True,provisional_spatial_match
3fcebf9d,KWT-22,KWT,28.748987310898915,48.43451074640007,4,T100000130671,Al Zour LNG Terminal,regasification,Kuwait,28.7183683,48.3973631,22.0,https://www.gem.wiki/Al_Zour_LNG_Terminal,4.970987494143473,True,provisional_spatial_match
3102f799,,THA,12.60929659789156,101.14156406776168,2,T100000130321,Map Ta Phut LNG Terminal 1,regasification,Thailand,12.651686,101.159533,11.5,https://www.gem.wiki/Map_Ta_Phut_LNG_Terminal_1,5.100813002628135,True,provisional_spatial_match
48693d77,,GBR,51.7002035999983,-5.153932834486683,3,T100000130557,South Hook LNG Terminal,regasification,United Kingdom,51.7152,-5.07627,20.2,https://www.gem.wiki/South_Hook_LNG_Terminal,5.605112689692318,True,provisional_spatial_match
3102f7bb,,THA,12.604147637857492,101.1305215533193,1,T100000130321,Map Ta Phut LNG Terminal 1,regasification,Thailand,12.651686,101.159533,11.5,https://www.gem.wiki/Map_Ta_Phut_LNG_Terminal_1,6.152339271599997,True,provisional_spatial_match
3e4f434b,RAS LAFFAN,QAT,25.933437576581603,51.61776958906596,1,T100000130594,QatarEnergy LNG (N),liquefaction,Qatar,25.908412,51.557708,40.8,https://www.gem.wiki/Qatargas_1_Ras_Laffan_LNG_Terminal,6.619939776562862,True,provisional_spatial_match
395f6263,,IND,21.682517820601173,72.46998751945264,2,T100000130427,Dahej LNG Terminal,regasification,India,21.6746,72.536,22.5,https://www.gem.wiki/Dahej_LNG_Terminal,6.877668049667534,True,provisional_spatial_match
31da2d73,PENGERANG,MYS,1.3081172072053722,104.24770268599516,5,T100000130291,Pengerang Johor LNG Terminal,regasification,Malaysia,1.341382,104.182089,3.5,https://www.gem.wiki/Pengerang_Johor_LNG_Terminal,8.17823454960092,True,provisional_spatial_match
60186a4d,YOKOHAMA,JPN,35.35262305014164,139.73058101031543,1,T100000130467,Futtsu LNG Terminal,regasification,Japan,35.3451724,139.8213313,22.9,https://www.gem.wiki/Futtsu_LNG_Terminal,8.272232592701286,True,provisional_spatial_match
