specification,role,outcome,shortfall_unit,pre_rmse,pre_mase,n_validation_residuals,residual_mean,residual_median,residual_std,residual_p05,residual_p95,residual_acf_lag1,residual_acf_lag7,point_shortfall,mean_daily_shortfall,reported_band_lower,reported_band_upper,reported_band_label,interval_circular_bootstrap_lower,interval_circular_bootstrap_upper,placebo_metric,placebo_reference_p95,placebo_separation,placebo_diagnostic_value,placebo_diagnostic_label,post_pre_rmspe_ratio,effective_donors
ar_lag1_7,working_primary,hormuz_tanker_transits,transits,14.861605401680212,0.9197835122654636,1140,-5.001103990438796,-5.853930158492233,14.361253102404225,-27.58887908716338,18.747897988278517,0.48112279140470426,0.231443662323344,6868.996006081119,52.83843081600861,5430.335090052364,8088.858065918013,overlapping_placebo_2.5_97.5_quantile_band_no_nominal_coverage,6179.536677148293,7549.539370196804,cumulative_shortfall,2124.29668428794,3.2335389199101408,0.0277777777777777,overlapping_window_reference_rank_not_p_value,,
arx_lag1_7_route,conditional_sensitivity,hormuz_tanker_transits,transits,14.828978700044686,0.915655230403358,1140,-4.561919345300866,-5.265597010055991,14.50275790856676,-27.736360379866852,19.048313883641793,0.49162218142223296,0.24738765621893574,7056.418558416068,54.28014275704667,5502.4406411933705,8528.00338747166,overlapping_placebo_2.5_97.5_quantile_band_no_nominal_coverage,6331.937081622086,7732.882951259382,cumulative_shortfall,2170.7957734367296,3.250613735646162,0.0277777777777777,overlapping_window_reference_rank_not_p_value,,
arx_lag1_7_route_energy,conditional_sensitivity,hormuz_tanker_transits,transits,14.011970652525108,0.8592816710109614,1140,-1.014989195346452,-1.674505544100409,14.248941910043662,-23.335475008358987,22.866947901989196,0.4770471716080266,0.22890899304714993,8171.521698088589,62.85785921606607,6520.025973941067,9318.987546100643,overlapping_placebo_2.5_97.5_quantile_band_no_nominal_coverage,7494.205499729455,8833.734155904065,cumulative_shortfall,1541.5904564799966,5.300708540157352,0.0277777777777777,overlapping_window_reference_rank_not_p_value,,
synthetic_control,corroboration,hormuz_tanker_transits,transit_equivalent_from_mean_scaling,14.739155862574167,,1519,-4.4905926683982635e-15,-0.055445101028960234,14.744009857720606,-24.057074979948265,23.735459392334178,0.45034427297270385,0.22082237042115932,6174.556756368252,47.49659043360194,,,not_reported,,,post_pre_rmspe_ratio,1.5019450962664609,2.166213921088559,0.0666666666666666,synthetic_control_donor_placebo_p_value,3.2535343762431035,7.442269584101596
bsts_local_level_weekly,state_space_corroboration,hormuz_tanker_transits,transits,13.79709966018084,0.8367360540848712,1140,1.5534063417345818,1.3909611075638182,14.140724506705427,-20.798621562743367,25.910453152818327,0.46116530352799445,0.13649894421227743,6437.924603475283,49.52249694980987,1754.634705878804,11709.630187115146,95%_posterior_predictive_interval_conditional_on_model,,,not_run_for_bsts,,,,not_run_for_bsts,,
