destination_unit,destination_unit_type,unit_of_measure,measurement_basis,pre_calibration_months,post_months,pre_mean_js_distance,pre_sd_js_distance,pre_median_js_distance,pre_mad_js_distance,post_mean_js_distance,post_max_js_distance,post_mean_zscore,post_max_zscore,post_mean_robust_zscore,post_max_robust_zscore,post_min_empirical_tail_p,post_max_empirical_percentile,anomaly_flag,coverage_note,admissibility_note
China,importer,t,weight_ton,12,3,0.2001879053116938,0.026257903226337566,0.19455459069037428,0.013618981823561999,0.3398093585413058,0.3966255066944988,5.317311592860428,7.481084825759105,7.193845569613835,10.007705670191248,0.07692307692307693,1.0,True,descriptive_anomaly_ok,strict origin-split national customs; weight basis
EU27,aggregate_comparator,MIO_M3,volume_mio_m3,12,3,0.1799864538288479,0.01841712608970195,0.17380296320274558,0.009967164762380368,0.22937784436540296,0.27129505731303205,2.6818185582262237,4.957809543109982,3.760817503806203,6.5974045529592855,0.07692307692307693,1.0,True,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
India,importer,kUSD,value_kusd,12,3,0.26955778507554295,0.044567493091688046,0.26817371868071227,0.02920106967826798,0.5151484391397261,0.5611443499026818,5.510533283955037,6.542583946269136,5.704651209496401,6.767070178847268,0.07692307692307693,1.0,True,descriptive_anomaly_ok; value_basis,strict origin-split national customs; value basis because Tradestat HS-6 monthly quantity is unpopulated
Japan,importer,t,weight_ton,12,3,0.19331175383347501,0.029010202824842294,0.18746608429417405,0.01566168218593536,0.2436624493023264,0.2834037362968733,1.7356202496362616,3.1055274934599866,2.4201660929690028,4.1316738615088315,0.07692307692307693,1.0,True,descriptive_anomaly_ok,strict origin-split Japan Customs/e-Stat snapshot; weight basis
Korea,importer,t,weight_ton,12,4,0.26037956326859996,0.03273720965040447,0.2565713809022423,0.02177728349589847,0.3600814572407153,0.41246502839791876,3.045522053859086,4.645645329990419,3.205931792418774,4.828364719858224,0.07692307692307693,1.0,True,descriptive_anomaly_ok,strict origin-split national customs; weight basis
Taiwan,importer,t,weight_ton,12,4,0.2893550575679707,0.03107961874077355,0.285685690930179,0.012771896486043516,0.4383707025628529,0.5026772924477423,4.794641988300443,6.863733968522361,8.063365956450205,11.459426657553497,0.07692307692307693,1.0,True,descriptive_anomaly_ok,strict origin-split national customs; weight basis
