date,observed_lng_volume_index,ar_counterfactual,bsts_counterfactual_median,bsts_lower_95,bsts_upper_95
2026-02-28,0.0,126.72167542328567,98.5153621521148,21.69782740361184,185.35760808938716
2026-03-01,68.25020201546582,97.23076920807262,103.86807763536143,14.220208816724455,186.82767220944066
2026-03-02,26.56661395285961,103.68917927071145,101.04351828471044,4.900790151181309,184.99795454902716
2026-03-03,0.0,98.90724582291789,96.23805052866004,6.98615510305322,180.09573430724132
2026-03-04,0.0,99.93267944801089,95.62048805722307,3.4687244735586464,183.00479517024277
2026-03-05,0.0,99.66138182509486,95.89632548419978,4.413462186054812,182.9588318560245
2026-03-06,0.0,99.12089269318798,96.66007864514422,2.8325878176845594,192.17764973966808
2026-03-07,0.0,104.90804863409558,100.44663783772435,9.533831190936214,201.69213207197532
2026-03-08,0.0,102.76090040936899,99.20986959522581,0.3988562689042918,193.6863849435803
2026-03-09,0.0,102.20817771137267,96.74475064836963,2.681915705488826,192.41068425674263
2026-03-10,0.0,99.60709053107459,97.16031785914242,1.9627844512174022,191.74083351725005
2026-03-11,0.0,98.7313443658625,98.05239169164827,0.0,190.1372792568106
2026-03-12,0.0,99.4184632712334,98.5088806300862,0.0,196.9072710873915
2026-03-13,0.0,101.45714256976606,98.03041364702607,4.522194110650978,199.13620983091545
2026-03-14,0.0,103.40827625346384,100.02502347485577,2.4513185731231317,196.68830580168884
2026-03-15,0.0,103.44970302329968,99.10977223326735,0.0,194.0245883459439
2026-03-16,0.0,101.92606803346803,98.85954577460973,0.0,200.229279879189
2026-03-17,0.0,99.72564905298874,97.13974047001446,0.0,200.06636698385216
2026-03-18,0.0,98.65218399281696,95.2723569106559,0.0,198.95905033422335
2026-03-19,0.0,99.43752614699994,99.14851203186451,0.0,199.8522577919012
2026-03-20,0.0,101.52620400056624,99.58185792830133,0.0,202.5629514254958
2026-03-21,0.0,103.33629681323782,100.52042343964968,0.5826468503390685,201.8791025110536
2026-03-22,0.0,103.49645167032719,97.68505901237663,0.0,198.8358531121497
2026-03-23,0.0,101.90104946235766,98.61370293829852,0.0,207.75492286396408
2026-03-24,0.0,99.73799002207865,96.27615349713912,0.0,204.14028345593582
2026-03-25,0.0,98.64542787892213,96.98414642049644,0.0,205.61259837175766
2026-03-26,0.0,99.44043990620445,97.84556319858034,0.0,211.34393406664873
2026-03-27,0.0,101.52744633323502,96.85543212223065,0.0,214.25448969421413
2026-03-28,27.14094072528271,103.33354688533962,100.13365686491753,0.0,213.17716540365151
2026-03-29,0.0,103.49889839400787,99.38753412343013,0.0,208.90071843060846
2026-03-30,0.0,101.89940849122254,101.33631051721088,0.0,215.34824972186902
2026-03-31,0.0,99.73894706920474,97.2321027208121,0.0,211.6813403767683
