model,target,empirical_coverage_mean,nominal_coverage_mean,coverage_error_mean,interval_width_mean,n_folds_scored
ar_lag1_7,hormuz_tanker_capacity,0.9014492753623189,0.95,-0.04855072463768109,2654850.2913540304,23
ar_lag1_7,hormuz_tanker_transits,0.8724637681159421,0.95,-0.07753623188405791,36.62071661111786,23
