screen,value_col,n_contaminated,n_donors,pre_rmspe,post_pre_rmspe_ratio,separation_vs_placebo_p95,abadie_p_value,top_weight_slug,cumulative_scaled_throughput_loss
a_priori,capacity_tanker,5,22,0.28182895463292923,3.006843741448019,2.071215427670548,0.043478260869565216,dover_strait,21.78222316803918
data_driven_rose,capacity_tanker,8,19,0.25952449038908526,2.9549864559155496,2.2445555368483965,0.05,dover_strait,19.80039245550381
none,capacity_tanker,0,27,0.26106764241800423,3.3095823362652914,2.2917160336668165,0.03571428571428571,panama_canal,22.39484191787251
pessimistic_union,capacity_tanker,11,16,0.27339471208247346,2.869821387702836,2.0997299758073225,0.058823529411764705,dover_strait,20.275604011496156
a_priori,n_tanker,5,22,0.17519354944076182,4.765577811175608,3.871270260199193,0.043478260869565216,korea_strait,77.8486450911981
data_driven_rose,n_tanker,8,19,0.17280551067540903,4.703816581520276,4.2026631572208695,0.05,korea_strait,75.76140426022425
none,n_tanker,0,27,0.17133763769393562,4.974702553895052,3.257138447128445,0.03571428571428571,korea_strait,79.5407207111378
pessimistic_union,n_tanker,11,16,0.17616383135446753,4.656192579484494,4.174417841683037,0.058823529411764705,malacca_strait,76.44178352542923
