observation_prior_scale_multiplier,level_prior_scale_multiplier,variance_prior_shape,posterior_observation_sd_median,posterior_level_innovation_sd_median,posterior_median_shortfall,posterior_mean_shortfall,lower_95,upper_95,posterior_probability_shortfall_positive,n_posterior_draws
0.1,0.1,2.5,11.416810670557368,2.0191555291899954,6751.890217847495,6606.203133562306,2701.9415420400364,10578.159079560433,1.0,500
0.1,0.5,2.5,11.078780301745276,2.8501231870249946,6687.281003270057,6563.822779110763,1776.3720394666009,11881.904274303024,1.0,500
0.1,2.0,2.5,10.518778076659633,4.1786824254492245,6457.5887517987185,6423.103575754456,878.6157110003321,13836.18869977384,0.996,500
0.5,0.1,2.5,11.4234951802235,2.0160912531848756,6750.730789655479,6606.224407415345,2707.4001870698435,10574.164305487038,1.0,500
0.5,0.5,2.5,11.086798400437438,2.8460019277582322,6688.574398982786,6564.64346529425,1780.4233388018151,11877.236563341849,1.0,500
0.5,2.0,2.5,10.530220423571954,4.171867041321539,6459.9027564969365,6424.394604056292,882.9856901730486,13827.982233183913,0.996,500
2.0,0.1,2.5,11.449528401703258,2.0049009919914598,6750.851510350157,6606.254623081836,2727.4094148094323,10559.420608804126,1.0,500
2.0,0.5,2.5,11.115436940003963,2.8321226582466403,6693.297597416358,6567.637756667924,1795.2864508392825,11860.10420051789,1.0,500
2.0,2.0,2.5,10.571686730351201,4.149047160023033,6468.382508753271,6429.148082161335,899.1839118545938,13798.154533995365,0.998,500
