model,target,alpha,block_length,n_bootstrap_draws,n_calibration_residuals,n_post_days,point_cumulative_throughput_loss,bootstrap_residual_sum_mean_centered_out,loss_interval_lower,loss_interval_upper,mean_daily_loss,mean_daily_loss_interval_lower,mean_daily_loss_interval_upper,residual_q_low,residual_q_high
ar_lag1_7,hormuz_tanker_capacity,0.05,7,5000,1140,118,291006059.90571004,-40151783.54812707,262959434.82473832,317515038.7949276,2466153.0500483904,2228469.7866503247,2690805.4135163357,-1870291.2044017971,1421732.1477589244
arx_lag1_7_route,hormuz_tanker_capacity,0.05,7,5000,1140,118,294171692.7267484,-38435268.3300657,265518274.414877,321211278.72301424,2492980.446836851,2250154.8679226865,2722129.4807035103,-1843792.5255751617,1472291.2830255174
arx_lag1_7_route_energy,hormuz_tanker_capacity,0.05,7,5000,1140,118,347194943.6727114,-16561125.041866126,320415545.0661561,374178141.46191794,2942330.031124673,2715385.975136916,3171001.198829813,-1621430.5864271303,1630564.82621169
seasonal_naive_7d,hormuz_tanker_capacity,0.05,7,5000,1140,118,275613446.0,10017440.2092,249063147.6908,301489462.26579994,2335707.1694915253,2110704.641447458,2554995.442930508,-2038973.275,2250755.174999997
ar_lag1_7,hormuz_tanker_transits,0.05,7,5000,1140,130,6868.996006081119,-659.4893347950364,6305.208920908448,7410.246167671149,52.83843081600861,48.50160708391114,57.00189359747038,-30.756450739017488,23.26405582086579
arx_lag1_7_route,hormuz_tanker_transits,0.05,7,5000,1140,130,7056.418558416068,-595.7106940041108,6484.455270495713,7613.021187128132,54.280142757046676,49.88042515765933,58.56170143944717,-30.558754040921833,23.82664441222725
arx_lag1_7_route_energy,hormuz_tanker_transits,0.05,7,5000,1140,130,8171.521698088589,-125.9776785658759,7638.170077394541,8710.09655783596,62.85785921606607,58.75515444149647,67.0007427525843,-26.547342171481848,27.21554675567609
seasonal_naive_7d,hormuz_tanker_transits,0.05,7,5000,1140,130,7124.0,242.9362,6640.9637999999995,7624.0638,54.8,51.08433692307692,58.646644615384616,-30.0,36.0
