destination_unit,destination_unit_type,unit_of_measure,measurement_basis,pre_months,post_months,pre_start,pre_end,post_start,post_end,pre_origin_count,post_origin_count,retained_origin_count,new_origin_count,dropped_origin_count,edge_turnover_rate,jensen_shannon_divergence,jensen_shannon_distance,pre_top_origin,post_top_origin,pre_top_origin_share,post_top_origin_share,pre_gulf_share,post_gulf_share,gulf_share_change_pp,pre_non_gulf_edge_mean,post_non_gulf_edge_mean,non_gulf_edge_change,pre_gulf_edge_mean,post_gulf_edge_mean,gulf_edge_change,non_gulf_offset_ratio,coverage_note,admissibility_note
China,importer,t,weight_ton,12,3,2025-03,2026-02,2026-03,2026-05,20,15,15,0,5,0.20592646711346335,0.04391394386713299,0.20955654097911855,Australia,Australia,0.28166133851437425,0.2885545676365355,0.2871705310764585,0.12141005365252823,-16.57604774239303,4313693.709909523,4112502.1679999996,-201191.5419095233,1707030.6043500002,552767.553,-1154263.0513500003,-0.17430302535822675,descriptive_coverage_ok,strict origin-split national customs; weight basis
EU27,aggregate_comparator,MIO_M3,volume_mio_m3,12,3,2025-03,2026-02,2026-03,2026-05,31,23,22,1,9,0.0987109662922369,0.023010842802963793,0.15169325233168346,US,US,0.3683262636823679,0.3820698180970634,0.054793594627399474,0.059159254661896164,0.43656600344966906,12524.220105952383,13088.880833333335,564.6607273809514,740.6395833333332,921.864,181.2244166666668,,descriptive_coverage_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
India,importer,kUSD,value_kusd,12,3,2025-03,2026-02,2026-03,2026-05,15,17,13,4,2,0.4722156258386733,0.16568152686440193,0.40703995733146636,QATAR,OMAN,0.3834406260215977,0.18811653085757707,0.4909411242998215,0.09140621935131571,-39.95349049485058,671753.6515151515,1394226.6666666667,722473.0151515153,646890.8333333333,117985.0,-528905.8333333333,1.3659766438919,descriptive_coverage_ok; value_basis,strict origin-split national customs; value basis because Tradestat HS-6 monthly quantity is unpopulated
Japan,importer,t,weight_ton,12,3,2025-03,2026-02,2026-03,2026-05,17,16,14,2,3,0.10525551322149604,0.02950172418017174,0.17176065958237277,Australia,Australia,0.3767509582926927,0.3795002359576163,0.06320904031565103,0.03704032677483082,-2.6168713540820203,5418615.196969697,4880208.333333333,-538406.8636363642,369300.3611111111,204958.0,-164342.36111111112,-3.2761295383382607,descriptive_coverage_ok,strict origin-split Japan Customs/e-Stat snapshot; weight basis
Korea,importer,t,weight_ton,12,4,2025-03,2026-02,2026-03,2026-06,23,17,17,0,6,0.2062019773209032,0.056970672486466103,0.2386853001055283,호주,호주,0.2602173148597187,0.26502162630649506,0.14324109411466404,0.055902408630372595,-8.733868548429143,3957994.3568181815,3762645.908333333,-195348.44848484825,662335.8666666667,252816.0,-409519.8666666667,-0.47701824596425335,descriptive_coverage_ok,strict origin-split national customs; weight basis
Taiwan,importer,t,weight_ton,12,4,2025-03,2026-02,2026-03,2026-06,14,11,10,1,4,0.22335349138656896,0.07379743087543618,0.271656825563865,卡達,澳大利亞,0.2765238893764051,0.2600442442640123,0.3011287924786939,0.16437285740867716,-13.675593507001674,1705455.699882143,2117326.4998333333,411870.79995119036,727726.2660833334,439640.234,-288086.0320833334,1.4296798667144344,descriptive_coverage_ok,strict origin-split national customs; weight basis
