model,target,lower_reference_quantile,upper_reference_quantile,nominal_coverage_supported,horizon_calendar_days,n_post_days,n_horizon_windows,effective_non_overlapping_windows,point_cumulative_throughput_loss,interval_30dfold_lower,interval_30dfold_upper,interval_30dfold_width,overlapping_placebo_quantile_band_lower,overlapping_placebo_quantile_band_upper,overlapping_placebo_quantile_band_width,widening_factor_vs_30dfold,overlapping_placebo_band_excludes_zero_descriptively,pre_period_bias_centered_out,interval_circular_bootstrap_lower,interval_circular_bootstrap_upper,interval_circular_bootstrap_width,circular_bootstrap_block_length,circular_bootstrap_draws,circular_bootstrap_n_oof_residuals,mean_daily_loss,mean_daily_overlapping_placebo_quantile_band_lower,mean_daily_overlapping_placebo_quantile_band_upper,mean_daily_overlapping_placebo_band_excludes_zero_descriptively
ar_lag1_7,hormuz_tanker_capacity,0.025,0.975,False,130,118,35,7,291006059.90571004,262959434.82473832,317515038.7949276,54555603.97018927,215591744.90447998,344370660.4386583,128778915.53417832,2.360507558573575,True,-46637731.94686635,257296086.21865684,323070936.2967942,65774850.07813734,14,10000,1140,2466153.0500483904,1886042.9346543131,2876649.9772249158,True
arx_lag1_7_route,hormuz_tanker_capacity,0.025,0.975,False,130,118,35,7,294171692.7267484,265518274.414877,321211278.72301424,55693004.30813724,216240394.45471883,357913975.57079315,141673581.11607432,2.54383082536229,True,-45185812.79215715,259923891.49163574,327844306.23359996,67920414.74196422,14,10000,1140,2492980.446836851,1893508.9216673928,2983305.699483349,True
arx_lag1_7_route_energy,hormuz_tanker_capacity,0.025,0.975,False,130,118,35,7,347194943.6727114,320415545.0661561,374178141.46191794,53762596.39576185,264970419.9128697,402977785.2646918,138007365.35182214,2.566977315156256,True,-19793709.576397676,314464482.23381346,379076484.3247762,64612002.09096271,14,10000,1140,2942330.031124673,2309833.694510506,3371428.8126014457,True
seasonal_naive_7d,hormuz_tanker_capacity,0.025,0.975,False,130,118,35,7,275613446.0,249063147.6908,301489462.26579994,52426314.57499993,185151665.57857144,369272383.9785714,184120718.39999998,3.511990493564085,True,9399928.17142857,245526901.0131579,305329908.2881579,59803007.274999976,14,10000,1140,2335707.1694915253,1639847.320095921,3056160.538557459,True
ar_lag1_7,hormuz_tanker_transits,0.025,0.975,False,130,130,35,7,6868.996006081119,6305.208920908448,7410.246167671149,1105.0372467627012,5430.335090052364,8088.858065918013,2658.5229758656496,2.4058220513869686,True,-693.6761116391798,6179.536677148293,7549.539370196804,1370.002693048511,14,10000,1140,52.83843081600861,41.771808385018176,62.22198512244626,True
arx_lag1_7_route,hormuz_tanker_transits,0.025,0.975,False,130,130,35,7,7056.418558416068,6484.455270495713,7613.021187128132,1128.5659166324185,5502.4406411933705,8528.00338747166,3025.5627462782886,2.680891476243062,True,-637.4528230778128,6331.937081622086,7732.882951259382,1400.9458696372958,14,10000,1140,54.28014275704667,42.32646647071823,65.6000260574743,True
arx_lag1_7_route_energy,hormuz_tanker_transits,0.025,0.975,False,130,130,35,7,8171.521698088589,7638.170077394541,8710.09655783596,1071.9264804414179,6520.025973941067,9318.987546100645,2798.9615721595783,2.6111506929159636,True,-131.05893726128394,7494.205499729455,8833.734155904065,1339.5286561746098,14,10000,1140,62.85785921606607,50.154045953392824,71.68451958538957,True
seasonal_naive_7d,hormuz_tanker_transits,0.025,0.975,False,130,130,35,7,7124.0,6640.9637999999995,7624.0638,983.1000000000004,5373.307142857143,8891.707142857142,3518.3999999999987,3.5788831248092743,True,197.94285714285715,6538.350877192983,7717.375877192982,1179.0249999999996,14,10000,1140,54.8,41.333131868131865,68.39774725274724,True
