family,model,block_length_days,variant,weighting,n_series,dropped_control,minimum_pre_event_daily_transits,observed_global_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q950,reference_q975,one_sided_bootstrap_p_value,n_joint_resamples,equal_weighted_tanker_global,minimum_detectable_global_statistic,would_flag_a_tanker_sized_movement
non_tanker_negative_controls,ar_lag1_7,7,full_ten_control_family,equal,10,,0.9644359464627151,0.19790818424158999,0.11386815037763118,0.022170529778032258,0.07069953251375015,0.15040827151460273,0.15771731324341842,0.00019998000199980003,10000,0.21559239498209762,0.15040827151460273,True
non_tanker_negative_controls,ar_lag1_7,7,full_ten_control_family,inverse_reference_variance,10,,0.9644359464627151,0.10232393352130766,0.1046130729011349,0.010945331000231439,0.08322864309512812,0.12264156738011352,0.12600898071087907,0.583941605839416,10000,0.21559239498209762,0.12264156738011352,True
non_tanker_negative_controls,ar_lag1_7,7,full_ten_control_family,pre_event_volume,10,,0.9644359464627151,0.161205112136613,0.16420388011777173,0.01384759119267692,0.1383112833715343,0.18795638423099048,0.19235704283057167,0.5777422257774223,10000,0.21559239498209762,0.18795638423099048,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_dry_bulk::Cape of Good Hope,0.9644359464627151,0.184401682533137,0.09362422420363273,0.021533750592019393,0.05170048406111629,0.12858132979690604,0.13587462432203373,9.999000099990002e-05,10000,0.21559239498209762,0.12858132979690604,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_dry_bulk::Gibraltar Strait,0.9644359464627151,0.22034765405132883,0.12623592621042817,0.026148873317031703,0.07501683939563779,0.16956994646697712,0.17785359523341304,0.00019998000199980003,10000,0.21559239498209762,0.16956994646697712,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_dry_bulk::Malacca Strait,0.9644359464627151,0.19640320696129385,0.09664310152191745,0.024550334035399246,0.04865314577602561,0.1370754670448244,0.14469999241856152,0.00019998000199980003,10000,0.21559239498209762,0.1370754670448244,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_dry_bulk::Panama Canal,0.9644359464627151,0.24078763644716186,0.15699945797141804,0.023413616921951468,0.11154651711555166,0.19576450641719945,0.20360203074853148,0.0005999400059994001,10000,0.21559239498209762,0.19576450641719945,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_dry_bulk::Yucatan Channel,0.9644359464627151,0.221170070409836,0.13423693719480606,0.02395032238178061,0.08762392481352564,0.1738354236502643,0.181715724325533,0.00029997000299970003,10000,0.21559239498209762,0.1738354236502643,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_roro::Cape of Good Hope,0.9644359464627151,0.07525299896354849,0.04829090959444883,0.016632215615952437,0.01554514214183375,0.07516045834469744,0.08049014814843955,0.04989501049895011,10000,0.21559239498209762,0.07516045834469744,True
non_tanker_negative_controls,ar_lag1_7,7,leave_one_control_out,equal,9,n_roro::Gibraltar Strait,0.9644359464627151,0.21488030465386823,0.12191957389466195,0.025663011467849113,0.07150746514273136,0.16389670191571798,0.17246546949705696,0.00029997000299970003,10000,0.21559239498209762,0.16389670191571798,True
