hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_roro::Malacca Strait,chronos2_univariate,Malacca Strait,n_roro,130,6.244741873804971,866.0,1116.1574053764343,-250.15740537643433,-0.30814528006942193,0.07953785195786053,0.03926731781510364,0.0032926485843005763,0.15632078796620927,-9.872921136420613,1.0,1.0,10.0,10.0,10000.0,non_tanker_negative_controls,14
n_roro::Panama Canal,chronos2_univariate,Panama Canal,n_roro,130,2.119694072657744,322.0,293.9143953323364,28.085604667663574,0.10192183655884796,0.12036861432699561,0.06010640255471989,0.00874193922450553,0.24922501342182016,-0.30690204344460653,0.6055394460553944,0.9963003699630038,6.0,10.0,10000.0,non_tanker_negative_controls,14
n_roro::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_roro,130,0.9644359464627151,134.0,106.680271089077,27.319728910923004,0.21790121119399639,0.10803929724499182,0.08137676263932485,-0.05147235360234487,0.26538109179380054,1.3500403602430164,0.08709129087091291,0.54994500549945,1.0,10.0,10000.0,non_tanker_negative_controls,14
n_tanker::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1689.7313649531911,928.2686350468089,0.5514124743928375,0.24796080118839964,0.1052030178999836,0.03908890282257754,0.45072119615557554,2.8844388617532726,0.0007999200079992001,0.0066993300669933005,3.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,5634.049317080094,233.95068291990617,0.04183787599763344,0.12875049197237265,0.027684017973048217,0.07813999009308888,0.18519137070294167,-3.1394509301125657,1.0,1.0,4.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Malacca Strait,ar_lag1_7,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,9960.4105784838,-587.4105784838002,-0.059861742929393946,0.11401716326819505,0.014894656746420955,0.08572718446853861,0.14429663855550012,-11.673911601848122,1.0,1.0,5.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Panama Canal,ar_lag1_7,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1609.2619872640091,339.738012735991,0.21153843851454512,-0.03609357752372752,0.03836108151849752,-0.11644321106059008,0.031261580514955846,6.455292870688897,9.999000099990002e-05,9.999000099990002e-05,2.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3006.9970976860895,999.0029023139101,0.33303492893486586,0.09907346645626476,0.027876866549994144,0.04553443044450089,0.15490553958719872,8.392674336587168,9.999000099990002e-05,9.999000099990002e-05,1.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1886.3988523483276,731.6011476516724,0.43458755780852787,-0.23683487145678392,0.30253537557458177,-0.9673685267488866,0.1280523693889026,2.2193187424450174,9.999000099990002e-05,0.028497150284971504,3.0,5.0,10000.0,restricted_tanker_adaptation,14
n_tanker::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,6530.495822906494,-662.4958229064941,-0.11847547415453016,-0.003480040760590522,0.024293605946978995,-0.04892011889742778,0.04486559949774521,-4.7335679044485275,1.0,1.0,4.0,5.0,10000.0,restricted_tanker_adaptation,14
