hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_roro::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_roro,130,1.7655831739961758,538.0,239.20218353145543,298.79781646854457,1.301804851743963,0.7040633174262723,0.15742778540784685,0.39882481250304225,1.0165984941263935,3.796925255406006,0.00019998000199980003,0.0011998800119988001,1.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_roro,130,5.154110898661568,700.0,669.7418484112673,30.258151588732726,0.04515910053108546,0.04140533872435425,0.03695207475314259,-0.029886114207042402,0.11601140655443355,0.10158460199618351,0.45835416458354167,0.8784121587841216,7.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Malacca Strait,ar_lag1_7,Malacca Strait,n_roro,130,6.244741873804971,866.0,814.315737055871,51.684262944129046,0.0636649618912325,0.14629687798193178,0.039468138376522334,0.06991355857300836,0.22393088713702305,-2.093636018562582,0.9828017198280172,0.9994000599940006,9.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Panama Canal,ar_lag1_7,Panama Canal,n_roro,130,2.119694072657744,322.0,274.97162798710866,47.02837201289137,0.1706645843180046,0.08045932156063167,0.052179305634569836,-0.020777141401994145,0.18686851835087412,1.7287555221434403,0.04409559044095591,0.28647135286471354,3.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_roro,130,0.9644359464627151,134.0,125.17706981167598,8.82293018832403,0.07037138547693327,-0.057294046878615223,0.08038074780076886,-0.21364777604465435,0.10313397137073865,1.5882588287431603,0.058194180581941805,0.32196780321967805,4.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_dry_bulk,130,32.42141491395793,5755.0,6408.518508911133,-653.5185089111328,-0.15505385765870228,0.09560289708894164,0.03490210375312381,0.02556198134482448,0.1635280012249856,-7.181709060308711,1.0,1.0,9.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_dry_bulk,130,28.595793499043978,3699.0,3796.5535202026367,-97.55352020263672,-0.02624203080398955,-0.046665009495921506,0.021089977717590264,-0.08925562265244949,-0.0065591309550444045,0.96837364957944,0.16548345165483452,0.7616238376162384,3.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Malacca Strait,chronos2_univariate,Malacca Strait,n_dry_bulk,130,50.531166347992354,8130.0,8547.01668548584,-417.01668548583984,-0.0634820228666824,0.036619840812457706,0.022514055659805462,-0.007649359761470593,0.08121263813799663,-4.446194199379761,1.0,1.0,8.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Panama Canal,chronos2_univariate,Panama Canal,n_dry_bulk,130,6.605736137667304,701.0,774.0733404159546,-73.07334041595459,-0.085093108000339,0.009606439413087909,0.07041743786782298,-0.13393177422796432,0.13961207199822462,-1.3448309151943676,0.9063093690630937,1.0,7.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_dry_bulk,130,7.974760994263862,1024.0,986.6969308853149,37.30306911468506,0.0359818539645231,0.008565112682752554,0.03171388704857712,-0.05304952554821976,0.07115080282054166,0.8645027094841921,0.19038096190380963,0.764023597640236,4.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_roro,130,1.7655831739961758,538.0,425.8366153240204,112.16338467597961,0.4886743821790485,-2.0651918838124277,1.8782119496723038,-6.583198096713038,0.28178733066058287,1.35973273220685,0.0004999500049995,0.5225477452254774,2.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_roro,130,5.154110898661568,700.0,655.984778881073,44.015221118927,0.06569098543837486,0.05630066527268457,0.037993122724359514,-0.019701862911626428,0.1300936267384912,0.24715841953337594,0.40545945405459455,0.960903909609039,5.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Malacca Strait,chronos2_univariate,Malacca Strait,n_roro,130,6.244741873804971,866.0,1116.1574053764343,-250.15740537643433,-0.30814528006942193,0.0800116958730819,0.03751414924816784,0.006346969688807393,0.1535734498362685,-10.346948650620437,1.0,1.0,10.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Panama Canal,chronos2_univariate,Panama Canal,n_roro,130,2.119694072657744,322.0,293.9143953323364,28.085604667663574,0.10192183655884796,0.11989234196554115,0.05939429458035018,0.005083727508348666,0.240072199288784,-0.30256282246743776,0.6146385361463854,0.9941005899410059,6.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_roro,130,0.9644359464627151,134.0,106.680271089077,27.319728910923004,0.21790121119399639,0.10608685259438698,0.08039144441324589,-0.04829787668607684,0.2678069611789859,1.3908738599699304,0.08339166083391661,0.5225477452254774,1.0,10.0,10000.0,non_tanker_negative_controls,7
n_tanker::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1689.7313649531911,928.2686350468089,0.5514124743928375,0.24882234935328976,0.07805654857713183,0.09704635943995563,0.3998332020020902,3.8765501492875045,9.999000099990002e-05,0.00029997000299970003,3.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,5634.049317080094,233.95068291990617,0.04183787599763344,0.12858933195328898,0.022818873114160237,0.08507359076618909,0.173940897549204,-3.8017414585570384,1.0,1.0,4.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Malacca Strait,ar_lag1_7,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,9960.4105784838,-587.4105784838002,-0.059861742929393946,0.11416087084733774,0.012849578140041158,0.08921678218234194,0.1393149888606086,-13.543060470946656,1.0,1.0,5.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Panama Canal,ar_lag1_7,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1609.2619872640091,339.738012735991,0.21153843851454512,-0.036064597180417844,0.030985691673888247,-0.09930521234662738,0.02241422135340987,7.99088296304255,9.999000099990002e-05,9.999000099990002e-05,2.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3006.9970976860895,999.0029023139101,0.33303492893486586,0.0990976212083816,0.023009699503430448,0.05426431094661914,0.14463006394679973,10.166899732506598,9.999000099990002e-05,9.999000099990002e-05,1.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Cape of Good Hope,chronos2_univariate,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1886.3988523483276,731.6011476516724,0.43458755780852787,-0.237055864118467,0.22016965359253202,-0.7451350677083507,0.08561208902583237,3.050572188163612,9.999000099990002e-05,0.0031996800319968005,3.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Gibraltar Strait,chronos2_univariate,Gibraltar Strait,n_tanker,130,43.01414913957935,5868.0,6530.495822906494,-662.4958229064941,-0.11847547415453016,-0.0030634844949264874,0.020858738950279527,-0.04398868196482608,0.03754470782295598,-5.533028143969223,1.0,1.0,4.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Malacca Strait,chronos2_univariate,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,11042.626625061035,-1669.6266250610352,-0.17014804206531953,0.0009962203660704328,0.010979671210056535,-0.020433807730389875,0.022736784350513007,-15.587375901988302,1.0,1.0,5.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Panama Canal,chronos2_univariate,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1672.0100021362305,276.98999786376953,0.17246828272284673,0.011535037167129667,0.0325065235997784,-0.0545478874036478,0.0716470510200114,4.950798416254334,9.999000099990002e-05,9.999000099990002e-05,2.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Yucatan Channel,chronos2_univariate,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3359.899965286255,646.1000347137451,0.2153886426629157,0.031610702223498266,0.022345575316140457,-0.011869782363434422,0.0748108948683715,8.224354837115007,9.999000099990002e-05,9.999000099990002e-05,1.0,5.0,10000.0,restricted_tanker_adaptation,7
n_tanker::Bab el-Mandeb Strait,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,2244.1079716886843,-411.10797168868453,-0.18074037174823054,-0.130351933025048,0.12421727057020027,-0.3551539802366055,0.12096983444396626,,,,,,,context_descriptive_not_tested,14
n_tanker::Strait of Hormuz,ar_lag1_7,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7025.362323200071,-6496.362323200071,-0.9236351646656651,0.03606917154534501,0.05094384136343576,-0.06627032443407259,0.1343529329569176,,,,,,,context_descriptive_not_tested,14
n_tanker::Suez Canal,ar_lag1_7,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2298.024555629863,-158.02455562986287,-0.0690906954262288,0.007747836933178539,0.10111639839274766,-0.1771438842091371,0.21439052507101583,,,,,,,context_descriptive_not_tested,14
n_tanker::Bab el-Mandeb Strait,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,1751.4898109436035,81.51018905639648,0.03583531063824211,-0.10087420463995823,0.08980004891950732,-0.30299892793238814,0.033141493657029376,,,,,,,context_descriptive_not_tested,14
n_tanker::Strait of Hormuz,chronos2_univariate,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7571.26872253418,-7042.26872253418,-1.0012506549901987,-0.033482476768553815,0.036243755992509494,-0.10627128714117041,0.03454014695916275,,,,,,,context_descriptive_not_tested,14
n_tanker::Suez Canal,chronos2_univariate,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2383.4510135650635,-243.45101356506348,-0.1064404184677984,-0.0360109447540119,0.04225955482729007,-0.12153501289850216,0.04303046539560385,,,,,,,context_descriptive_not_tested,14
