model,portname,fold,origin,scored_end,regime,n_days,pre_event_mean,mean_residual,scaled_mean_residual,residual_lead_slope,scaled_residual_lead_slope
ar_lag1_7,Cape of Good Hope,fold_01,2023-01-01,2023-05-10,pre_diversion,130,12.949521988527724,-2.67574638553896,-0.2066289696182967,-0.0026114723240700686,-0.00020166553841783746
ar_lag1_7,Cape of Good Hope,fold_02,2023-05-11,2023-09-17,pre_diversion,130,12.949521988527724,-1.8938388916736553,-0.14624778376772904,-0.007795287336207837,-0.0006019749102023888
ar_lag1_7,Cape of Good Hope,fold_03,2023-09-18,2024-01-25,straddles_onset,130,12.949521988527724,0.2071862846017237,0.015999531471916472,0.03817125505129123,0.0029476960682493156
ar_lag1_7,Cape of Good Hope,fold_04,2024-01-26,2024-06-03,post_diversion,130,12.949521988527724,8.56777022689397,0.6616283006032464,0.01646545184260663,0.0012715103968465977
ar_lag1_7,Cape of Good Hope,fold_05,2024-06-04,2024-10-11,post_diversion,130,12.949521988527724,7.7688989745897565,0.5999371236615838,-0.015462224578435917,-0.0011940382503797633
ar_lag1_7,Cape of Good Hope,fold_06,2024-10-12,2025-02-18,post_diversion,130,12.949521988527724,4.437241748807019,0.3426567986631532,-0.02009986209008484,-0.0015521701965440704
ar_lag1_7,Cape of Good Hope,fold_07,2025-02-19,2025-06-28,post_diversion,130,12.949521988527724,3.8200493119371646,0.2949953917466168,0.018267765913928175,0.001410690366031426
ar_lag1_7,Cape of Good Hope,fold_08,2025-06-29,2025-11-05,post_diversion,130,12.949521988527724,5.550105696339755,0.428595410800238,0.006383390706340073,0.0004929441188636356
ar_lag1_7,Gibraltar Strait,fold_01,2023-01-01,2023-05-10,pre_diversion,130,43.01414913957935,10.941254266847956,0.25436407521032167,0.032989653609309263,0.0007669488823842368
ar_lag1_7,Gibraltar Strait,fold_02,2023-05-11,2023-09-17,pre_diversion,130,43.01414913957935,8.571846953300907,0.19927970504509052,0.02606709682371532,0.0006060121458901474
ar_lag1_7,Gibraltar Strait,fold_03,2023-09-18,2024-01-25,straddles_onset,130,43.01414913957935,8.032200775374422,0.1867339221173531,0.011723101328277355,0.0002725405840351815
ar_lag1_7,Gibraltar Strait,fold_04,2024-01-26,2024-06-03,post_diversion,130,43.01414913957935,4.8029699524913685,0.11166023386644021,-0.006714657793624733,-0.00015610346660202234
ar_lag1_7,Gibraltar Strait,fold_05,2024-06-04,2024-10-11,post_diversion,130,43.01414913957935,1.9180581982645888,0.04459133184386746,-0.00907678005784027,-0.00021101847274454852
ar_lag1_7,Gibraltar Strait,fold_06,2024-10-12,2025-02-18,post_diversion,130,43.01414913957935,2.6556304117629685,0.061738531736279245,0.043200813797386606,0.0010043396106058388
ar_lag1_7,Gibraltar Strait,fold_07,2025-02-19,2025-06-28,post_diversion,130,43.01414913957935,3.2759840135141136,0.07616061410127316,-0.029304085725517213,-0.0006812661952332596
ar_lag1_7,Gibraltar Strait,fold_08,2025-06-29,2025-11-05,post_diversion,130,43.01414913957935,4.103974884263566,0.09540988177974453,-0.008076370681538788,-0.0001877607913463837
ar_lag1_7,Malacca Strait,fold_01,2023-01-01,2023-05-10,pre_diversion,130,75.48298279158699,12.637053604108702,0.1674159278919907,0.03986694270350667,0.0005281580195841183
ar_lag1_7,Malacca Strait,fold_02,2023-05-11,2023-09-17,pre_diversion,130,75.48298279158699,10.882075597164912,0.1441659456835585,0.030991597690891493,0.000410577279073101
ar_lag1_7,Malacca Strait,fold_03,2023-09-18,2024-01-25,straddles_onset,130,75.48298279158699,10.945220650093226,0.1450024925527073,0.03664140338095338,0.00048542601293489524
ar_lag1_7,Malacca Strait,fold_04,2024-01-26,2024-06-03,post_diversion,130,75.48298279158699,8.801968179472194,0.11660864282185233,0.015255481940302951,0.00020210491657999586
ar_lag1_7,Malacca Strait,fold_05,2024-06-04,2024-10-11,post_diversion,130,75.48298279158699,6.1590171790034764,0.08159477740842448,0.01174249700057316,0.00015556482489563104
