model,portname,pooled_reference_mean,pre_and_straddling_mean,post_diversion_mean,onset_shift,recent_regime_mean,pooled_minus_recent,reduction_slope_per_origin,event_statistic,excess_over_pooled_reference,excess_over_recent_reference,share_of_event_statistic_absorbed
ar_lag1_7,Cape of Good Hope,0.24886697544509112,-0.11229240730470309,0.4655626050949676,0.5778550123996707,0.3554158670700027,-0.1065488916249116,0.09013175196587524,0.5514124743928375,0.30254549894774635,0.19599660732283475,0.6445553620478981
ar_lag1_7,Gibraltar Strait,0.12874228696254625,0.21345923412425508,0.07791211866552092,-0.13554711545873416,0.07776967587243232,0.05097261109011393,-0.025837260498796685,0.0418378759976334,-0.08690441096491285,-0.035931799874798914,1.8588342265948545
ar_lag1_7,Malacca Strait,0.1140919373677627,0.15219478870941885,0.091230226562769,-0.06096456214664986,0.08598257086118939,0.028109366506573308,-0.012219662675209927,-0.0598617429293939,-0.1739536802971566,-0.1458443137905833,-1.436352612763124
ar_lag1_7,Panama Canal,-0.03606825942974886,-0.03813819253631151,-0.034826299565811264,0.0033118929705002464,0.021060568006073855,-0.05712882743582272,0.008902787204133558,0.2115384385145451,0.24760669794429396,0.19047787050847123,0.09955905959202663
ar_lag1_7,Yucatan Channel,0.09922693314730012,0.0316105564138908,0.13979675918734571,0.10818620277345492,0.13795399957756518,-0.038727066430265064,0.01850609872845524,0.3330349289348658,0.23380799578756567,0.19508092935730062,0.414232825423984
chronos2_univariate,Cape of Good Hope,-0.23366407970341485,0.11300595335713326,-0.4416660995397437,-0.5546720528968769,0.025079165123595492,-0.25874324482701033,0.025516422624837564,0.4345875578085278,0.6682516375119427,0.40950839268493233,0.057707968562332755
chronos2_univariate,Gibraltar Strait,-0.003271577607000648,0.00273016056161874,-0.006872620508172281,-0.009602781069791021,0.03057714961833839,-0.033848727225339034,0.0024447030430637764,-0.1184754741545301,-0.11520389654752945,-0.1490526237728685,-0.2580884342227317
chronos2_univariate,Malacca Strait,0.0010546317883200844,0.005531275689108502,-0.001631354552152966,-0.007162630241261467,0.0037173767395014302,-0.002662744951181346,0.0004555188646129685,-0.1701480420653195,-0.17120267385363958,-0.17386541880482093,-0.021847896069672884
chronos2_univariate,Panama Canal,0.011046620950174686,-0.07166079963649737,0.060671073302177914,0.13233187293867527,0.025307087465467944,-0.014260466515293259,0.011470661116361048,0.1724682827228467,0.161421661772672,0.14716119525737875,0.14673473328505254
chronos2_univariate,Yucatan Channel,0.03168972204041011,0.005783840832328063,0.04723325076525933,0.041449409932931267,0.022522495147193348,0.009167226893216762,0.002385972578900251,0.2153886426629157,0.1836989206225056,0.19286614751572237,0.10456677227146635
