portname,vessel_class,event_statistic__ar_lag1_7,event_statistic__chronos2_univariate,cumulative_gap__ar_lag1_7,cumulative_gap__chronos2_univariate,romano_wolf_p_value__ar_lag1_7,romano_wolf_p_value__chronos2_univariate,event_statistic_absolute_difference,sign_agreement
Cape of Good Hope,n_tanker,0.5514124743928375,0.43458755780852787,928.2686350468089,731.6011476516724,0.0066993300669933005,0.028497150284971504,0.1168249165843096,True
Gibraltar Strait,n_tanker,0.04183787599763344,-0.11847547415453016,233.95068291990617,-662.4958229064941,1.0,1.0,0.1603133501521636,False
Malacca Strait,n_tanker,-0.059861742929393946,-0.17014804206531953,-587.4105784838002,-1669.6266250610352,1.0,1.0,0.11028629913592558,True
Panama Canal,n_tanker,0.21153843851454512,0.17246828272284673,339.738012735991,276.98999786376953,9.999000099990002e-05,0.00019998000199980003,0.0390701557916984,True
Yucatan Channel,n_tanker,0.33303492893486586,0.2153886426629157,999.0029023139101,646.1000347137451,9.999000099990002e-05,9.999000099990002e-05,0.11764628627195015,True
