model,league,panel,fold,horizon,portname,vessel_class,common_95_coverage,common_width_scaled,n_coverage_days,native_95_coverage
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_roro,1.0,4.049617466350651,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_tanker,0.9666666666666667,4.615469644507584,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_container,0.9333333333333333,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_general_cargo,1.0,4.950373027372775,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_roro,0.9333333333333333,5.77409211665609,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_tanker,1.0,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_container,1.0,3.261591776597684,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_general_cargo,0.9666666666666667,3.63699653065151,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_roro,1.0,4.005570682288495,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_tanker,1.0,5.053966116648929,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_container,0.9333333333333333,4.738391671523359,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_dry_bulk,0.9,5.437978160095601,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_general_cargo,1.0,4.046092856752803,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_roro,0.9666666666666667,4.693479640921893,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_tanker,0.9666666666666667,5.5029596071082985,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_container,0.9666666666666667,3.428289797116351,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_dry_bulk,1.0,3.999182184937545,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_general_cargo,0.9333333333333333,3.1046168837661714,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_roro,0.9333333333333333,3.8849743959190914,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_tanker,0.9333333333333333,3.6851702268804822,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_container,1.0,4.183945127882208,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_general_cargo,0.9333333333333333,3.8445275807205936,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_roro,0.9333333333333333,3.9206512861174447,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_tanker,1.0,4.880387476640935,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_container,0.8,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_dry_bulk,0.8666666666666667,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_general_cargo,0.9333333333333333,4.904927771126944,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_roro,0.9333333333333333,5.443450023019164,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_tanker,1.0,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mindoro Strait,n_container,1.0,3.857272417036505,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mindoro Strait,n_dry_bulk,0.9333333333333333,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mindoro Strait,n_general_cargo,0.9333333333333333,4.039109211450799,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mindoro Strait,n_roro,0.9,3.914780114875548,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mindoro Strait,n_tanker,1.0,4.590403077553316,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mona Passage,n_container,0.9666666666666667,4.6144583494452425,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mona Passage,n_dry_bulk,1.0,4.150901257910733,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mona Passage,n_general_cargo,1.0,3.726832868817904,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mona Passage,n_roro,0.8666666666666667,4.191405645446681,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Mona Passage,n_tanker,0.9666666666666667,4.181970689707286,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Ombai Strait,n_container,0.9333333333333333,3.8289017599893365,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Ombai Strait,n_dry_bulk,1.0,4.709590430840393,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Ombai Strait,n_general_cargo,1.0,3.44817342944988,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Ombai Strait,n_roro,0.9,3.9570991477814847,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Ombai Strait,n_tanker,0.9666666666666667,4.613545677169423,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Oresund Strait,n_container,1.0,4.885773494591256,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Oresund Strait,n_dry_bulk,1.0,4.870936171577654,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Oresund Strait,n_general_cargo,0.9666666666666667,4.937319194965726,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Oresund Strait,n_roro,1.0,5.296655155675721,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Oresund Strait,n_tanker,0.9666666666666667,5.411261891130792,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Panama Canal,n_container,0.9666666666666667,5.301819540867111,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Panama Canal,n_dry_bulk,1.0,5.225941070505546,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Panama Canal,n_general_cargo,1.0,4.004781278378107,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Panama Canal,n_roro,0.9666666666666667,4.71937280299382,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Panama Canal,n_tanker,1.0,5.512965333955029,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Strait of Hormuz,n_container,0.8666666666666667,5.294702518797354,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Strait of Hormuz,n_dry_bulk,0.9666666666666667,5.35897587190106,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Strait of Hormuz,n_general_cargo,1.0,4.17361976193951,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Strait of Hormuz,n_roro,1.0,4.695882642373633,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Strait of Hormuz,n_tanker,0.9,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Suez Canal,n_container,0.9,5.369223964751771,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Suez Canal,n_dry_bulk,1.0,5.347342338339178,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Suez Canal,n_general_cargo,1.0,4.420741392717577,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Suez Canal,n_roro,1.0,4.845325631255335,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Suez Canal,n_tanker,0.7333333333333333,5.5163182567421725,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Sunda Strait,n_container,0.9666666666666667,4.489236933343322,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Sunda Strait,n_dry_bulk,0.9666666666666667,5.240256933633049,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Sunda Strait,n_general_cargo,0.9666666666666667,4.02312621144266,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Sunda Strait,n_roro,0.9,4.1061622771658834,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Sunda Strait,n_tanker,0.9666666666666667,5.395416869315578,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Taiwan Strait,n_container,0.9666666666666667,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Taiwan Strait,n_dry_bulk,0.9,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Taiwan Strait,n_general_cargo,0.9666666666666667,4.9453881106490805,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Taiwan Strait,n_roro,1.0,5.583958127791955,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Taiwan Strait,n_tanker,1.0,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Torres Strait,n_container,1.0,3.918691206825265,30,
