panel,horizon,fold,origin,scored_end,days_after_model_release,n_series,chronos_mase,ar_mase,mase_reduction,paired_win_rate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper
composition_28x5,30,fold_01,2023-01-01,2023-01-30,0,140,0.7105536113137116,0.8489848865613201,0.16305505249722707,0.7857142857142857,0.11315722270992962,0.2266220443476057
composition_28x5,30,fold_02,2023-05-11,2023-06-09,0,140,0.7050781669773071,0.843101151294379,0.16370868917112835,0.6571428571428571,0.09697133196407211,0.24156604577033014
composition_28x5,30,fold_03,2023-09-18,2023-10-17,0,140,0.7836418558754801,0.8999976218554154,0.12928452604136764,0.7428571428571429,0.07047813774948687,0.2145165447925529
composition_28x5,30,fold_04,2024-01-26,2024-02-24,0,140,0.7195919185786771,0.9152405199512009,0.21376741644147867,0.6642857142857143,0.11934345441220003,0.31210063279197753
composition_28x5,30,fold_05,2024-06-04,2024-07-03,0,140,0.6694345247335974,0.8784140443128939,0.2379054853827648,0.7428571428571429,0.13842947729849,0.33876839313236484
composition_28x5,30,fold_06,2024-10-12,2024-11-10,0,140,0.7615259674635225,0.9172027826619173,0.1697299857143778,0.7142857142857143,0.09805337756007207,0.2554177158631773
composition_28x5,30,fold_07,2025-02-19,2025-03-20,0,140,0.6942044950381863,0.8308506675646209,0.16446538212091733,0.7214285714285714,0.09944588145585602,0.23897553450461304
composition_28x5,30,fold_08,2025-06-29,2025-07-28,0,140,0.7455944201874541,0.8922461093110436,0.16436237445386903,0.7642857142857142,0.11518138016962357,0.21172456346052773
composition_28x5,130,fold_01,2023-01-01,2023-05-10,0,140,0.7161339230947785,0.8543576492600532,0.16178672513201964,0.7285714285714285,0.09833893712730421,0.23828033166326426
composition_28x5,130,fold_02,2023-05-11,2023-09-17,0,140,0.7675861497240906,0.9004220832942638,0.14752629465081823,0.6928571428571428,0.08717808403629904,0.21758504985494015
composition_28x5,130,fold_03,2023-09-18,2024-01-25,0,140,0.7870682957223476,0.9182259671178307,0.14283812056324952,0.7714285714285715,0.06728786846147873,0.24430570262159076
composition_28x5,130,fold_04,2024-01-26,2024-06-03,0,140,0.9994026065295878,0.9387029000618179,-0.06466338440391795,0.6714285714285714,-0.5019549817174284,0.23055136460077352
composition_28x5,130,fold_05,2024-06-04,2024-10-11,0,140,0.784275424794376,0.980860039645259,0.20042065830511402,0.7357142857142858,0.09316383872831113,0.30648644682036275
composition_28x5,130,fold_06,2024-10-12,2025-02-18,0,140,0.7349718322982702,0.9258150460254324,0.20613535559446894,0.7714285714285715,0.12490322901463831,0.2881244276833066
composition_28x5,130,fold_07,2025-02-19,2025-06-28,0,140,0.6970454832588215,0.8735010614353598,0.2020095749930536,0.7428571428571429,0.12192143048763877,0.2823233329967562
composition_28x5,130,fold_08,2025-06-29,2025-11-05,16,140,0.7966615322724276,0.9560480321935316,0.1667139040654807,0.8142857142857143,0.1084980156001621,0.22283764955153407
total_28x1,30,fold_01,2023-01-01,2023-01-30,0,28,0.7510527093758695,0.9307067921478646,0.19302973212153451,0.6785714285714286,0.11354619580751686,0.2801885482990247
total_28x1,30,fold_02,2023-05-11,2023-06-09,0,28,0.7058097373937949,0.9160317190514501,0.22949203317472433,0.8571428571428571,0.12838311327143762,0.3279223785178787
total_28x1,30,fold_03,2023-09-18,2023-10-17,0,28,0.7801483839625059,0.9550066600590353,0.18309639441228642,0.7857142857142857,0.07458845647974836,0.299103050584892
total_28x1,30,fold_04,2024-01-26,2024-02-24,0,28,0.7438120460021773,1.054239775193807,0.2944564761223907,0.6785714285714286,0.14969848682515371,0.4181039784690509
total_28x1,30,fold_05,2024-06-04,2024-07-03,0,28,0.6366574586749535,0.9133948110706968,0.3029767073795253,0.75,0.1478501985658994,0.43418671958486815
total_28x1,30,fold_06,2024-10-12,2024-11-10,0,28,0.8419129457152967,0.9963523496617187,0.15500480728414723,0.6071428571428571,0.0523291203835969,0.26688922599051956
total_28x1,30,fold_07,2025-02-19,2025-03-20,0,28,0.7000433549736101,0.853784392872603,0.18007009636440285,0.75,0.07833526550029318,0.2856820005089583
total_28x1,30,fold_08,2025-06-29,2025-07-28,0,28,0.7394163313621543,0.9220069785179242,0.19803607934646483,0.75,0.10317091029478805,0.28466738358329585
total_28x1,130,fold_01,2023-01-01,2023-05-10,0,28,0.7332808687245168,0.9865418640575482,0.25671591298862284,0.75,0.12791299259881994,0.36668630357567356
total_28x1,130,fold_02,2023-05-11,2023-09-17,0,28,0.8052531516651044,1.0298621175004692,0.21809615289132378,0.8571428571428571,0.10902468908175211,0.3124614553027092
total_28x1,130,fold_03,2023-09-18,2024-01-25,0,28,0.9095790581457115,1.1134470821242655,0.18309628472833106,0.8214285714285714,0.06099523215050407,0.3220147411366963
total_28x1,130,fold_04,2024-01-26,2024-06-03,0,28,0.8522711957468555,1.1728057990619207,0.2733057796708097,0.75,0.15443227783716634,0.3667629205020946
total_28x1,130,fold_05,2024-06-04,2024-10-11,0,28,0.855682674479948,1.1933106358843228,0.28293384073809924,0.6071428571428571,0.10180341281536129,0.42720734905131563
total_28x1,130,fold_06,2024-10-12,2025-02-18,0,28,0.7731931251950231,1.0770012038294512,0.2820870371863926,0.6785714285714286,0.1318302127866005,0.41298955822950284
total_28x1,130,fold_07,2025-02-19,2025-06-28,0,28,0.7016906174425473,0.9994242879398186,0.2979051781010945,0.7142857142857143,0.15378205944169238,0.41720385386262615
total_28x1,130,fold_08,2025-06-29,2025-11-05,16,28,0.7970999038248967,1.073385615423293,0.25739651028343824,0.8214285714285714,0.12557579275985511,0.36067874518785537
