panel,portname,vessel_class,n_days,adf_t_constant_weekday_lag7,approx_adf_reject_5pct,ar_phi1,ar_phi7,ar17_companion_spectral_radius,near_unit_root_radius_ge_0_995
composition_28x5,Bab el-Mandeb Strait,n_container,2615,-3.1630021984817125,True,0.3167308714262643,0.5134098006587963,0.9624948063234001,False
composition_28x5,Bab el-Mandeb Strait,n_dry_bulk,2615,-5.930592804294393,True,0.3412655663036408,0.3345262890042394,0.9142216242607383,False
composition_28x5,Bab el-Mandeb Strait,n_general_cargo,2615,-14.22058004806455,True,0.08843600485038386,0.061687833506526256,0.6850880569046256,False
composition_28x5,Bab el-Mandeb Strait,n_roro,2615,-6.507987670921352,True,0.268069438409072,0.30153633493744736,0.8870428665212142,False
composition_28x5,Bab el-Mandeb Strait,n_tanker,2615,-4.871482123821335,True,0.3761536098475996,0.35649595730048633,0.9293777113300553,False
composition_28x5,Balabac Strait,n_container,2615,-13.980266108881205,True,-0.02300470292100069,0.11824292208548426,0.7401118114600646,False
composition_28x5,Balabac Strait,n_dry_bulk,2615,-15.253313726177385,True,0.08676400943949053,0.022346940721642852,0.5942459694340799,False
composition_28x5,Balabac Strait,n_general_cargo,2615,-15.015276524379676,True,0.09372690261666185,0.05427076473878054,0.6737777248881984,False
composition_28x5,Balabac Strait,n_roro,2615,-17.764016239962483,True,0.01939577564444013,0.03586135668563078,0.6244185937753233,False
composition_28x5,Balabac Strait,n_tanker,2615,-15.14621906514622,True,-0.01230598180487348,0.05324507786939793,0.6593114692447369,False
composition_28x5,Bering Strait,n_container,2615,-10.810272208700113,True,0.1793453200996379,0.1654445669057022,0.801837608951526,False
composition_28x5,Bering Strait,n_dry_bulk,2615,-9.563958495143439,True,0.15663114494553632,0.1813925215438531,0.8080833161899752,False
composition_28x5,Bering Strait,n_general_cargo,2615,-8.37614378065802,True,0.21432998430508102,0.21776396445342414,0.8389378060883256,False
composition_28x5,Bering Strait,n_roro,2615,-15.751673097764781,True,0.14762751311232522,-0.02760213581469959,0.6193345787416085,False
composition_28x5,Bering Strait,n_tanker,2615,-6.986266805950202,True,0.2071571402163385,0.29319894226429033,0.8723692938823447,False
composition_28x5,Bohai Strait,n_container,2615,-10.782936013444367,True,0.17580717404471316,0.1611646532459106,0.7983350028984361,False
