model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days,native_nominal_coverage,native_empirical_coverage
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_container,3,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,4.321020889282226,4.944156081801608,0.77612901457892,0.22924753052034275,38.28938293457031,0.07251777070941347,30,0.95,1.0
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_dry_bulk,3,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,13.300584157307943,19.362590362413727,0.7776680619561585,0.26986485901009805,138.4662857055664,0.047338901095920136,30,0.95,0.9666666666666667
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_general_cargo,3,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,5.895795504252116,7.853028029675823,0.9137163358753546,0.5098722935502212,98.6992130279541,0.18010805297071916,30,0.95,0.9
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_roro,3,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,0.9487581014633178,1.2610833947292994,0.6211140385086286,-0.330348980857967,-15.138344287872314,-0.27032757656914846,30,0.95,0.9666666666666667
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_tanker,3,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,7.842402648925781,10.835315753609608,0.8989950687116119,0.387522764716203,101.4168930053711,0.08423329983834808,30,0.95,0.9666666666666667
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_container,4,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,2.9510663509368897,3.5586054285394866,1.0527111075226294,-0.14904566504497485,-12.534596920013428,-0.05671763312223271,30,0.95,0.9
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_dry_bulk,4,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,4.892522875467936,6.79395610527544,0.8751049650547889,-0.11599566923881284,-19.455202102661133,-0.03039875328540802,30,0.95,0.9
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_general_cargo,4,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,9.560516738891602,13.481263638966563,0.8046417769361188,0.23261322634744727,82.91525650024414,0.07086774059849926,30,0.95,0.9333333333333333
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_roro,4,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,0.6706552773714065,0.845106189556337,0.8132883847356339,-0.01899520786961218,-0.46991583704948425,-0.029369739815592766,30,0.95,0.8
chronos2_univariate,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_tanker,4,model_revision=29ec3766d36d6f73f0696f85560a422f50e8498c;context_length=1461;native_interval=0.950;cross_learning=false,5.271764055887858,7.668024894989455,1.0017178433430405,0.1784264898524506,28.170278549194336,0.03945417163752708,30,0.95,0.9333333333333333
