model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bering Strait,n_general_cargo,2,,0.22186511302265974,0.2236338107789749,0.6849084380784443,0.6849084380784443,6.655953390679792,,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bering Strait,n_roro,2,,0.0,0.0,0.0,0.0,0.0,,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bering Strait,n_roro,2,,0.012943608032081692,0.013577357634088048,0.4705001519661695,0.4705001519661695,0.38830824096245076,,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bering Strait,n_tanker,2,,0.16666666666666666,0.408248290463863,0.4430225472273004,0.2658135283363803,3.0,3.0,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bering Strait,n_tanker,2,,0.3140457036138123,0.3280752415473122,0.8347759653646857,0.7082125128476473,7.992962404284658,7.992962404284658,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_container,3,,6.266666666666667,7.3530039213009175,1.1256001647107268,0.4430553839818819,74.0,0.14015151515151514,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_container,3,,5.446510893933188,6.320807144471313,0.9782862062728667,0.6851087153885129,114.42823351588746,0.21672013923463535,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_dry_bulk,3,,17.633333333333333,23.52232981658067,1.0309983378907297,0.6918797919682591,355.0,0.12136752136752137,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_dry_bulk,3,,13.326693682801928,18.613556084960294,0.7791946523562008,0.10002459186082764,51.32210901777982,0.017546020177018742,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_general_cargo,3,,11.133333333333333,13.586758259423032,1.725417466069779,1.2398209337028352,240.0,0.43795620437956206,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_general_cargo,3,,6.252021933474192,7.809781996839061,0.9689234588863223,0.3787510862331475,73.31724947123914,0.13379060122488895,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_roro,3,,0.9,1.378404875209022,0.5891940567312022,-0.37097403571964577,-17.0,-0.30357142857142855,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_roro,3,,1.3640168897136822,1.5783393239188812,0.8929673830003124,0.642014083104522,29.42049405588329,0.5253659652836301,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_tanker,3,,11.833333333333334,15.804007930479745,1.3564858614527489,0.844460212341007,221.0,0.18355481727574752,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bohai Strait,n_tanker,3,,8.35527001190117,10.484955153367077,0.9577863920927391,-0.1353065191473212,-35.4104791375094,-0.029410696958064284,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_container,4,,3.2666666666666666,4.016632088371218,1.1652927706902192,-0.023781485116126922,-2.0,-0.00904977375565611,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_container,4,,2.9057541406976695,3.5408859203948038,1.036547232721887,0.11969345178687067,10.066104047110416,0.04554798211362179,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_dry_bulk,4,,6.266666666666667,8.41031113177945,1.1208922786730635,0.15501701726329603,26.0,0.040625,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_dry_bulk,4,,4.86389078372332,6.755710033250064,0.8699836633698741,0.10698870297331078,17.944522004196216,0.028038315631556586,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_general_cargo,4,,12.0,16.862186493255653,1.0099560083352628,0.30298680250057886,108.0,0.09230769230769231,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_general_cargo,4,,9.949611735446272,14.212578625806808,0.837389179401417,0.4065273103718184,144.90713508906882,0.12385225221287934,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_roro,4,,0.6,1.0645812948447542,0.7276063386155128,-0.323380594940228,-8.0,-0.5,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_roro,4,,0.7421542007887008,0.8884078188898029,0.8999935012066479,0.31719543136258804,7.846987390723722,0.49043671192023264,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_tanker,4,,6.566666666666666,9.786044485218053,1.2477696462798396,0.5890486147412441,93.0,0.13025210084033614,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bosporus Strait,n_tanker,4,,5.82662393662566,7.781009559743882,1.1071499220927483,-0.1271071158258247,-20.067888245513288,-0.02810628605814186,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_container,5,,2.4,2.9552213679068666,0.9693333333333334,-0.08077777777777778,-6.0,-0.03508771929824561,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_container,5,,2.0284355508596534,2.539621888881126,0.8192625808194267,-0.11622036602415751,-8.63259940206947,-0.05048303743900275,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Cape of Good Hope,n_dry_bulk,5,,5.666666666666667,7.0710678118654755,0.8094442807086485,-0.4190064511903592,-88.0,-0.11748998664886515,30
